timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1493658832056,-11.100000381469727,-3.200000047683716,-5.599999904632568,12.837834947593874,,903d185fccf839df
1493658832125,-11.600000381469727,-2.9000000953674316,-5.599999904632568,13.203409117401163,,903d185fccf839df
1493658832184,-12.100000381469727,-2.799999952316284,-5.5,13.583077830074453,,903d185fccf839df
1493658832336,-13.199999809265137,-3,-5.300000190734863,14.537193411876707,,903d185fccf839df
1493658832444,-13.90000057220459,-3.299999952316284,-4.700000286102295,15.039615135442835,,903d185fccf839df
1493658832554,-14.40000057220459,-3.799999952316284,-4.300000190734863,15.501290821347451,,903d185fccf839df
1493658832593,-14.40000057220459,-4.099999904632568,-4.200000286102295,15.550241751800154,,903d185fccf839df
1493658832714,-14.199999809265137,-5.099999904632568,-4.099999904632568,15.635216569562573,,903d185fccf839df
1493658832833,-13.699999809265137,-6.200000286102295,-4.400000095367432,15.668120188279607,,903d185fccf839df
1493658832873,-13.600000381469727,-6.5,-4.400000095367432,15.702547797227645,,903d185fccf839df
1493658832893,-13.5,-6.700000286102295,-4.5,15.728636406387736,,903d185fccf839df
1493658832955,-13.600000381469727,-7,-4.400000095367432,15.916029885754133,,903d185fccf839df
1493658832993,-13.600000381469727,-7.200000286102295,-4.300000190734863,15.977797481493472,,903d185fccf839df
1493658833045,-13.600000381469727,-7.300000190734863,-4.300000190734863,16.02310860313508,,903d185fccf839df
1493658833126,-13.699999809265137,-7.300000190734863,-3.9000000953674316,16.005936057911946,,903d185fccf839df
1493658833194,-13.90000057220459,-7.300000190734863,-3.5,16.085708653590107,,903d185fccf839df
1493658833234,-14,-7.300000190734863,-3.200000047683716,16.109934873869598,,903d185fccf839df
1493658833325,-14.40000057220459,-7.400000095367432,-3.1000001430511475,16.484235457421818,,903d185fccf839df
1493658833385,-14.5,-7.400000095367432,-2.9000000953674316,16.53541662424376,,903d185fccf839df
1493658833464,-14.699999809265137,-7.599999904632568,-2.6000001430511475,16.751417712096575,,903d185fccf839df
1493658833513,-14.699999809265137,-7.700000286102295,-2.5,16.781835449917725,,903d185fccf839df
1493658833565,-14.600000381469727,-7.900000095367432,-2.4000000953674316,16.772894912280446,,903d185fccf839df
1493658833673,-14.199999809265137,-8.5,-2.700000047683716,16.768422699477092,,903d185fccf839df
1493658833756,-13.800000190734863,-9,-2.9000000953674316,16.7287179198674,,903d185fccf839df
1493658833794,-13.800000190734863,-9.199999809265137,-2.9000000953674316,16.837161359093198,,903d185fccf839df
1493658833894,-13.600000381469727,-9.5,-2.700000047683716,16.80773652674736,,903d185fccf839df
1493658833993,-13.699999809265137,-9.600000381469727,-2.299999952316284,16.88608867697252,,903d185fccf839df
1493658834075,-13.600000381469727,-9.5,-2.1000001430511475,16.721842228503224,,903d185fccf839df
1493658834177,-13.600000381469727,-9.5,-2.5,16.7767698533975,,903d185fccf839df
1493658834245,-13.40000057220459,-9.40000057220459,-2.799999952316284,16.60602362797547,,903d185fccf839df
1493658834337,-13.40000057220459,-9.40000057220459,-3.299999952316284,16.69760523089396,,903d185fccf839df
1493658834386,-13.5,-9.40000057220459,-3.4000000953674316,16.797916795226804,,903d185fccf839df
1493658834454,-13.300000190734863,-9.300000190734863,-3.9000000953674316,16.691015723275616,,903d185fccf839df
1493658834525,-13.199999809265137,-9.300000190734863,-4.200000286102295,16.684423841771846,,903d185fccf839df
1493658834594,-13,-9.199999809265137,-4.599999904632568,16.577092605069822,,903d185fccf839df
1493658834688,-12.699999809265137,-9.100000381469727,-5,16.404267690882183,,903d185fccf839df
1493658834775,-12.5,-8.90000057220459,-5.5,16.300613691326692,,903d185fccf839df
1493658834845,-12.5,-8.5,-6,16.263455967290593,,903d185fccf839df
1493658834916,-12.699999809265137,-8.199999809265137,-6.900000095367432,16.617460448584012,,903d185fccf839df
1493658834945,-12.800000190734863,-8.100000381469727,-7.400000095367432,16.85852965037747,,903d185fccf839df
1493658834965,-13,-8,-7.599999904632568,17.051686084417963,,903d185fccf839df
1493658835045,-13.40000057220459,-7.400000095367432,-8.40000057220459,17.460814063811462,,903d185fccf839df
1493658835165,-13.90000057220459,-6.200000286102295,-8.90000057220459,17.631223188648306,,903d185fccf839df
1493658835286,-13.800000190734863,-4.599999904632568,-8.5,16.847848595260416,,903d185fccf839df
1493658835384,-13.800000190734863,-4.099999904632568,-8,16.46966914990549,,903d185fccf839df
1493658835454,-13.800000190734863,-4.099999904632568,-8,16.46966914990549,,903d185fccf839df
1493658835518,-13.90000057220459,-4,-8.100000381469727,16.577696770432325,,903d185fccf839df
1493658835553,-14,-4.099999904632568,-8.300000190734863,16.78392084274681,,903d185fccf839df
1493658835574,-14.100000381469727,-4.099999904632568,-8.300000190734863,16.86742457143276,,903d185fccf839df
1493658835653,-14,-4,-9,17.11724276862369,,903d185fccf839df
1493658835765,-13.90000057220459,-4.099999904632568,-9.600000381469727,17.383326065534984,,903d185fccf839df
1493658835914,-13.800000190734863,-5.300000190734863,-9.90000057220459,17.791571438941748,,903d185fccf839df
1493658835984,-14,-5.700000286102295,-9.5,17.853291060150976,,903d185fccf839df
1493658836045,-14.699999809265137,-6,-9.100000381469727,18.300273263694148,,903d185fccf839df
1493658836125,-15.699999809265137,-5.800000190734863,-9.300000190734863,19.14732354486874,,903d185fccf839df
1493658836178,-16.399999618530273,-5.5,-8.90000057220459,19.453020283980205,,903d185fccf839df
1493658836234,-17.200000762939453,-5.099999904632568,-8.40000057220459,19.809342189845296,,903d185fccf839df
1493658836264,-17.600000381469727,-5.099999904632568,-8.100000381469727,20.034470702439442,,903d185fccf839df
1493658836313,-18,-5.099999904632568,-7.200000286102295,20.04619670383433,,903d185fccf839df
1493658836353,-18.100000381469727,-5.400000095367432,-6.400000095367432,19.943169771204158,,903d185fccf839df
1493658836374,-18.200000762939453,-5.800000190734863,-6.099999904632568,20.052182500684843,,903d185fccf839df
1493658836464,-18.30000114440918,-6.700000286102295,-4,19.894221481886678,,903d185fccf839df
1493658836505,-18.30000114440918,-7.300000190734863,-3.299999952316284,19.976737608308106,,903d185fccf839df
1493658836546,-18.30000114440918,-7.700000286102295,-2.799999952316284,20.050437640410518,,903d185fccf839df
1493658836596,-18.200000762939453,-8.300000190734863,-2.5,20.158869515466424,,903d185fccf839df
1493658836666,-18.100000381469727,-8.600000381469727,-2.5,20.19455428037489,,903d185fccf839df
1493658836737,-17.899999618530273,-8.40000057220459,-2.9000000953674316,19.984493657908885,,903d185fccf839df
1493658836793,-17.5,-8.100000381469727,-3.4000000953674316,19.581113570462808,,903d185fccf839df
1493658836845,-17.30000114440918,-7.800000190734863,-3.9000000953674316,19.3736946404553,,903d185fccf839df
1493658836914,-16.899999618530273,-7.300000190734863,-4.5,18.951252894389064,,903d185fccf839df
1493658836953,-16.899999618530273,-7.300000190734863,-4.5,18.951252894389064,,903d185fccf839df
1493658836974,-16.899999618530273,-7.200000286102295,-4.400000095367432,18.889414758779566,,903d185fccf839df
1493658837045,-16.899999618530273,-7.400000095367432,-4.200000286102295,18.921151938825993,,903d185fccf839df
1493658837109,-17.399999618530273,-7.599999904632568,-3.799999952316284,19.363883317918525,,903d185fccf839df
1493658837156,-17.700000762939453,-7.800000190734863,-3.5,19.656552165366772,,903d185fccf839df
1493658837186,-18,-7.900000095367432,-3.299999952316284,19.93238568854869,,903d185fccf839df
1493658837246,-18.399999618530273,-7.900000095367432,-3,20.247715856510972,,903d185fccf839df
1493658837375,-18.80000114440918,-6.800000190734863,-3.4000000953674316,20.279054096704506,,903d185fccf839df
1493658837454,-18.80000114440918,-5.800000190734863,-3.200000047683716,19.932888322772556,,903d185fccf839df
