timestamp, light1, light2, light3, UUID 
1493660587273,237,7657,237,,903d185fccf839df
1493660587273,237,7657,237,,903d185fccf839df
1493660587459,241,7625,241,,903d185fccf839df
1493660587459,241,7625,241,,903d185fccf839df
1493660587635,240,7638,240,,903d185fccf839df
1493660587635,240,7638,240,,903d185fccf839df
1493660587635,240,7638,240,,903d185fccf839df
1493660587635,240,7638,240,,903d185fccf839df
1493660587813,238,7665,238,,903d185fccf839df
1493660587813,238,7665,238,,903d185fccf839df
1493660587813,238,7665,238,,903d185fccf839df
1493660587813,238,7665,238,,903d185fccf839df
1493660588001,238,7643,238,,903d185fccf839df
1493660588001,238,7643,238,,903d185fccf839df
1493660588174,234,7662,234,,903d185fccf839df
1493660588174,234,7662,234,,903d185fccf839df
1493660588174,234,7662,234,,903d185fccf839df
1493660588174,234,7662,234,,903d185fccf839df
1493660588354,234,7662,234,,903d185fccf839df
1493660588354,234,7662,234,,903d185fccf839df
1493660588354,234,7662,234,,903d185fccf839df
1493660588354,234,7662,234,,903d185fccf839df
1493660588536,234,7662,234,,903d185fccf839df
1493660588536,234,7662,234,,903d185fccf839df
1493660588536,234,7662,234,,903d185fccf839df
1493660588536,234,7662,234,,903d185fccf839df
1493660588714,234,7662,234,,903d185fccf839df
1493660588714,234,7662,234,,903d185fccf839df
1493660588714,234,7662,234,,903d185fccf839df
1493660588714,234,7662,234,,903d185fccf839df
1493660588894,235,7649,235,,903d185fccf839df
1493660588894,235,7649,235,,903d185fccf839df
1493660589073,240,7617,240,,903d185fccf839df
1493660589073,240,7617,240,,903d185fccf839df
1493660589073,240,7617,240,,903d185fccf839df
1493660589073,240,7617,240,,903d185fccf839df
1493660589253,250,7599,250,,903d185fccf839df
1493660589253,250,7599,250,,903d185fccf839df
1493660589253,250,7599,250,,903d185fccf839df
1493660589253,250,7599,250,,903d185fccf839df
1493660589437,227,7665,227,,903d185fccf839df
1493660589437,227,7665,227,,903d185fccf839df
1493660589437,227,7665,227,,903d185fccf839df
1493660589437,227,7665,227,,903d185fccf839df
1493660589621,163,7889,163,,903d185fccf839df
1493660589621,163,7889,163,,903d185fccf839df
1493660589621,163,7889,163,,903d185fccf839df
1493660589621,163,7889,163,,903d185fccf839df
1493660589801,38,7473,38,,903d185fccf839df
1493660589801,38,7473,38,,903d185fccf839df
1493660589974,1,3522,1,,903d185fccf839df
1493660589974,1,3522,1,,903d185fccf839df
1493660589974,1,3522,1,,903d185fccf839df
1493660589974,1,3522,1,,903d185fccf839df
1493660590155,5,6103,5,,903d185fccf839df
1493660590155,5,6103,5,,903d185fccf839df
1493660590155,5,6103,5,,903d185fccf839df
1493660590155,5,6103,5,,903d185fccf839df
1493660590339,1,5366,1,,903d185fccf839df
1493660590339,1,5366,1,,903d185fccf839df
1493660590339,1,5366,1,,903d185fccf839df
1493660590515,2,5366,2,,903d185fccf839df
1493660590515,2,5366,2,,903d185fccf839df
1493660590515,2,5366,2,,903d185fccf839df
1493660590515,2,5366,2,,903d185fccf839df
1493660590515,2,5366,2,,903d185fccf839df
1493660590701,1,9054,1,,903d185fccf839df
1493660590701,1,9054,1,,903d185fccf839df
1493660590701,1,9054,1,,903d185fccf839df
1493660590874,1,5366,1,,903d185fccf839df
1493660590874,1,5366,1,,903d185fccf839df
1493660590874,1,5366,1,,903d185fccf839df
1493660591056,0,1678,0,,903d185fccf839df
1493660591056,0,1678,0,,903d185fccf839df
1493660591056,0,1678,0,,903d185fccf839df
1493660591056,0,1678,0,,903d185fccf839df
1493660591233,0,1678,0,,903d185fccf839df
1493660591233,0,1678,0,,903d185fccf839df
1493660591233,0,1678,0,,903d185fccf839df
1493660591233,0,1678,0,,903d185fccf839df
1493660591413,0,1678,0,,903d185fccf839df
1493660591413,0,1678,0,,903d185fccf839df
1493660591413,0,1678,0,,903d185fccf839df
1493660591413,0,1678,0,,903d185fccf839df
1493660591593,0,1678,0,,903d185fccf839df
1493660591593,0,1678,0,,903d185fccf839df
1493660591593,0,1678,0,,903d185fccf839df
1493660591773,0,1678,0,,903d185fccf839df
1493660591773,0,1678,0,,903d185fccf839df
1493660591773,0,1678,0,,903d185fccf839df
1493660591773,0,1678,0,,903d185fccf839df
1493660591954,0,1678,0,,903d185fccf839df
1493660591954,0,1678,0,,903d185fccf839df
1493660591954,0,1678,0,,903d185fccf839df
1493660592138,0,1678,0,,903d185fccf839df
1493660592138,0,1678,0,,903d185fccf839df
1493660592138,0,1678,0,,903d185fccf839df
1493660592138,0,1678,0,,903d185fccf839df
1493660592314,0,1678,0,,903d185fccf839df
1493660592314,0,1678,0,,903d185fccf839df
1493660592314,0,1678,0,,903d185fccf839df
1493660592494,0,1678,0,,903d185fccf839df
1493660592494,0,1678,0,,903d185fccf839df
1493660592494,0,1678,0,,903d185fccf839df
1493660592681,0,1678,0,,903d185fccf839df
1493660592681,0,1678,0,,903d185fccf839df
1493660592681,0,1678,0,,903d185fccf839df
1493660592681,0,1678,0,,903d185fccf839df
1493660592854,0,1678,0,,903d185fccf839df
1493660592854,0,1678,0,,903d185fccf839df
1493660592854,0,1678,0,,903d185fccf839df
1493660592854,0,1678,0,,903d185fccf839df
1493660593035,0,1678,0,,903d185fccf839df
1493660593035,0,1678,0,,903d185fccf839df
1493660593035,0,1678,0,,903d185fccf839df
1493660593035,0,1678,0,,903d185fccf839df
1493660593214,0,1678,0,,903d185fccf839df
1493660593214,0,1678,0,,903d185fccf839df
1493660593214,0,1678,0,,903d185fccf839df
1493660593394,0,1678,0,,903d185fccf839df
1493660593394,0,1678,0,,903d185fccf839df
1493660593394,0,1678,0,,903d185fccf839df
1493660593574,0,1678,0,,903d185fccf839df
1493660593574,0,1678,0,,903d185fccf839df
1493660593574,0,1678,0,,903d185fccf839df
1493660593759,0,1678,0,,903d185fccf839df
1493660593759,0,1678,0,,903d185fccf839df
1493660593759,0,1678,0,,903d185fccf839df
1493660593933,0,1678,0,,903d185fccf839df
1493660593933,0,1678,0,,903d185fccf839df
1493660593933,0,1678,0,,903d185fccf839df
1493660593933,0,1678,0,,903d185fccf839df
1493660593933,0,1678,0,,903d185fccf839df
1493660594113,0,1678,0,,903d185fccf839df
1493660594113,0,1678,0,,903d185fccf839df
1493660594113,0,1678,0,,903d185fccf839df
1493660594113,0,1678,0,,903d185fccf839df
1493660594293,0,1678,0,,903d185fccf839df
1493660594293,0,1678,0,,903d185fccf839df
1493660594293,0,1678,0,,903d185fccf839df
1493660594293,0,1678,0,,903d185fccf839df
1493660594475,0,1678,0,,903d185fccf839df
1493660594475,0,1678,0,,903d185fccf839df
1493660594475,0,1678,0,,903d185fccf839df
