timestamp, light1, light2, light3, UUID 
1495090669963,2732,8900,2732,,903d185fccf839df
1495090669963,2732,8900,2732,,903d185fccf839df
1495090670160,2788,8780,2788,,903d185fccf839df
1495090670160,2788,8780,2788,,903d185fccf839df
1495090670347,2822,8775,2822,,903d185fccf839df
1495090670347,2822,8775,2822,,903d185fccf839df
1495090670507,2864,8913,2864,,903d185fccf839df
1495090670507,2864,8913,2864,,903d185fccf839df
1495090670685,2996,8971,2996,,903d185fccf839df
1495090670864,3112,8967,3112,,903d185fccf839df
1495090670864,3112,8967,3112,,903d185fccf839df
1495090670864,3112,8967,3112,,903d185fccf839df
1495090671103,3059,8956,3059,,903d185fccf839df
1495090671223,2952,8921,2952,,903d185fccf839df
1495090671223,2952,8921,2952,,903d185fccf839df
1495090671404,2928,8971,2928,,903d185fccf839df
1495090671583,3066,9061,3066,,903d185fccf839df
1495090671583,3066,9061,3066,,903d185fccf839df
1495090671779,3218,9079,3218,,903d185fccf839df
1495090671779,3218,9079,3218,,903d185fccf839df
1495090671947,3287,9113,3287,,903d185fccf839df
1495090671947,3287,9113,3287,,903d185fccf839df
1495090672123,3095,9065,3095,,903d185fccf839df
1495090672123,3095,9065,3095,,903d185fccf839df
1495090672305,3034,9003,3034,,903d185fccf839df
1495090672305,3034,9003,3034,,903d185fccf839df
1495090672483,2801,8864,2801,,903d185fccf839df
1495090672663,2985,8889,2985,,903d185fccf839df
1495090672663,2985,8889,2985,,903d185fccf839df
1495090672843,3190,8927,3190,,903d185fccf839df
1495090672843,3190,8927,3190,,903d185fccf839df
1495090673029,3179,8906,3179,,903d185fccf839df
1495090673029,3179,8906,3179,,903d185fccf839df
1495090673204,3279,8895,3279,,903d185fccf839df
1495090673204,3279,8895,3279,,903d185fccf839df
1495090673393,3362,8887,3362,,903d185fccf839df
1495090673563,3204,8834,3204,,903d185fccf839df
1495090673563,3204,8834,3204,,903d185fccf839df
1495090673744,3210,8780,3210,,903d185fccf839df
1495090673744,3210,8780,3210,,903d185fccf839df
1495090673925,3333,8848,3333,,903d185fccf839df
1495090673925,3333,8848,3333,,903d185fccf839df
1495090674102,3479,8920,3479,,903d185fccf839df
1495090674291,3568,8989,3568,,903d185fccf839df
