timestamp, light1, light2, light3, UUID 
1491592566452,0,1678,0,,903d185fccf839df
1491592568077,0,1678,0,,903d185fccf839df
1491592568250,1,5366,1,,903d185fccf839df
1491592568250,1,5366,1,,903d185fccf839df
1491592568455,0,1678,0,,903d185fccf839df
1491592568455,0,1678,0,,903d185fccf839df
1491592568614,0,1678,0,,903d185fccf839df
1491592568798,0,1678,0,,903d185fccf839df
1491592568798,0,1678,0,,903d185fccf839df
1491592568970,0,1678,0,,903d185fccf839df
1491592568970,0,1678,0,,903d185fccf839df
1491592569155,0,1678,0,,903d185fccf839df
1491592569155,0,1678,0,,903d185fccf839df
1491592569332,0,1678,0,,903d185fccf839df
1491592569510,1,5366,1,,903d185fccf839df
1491592569690,1,5366,1,,903d185fccf839df
1491592569877,1,5366,1,,903d185fccf839df
1491592569877,1,5366,1,,903d185fccf839df
1491592570052,1,5366,1,,903d185fccf839df
1491592570052,1,5366,1,,903d185fccf839df
1491592570232,1,5366,1,,903d185fccf839df
1491592570232,1,5366,1,,903d185fccf839df
1491592570415,1,5366,1,,903d185fccf839df
1491592570415,1,5366,1,,903d185fccf839df
1491592570590,1,5366,1,,903d185fccf839df
1491592570770,1,5366,1,,903d185fccf839df
1491592570770,1,5366,1,,903d185fccf839df
1491592570953,1,5366,1,,903d185fccf839df
1491592570953,1,5366,1,,903d185fccf839df
1491592571138,1,5366,1,,903d185fccf839df
1491592571138,1,5366,1,,903d185fccf839df
1491592571311,1,5366,1,,903d185fccf839df
1491592571311,1,5366,1,,903d185fccf839df
1491592571491,1,3522,1,,903d185fccf839df
1491592571672,1,5366,1,,903d185fccf839df
1491592571672,1,5366,1,,903d185fccf839df
1491592571850,2,4136,2,,903d185fccf839df
1491592571850,2,4136,2,,903d185fccf839df
1491592572033,3,5366,3,,903d185fccf839df
1491592572033,3,5366,3,,903d185fccf839df
1491592572211,2,4136,2,,903d185fccf839df
1491592572211,2,4136,2,,903d185fccf839df
1491592572390,2,4136,2,,903d185fccf839df
1491592572390,2,4136,2,,903d185fccf839df
1491592572574,3,5366,3,,903d185fccf839df
1491592572752,2,4136,2,,903d185fccf839df
1491592572752,2,4136,2,,903d185fccf839df
1491592572944,3,4444,3,,903d185fccf839df
1491592572944,3,4444,3,,903d185fccf839df
1491592573111,4,4628,4,,903d185fccf839df
1491592573111,4,4628,4,,903d185fccf839df
1491592573295,4,4628,4,,903d185fccf839df
1491592573295,4,4628,4,,903d185fccf839df
1491592573474,7,4444,7,,903d185fccf839df
1491592573660,5,4751,5,,903d185fccf839df
1491592573660,5,4751,5,,903d185fccf839df
1491592573830,2,4136,2,,903d185fccf839df
1491592574013,2,5366,2,,903d185fccf839df
1491592574013,2,5366,2,,903d185fccf839df
1491592574013,2,5366,2,,903d185fccf839df
1491592574191,2,4136,2,,903d185fccf839df
1491592574191,2,4136,2,,903d185fccf839df
1491592574376,1,3522,1,,903d185fccf839df
1491592574550,2,5366,2,,903d185fccf839df
1491592574550,2,5366,2,,903d185fccf839df
1491592574735,1,5366,1,,903d185fccf839df
1491592574735,1,5366,1,,903d185fccf839df
1491592574916,1,3522,1,,903d185fccf839df
1491592574916,1,3522,1,,903d185fccf839df
1491592575094,1,3522,1,,903d185fccf839df
1491592575094,1,3522,1,,903d185fccf839df
1491592575273,1,3522,1,,903d185fccf839df
1491592575459,1,3522,1,,903d185fccf839df
1491592575459,1,3522,1,,903d185fccf839df
1491592575637,1,3522,1,,903d185fccf839df
1491592575637,1,3522,1,,903d185fccf839df
1491592575818,1,3522,1,,903d185fccf839df
1491592575993,1,3522,1,,903d185fccf839df
1491592575993,1,3522,1,,903d185fccf839df
1491592575993,1,3522,1,,903d185fccf839df
1491592576170,1,3522,1,,903d185fccf839df
1491592576350,1,3522,1,,903d185fccf839df
1491592576350,1,3522,1,,903d185fccf839df
1491592576538,1,3522,1,,903d185fccf839df
1491592576538,1,3522,1,,903d185fccf839df
1491592576711,1,3522,1,,903d185fccf839df
1491592576711,1,3522,1,,903d185fccf839df
1491592576891,1,3522,1,,903d185fccf839df
1491592577073,1,3522,1,,903d185fccf839df
1491592577073,1,3522,1,,903d185fccf839df
1491592577251,4,3890,4,,903d185fccf839df
1491592577251,4,3890,4,,903d185fccf839df
1491592577430,4,3522,4,,903d185fccf839df
1491592577430,4,3522,4,,903d185fccf839df
1491592577611,4,3522,4,,903d185fccf839df
1491592577611,4,3522,4,,903d185fccf839df
1491592577791,5,3785,5,,903d185fccf839df
1491592577970,7,3522,7,,903d185fccf839df
1491592577970,7,3522,7,,903d185fccf839df
1491592578150,9,3522,9,,903d185fccf839df
1491592578150,9,3522,9,,903d185fccf839df
1491592578335,12,3644,12,,903d185fccf839df
1491592578335,12,3644,12,,903d185fccf839df
1491592578511,17,3785,17,,903d185fccf839df
1491592578511,17,3785,17,,903d185fccf839df
1491592578690,25,4094,25,,903d185fccf839df
1491592578690,25,4094,25,,903d185fccf839df
1491592578877,29,4064,29,,903d185fccf839df
1491592579050,45,3974,45,,903d185fccf839df
1491592579050,45,3974,45,,903d185fccf839df
1491592579231,60,3996,60,,903d185fccf839df
1491592579231,60,3996,60,,903d185fccf839df
1491592579420,79,3875,79,,903d185fccf839df
1491592579420,79,3875,79,,903d185fccf839df
1491592579591,96,3644,96,,903d185fccf839df
1491592579770,106,3619,106,,903d185fccf839df
1491592579770,106,3619,106,,903d185fccf839df
1491592579951,115,3663,115,,903d185fccf839df
1491592579951,115,3663,115,,903d185fccf839df
1491592580134,120,3620,120,,903d185fccf839df
1491592580134,120,3620,120,,903d185fccf839df
1491592580310,124,3689,124,,903d185fccf839df
1491592580310,124,3689,124,,903d185fccf839df
1491592580491,120,3707,120,,903d185fccf839df
1491592580675,119,3724,119,,903d185fccf839df
1491592580675,119,3724,119,,903d185fccf839df
1491592580854,127,3823,127,,903d185fccf839df
1491592580854,127,3823,127,,903d185fccf839df
1491592581031,125,3827,125,,903d185fccf839df
1491592581031,125,3827,125,,903d185fccf839df
1491592581212,131,3825,131,,903d185fccf839df
1491592581212,131,3825,131,,903d185fccf839df
1491592581392,126,3687,126,,903d185fccf839df
1491592581570,131,3693,131,,903d185fccf839df
1491592581570,131,3693,131,,903d185fccf839df
1491592581756,124,3568,124,,903d185fccf839df
1491592581756,124,3568,124,,903d185fccf839df
1491592581934,124,3604,124,,903d185fccf839df
1491592581934,124,3604,124,,903d185fccf839df
1491592582110,131,3622,131,,903d185fccf839df
1491592582110,131,3622,131,,903d185fccf839df
1491592582291,131,3669,131,,903d185fccf839df
1491592582291,131,3669,131,,903d185fccf839df
1491592582473,131,3739,131,,903d185fccf839df
1491592582664,133,3772,133,,903d185fccf839df
1491592582664,133,3772,133,,903d185fccf839df
1491592582830,122,3890,122,,903d185fccf839df
1491592582830,122,3890,122,,903d185fccf839df
1491592583010,119,3917,119,,903d185fccf839df
1491592583010,119,3917,119,,903d185fccf839df
1491592583193,119,3959,119,,903d185fccf839df
1491592583371,116,3885,116,,903d185fccf839df
1491592583371,116,3885,116,,903d185fccf839df
1491592583553,113,3777,113,,903d185fccf839df
1491592583553,113,3777,113,,903d185fccf839df
1491592583734,115,3718,115,,903d185fccf839df
1491592583734,115,3718,115,,903d185fccf839df
1491592583915,114,3750,114,,903d185fccf839df
1491592583915,114,3750,114,,903d185fccf839df
1491592584091,117,3703,117,,903d185fccf839df
1491592584271,125,3605,125,,903d185fccf839df
1491592584271,125,3605,125,,903d185fccf839df
1491592584452,128,3522,128,,903d185fccf839df
1491592584452,128,3522,128,,903d185fccf839df
1491592584631,135,3665,135,,903d185fccf839df
1491592584631,135,3665,135,,903d185fccf839df
1491592584823,139,3585,139,,903d185fccf839df
1491592584823,139,3585,139,,903d185fccf839df
1491592584991,139,3389,139,,903d185fccf839df
1491592585170,148,3396,148,,903d185fccf839df
1491592585170,148,3396,148,,903d185fccf839df
1491592585350,151,3290,151,,903d185fccf839df
1491592585350,151,3290,151,,903d185fccf839df
1491592585530,153,3310,153,,903d185fccf839df
1491592585530,153,3310,153,,903d185fccf839df
1491592585716,151,3416,151,,903d185fccf839df
1491592585716,151,3416,151,,903d185fccf839df
1491592585893,166,3256,166,,903d185fccf839df
1491592586075,162,3256,162,,903d185fccf839df
