timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1491592568079,-17.700000762939453,-17.200000762939453,-42.5,49.146516315177095,,903d185fccf839df
1491592568342,-19.100000381469727,-16.700000762939453,-43.400001525878906,50.27186313822745,,903d185fccf839df
1491592568387,-19.30000114440918,-17,-43.5,50.53454314891479,,903d185fccf839df
1491592568470,-19.399999618530273,-17.899999618530273,-43.60000228881836,50.96793269865101,,903d185fccf839df
1491592568553,-19.5,-18.600000381469727,-43.70000076293945,51.34101757317651,,903d185fccf839df
1491592568652,-19.700000762939453,-19.30000114440918,-44.29999923706055,52.18304387786683,,903d185fccf839df
1491592568702,-19.899999618530273,-19.600000381469727,-44.70000076293945,52.709202904244165,,903d185fccf839df
1491592568787,-20.100000381469727,-19.600000381469727,-44.900001525878906,52.954510150351425,,903d185fccf839df
1491592568849,-20.200000762939453,-19.30000114440918,-44.70000076293945,52.712618775988126,,903d185fccf839df
1491592568923,-20.200000762939453,-18.80000114440918,-44,51.93727054843645,,903d185fccf839df
1491592568991,-20.100000381469727,-18.200000762939453,-43.10000228881836,50.92013609575062,,903d185fccf839df
1491592569032,-20,-18.100000381469727,-42.60000228881836,50.42192251169516,,903d185fccf839df
1491592569091,-19.899999618530273,-17.899999618530273,-42.20000076293945,49.97259289133598,,903d185fccf839df
1491592569141,-19.80000114440918,-17.80000114440918,-42.29999923706055,49.981696478912724,,903d185fccf839df
1491592569173,-19.899999618530273,-17.80000114440918,-42.10000228881836,49.85238371786765,,903d185fccf839df
1491592569232,-20.100000381469727,-17.700000762939453,-42.20000076293945,49.98139790680879,,903d185fccf839df
1491592569250,-20.200000762939453,-17.600000381469727,-42.20000076293945,49.98639951745625,,903d185fccf839df
1491592569293,-20.30000114440918,-17.5,-42.29999923706055,50.07624161581253,,903d185fccf839df
1491592569351,-20.700000762939453,-17.200000762939453,-42.5,50.30487101273019,,903d185fccf839df
1491592569370,-20.80000114440918,-17.200000762939453,-42.70000076293945,50.515048362680844,,903d185fccf839df
1491592569642,-20.399999618530273,-15.90000057220459,-42.60000228881836,49.83703682872974,,903d185fccf839df
1491592569730,-20.200000762939453,-15.300000190734863,-42.29999923706055,49.30943081857027,,903d185fccf839df
1491592569770,-20.200000762939453,-15.100000381469727,-42.20000076293945,49.16187686326418,,903d185fccf839df
1491592569801,-20.30000114440918,-14.699999809265137,-42.10000228881836,48.99581829055351,,903d185fccf839df
1491592569842,-20.399999618530273,-14.40000057220459,-42.400001525878906,49.20650486317444,,903d185fccf839df
1491592569881,-20.5,-14.100000381469727,-42.79999923706055,49.506565005438375,,903d185fccf839df
1491592569970,-20.899999618530273,-13.300000190734863,-43.79999923706055,50.32037299498576,,903d185fccf839df
1491592570030,-21.100000381469727,-12.90000057220459,-44,50.473954084196286,,903d185fccf839df
1491592570055,-21.200000762939453,-12.90000057220459,-44.10000228881836,50.60296663777674,,903d185fccf839df
1491592570085,-21.30000114440918,-12.90000057220459,-44.60000228881836,51.0809185376248,,903d185fccf839df
1491592570141,-21.399999618530273,-13.100000381469727,-44.79999923706055,51.347930087944206,,903d185fccf839df
1491592570164,-21.5,-13.300000190734863,-45,51.6153078009775,,903d185fccf839df
1491592570202,-21.600000381469727,-13.40000057220459,-45,51.682879572384074,,903d185fccf839df
1491592570252,-21.899999618530273,-13.800000190734863,-44.79999923706055,51.74060209144417,,903d185fccf839df
1491592570283,-22.100000381469727,-14.100000381469727,-44.79999923706055,51.90626102380791,,903d185fccf839df
1491592570337,-22.600000381469727,-14.600000381469727,-44.5,52.0016347188022,,903d185fccf839df
1491592570362,-23,-14.800000190734863,-44.10000228881836,51.89267953390906,,903d185fccf839df
1491592570433,-23.80000114440918,-14.90000057220459,-43.10000228881836,51.43987074958854,,903d185fccf839df
1491592570450,-24,-15,-42.79999923706055,51.31120701971756,,903d185fccf839df
1491592570497,-24.399999618530273,-15.100000381469727,-42.10000228881836,50.94879931232126,,903d185fccf839df
1491592570541,-24.80000114440918,-15.199999809265137,-41.79999923706055,50.9246504414415,,903d185fccf839df
1491592570568,-24.899999618530273,-15.199999809265137,-41.79999923706055,50.9734243825754,,903d185fccf839df
1491592570621,-25.100000381469727,-15.300000190734863,-42.10000228881836,51.34695879613811,,903d185fccf839df
1491592570642,-25.100000381469727,-15.40000057220459,-42.20000076293945,51.45881961896472,,903d185fccf839df
1491592570691,-25,-15.5,-42.60000228881836,51.768815457824125,,903d185fccf839df
