timestamp, light1, light2, light3, UUID 
1491592871142,0,1678,0,,903d185fccf839df
1491592871496,1,5366,1,,903d185fccf839df
1491592871496,1,5366,1,,903d185fccf839df
1491592871679,0,1678,0,,903d185fccf839df
1491592871679,0,1678,0,,903d185fccf839df
1491592871679,0,1678,0,,903d185fccf839df
1491592871866,0,1678,0,,903d185fccf839df
1491592872043,1,5366,1,,903d185fccf839df
1491592872043,1,5366,1,,903d185fccf839df
1491592872216,1,5366,1,,903d185fccf839df
1491592872216,1,5366,1,,903d185fccf839df
1491592872402,1,5366,1,,903d185fccf839df
1491592872402,1,5366,1,,903d185fccf839df
1491592872756,1,5366,1,,903d185fccf839df
1491592872756,1,5366,1,,903d185fccf839df
1491592872940,1,5366,1,,903d185fccf839df
1491592872940,1,5366,1,,903d185fccf839df
1491592873119,1,3522,1,,903d185fccf839df
1491592873119,1,3522,1,,903d185fccf839df
1491592873296,2,4136,2,,903d185fccf839df
1491592873475,2,5366,2,,903d185fccf839df
1491592873475,2,5366,2,,903d185fccf839df
1491592873656,2,5366,2,,903d185fccf839df
1491592873656,2,5366,2,,903d185fccf839df
1491592873838,2,4136,2,,903d185fccf839df
1491592873838,2,4136,2,,903d185fccf839df
1491592874016,2,4136,2,,903d185fccf839df
1491592874016,2,4136,2,,903d185fccf839df
1491592874197,2,5366,2,,903d185fccf839df
1491592874197,2,5366,2,,903d185fccf839df
1491592874378,3,4444,3,,903d185fccf839df
1491592874556,3,4444,3,,903d185fccf839df
1491592874556,3,4444,3,,903d185fccf839df
1491592874737,3,5366,3,,903d185fccf839df
1491592874737,3,5366,3,,903d185fccf839df
1491592874915,3,4444,3,,903d185fccf839df
1491592874915,3,4444,3,,903d185fccf839df
1491592875096,6,4312,6,,903d185fccf839df
1491592875096,6,4312,6,,903d185fccf839df
1491592875276,4,4628,4,,903d185fccf839df
1491592875457,3,4444,3,,903d185fccf839df
1491592875457,3,4444,3,,903d185fccf839df
1491592875636,1,3522,1,,903d185fccf839df
1491592875636,1,3522,1,,903d185fccf839df
1491592875815,1,3522,1,,903d185fccf839df
1491592875815,1,3522,1,,903d185fccf839df
1491592875996,1,3522,1,,903d185fccf839df
1491592875996,1,3522,1,,903d185fccf839df
1491592876176,1,3522,1,,903d185fccf839df
1491592876176,1,3522,1,,903d185fccf839df
1491592876361,1,3522,1,,903d185fccf839df
1491592876539,1,3522,1,,903d185fccf839df
1491592876539,1,3522,1,,903d185fccf839df
1491592876716,1,3522,1,,903d185fccf839df
1491592876716,1,3522,1,,903d185fccf839df
1491592876897,1,3522,1,,903d185fccf839df
1491592876897,1,3522,1,,903d185fccf839df
1491592877085,1,3522,1,,903d185fccf839df
1491592877085,1,3522,1,,903d185fccf839df
1491592877262,1,3522,1,,903d185fccf839df
1491592877437,1,3522,1,,903d185fccf839df
1491592877437,1,3522,1,,903d185fccf839df
1491592877618,1,3522,1,,903d185fccf839df
1491592877618,1,3522,1,,903d185fccf839df
1491592877797,1,3522,1,,903d185fccf839df
1491592877797,1,3522,1,,903d185fccf839df
1491592877976,1,3522,1,,903d185fccf839df
1491592877976,1,3522,1,,903d185fccf839df
1491592878163,1,3522,1,,903d185fccf839df
1491592878339,1,3522,1,,903d185fccf839df
1491592878339,1,3522,1,,903d185fccf839df
1491592878516,1,3522,1,,903d185fccf839df
1491592878516,1,3522,1,,903d185fccf839df
1491592878698,1,3522,1,,903d185fccf839df
1491592878698,1,3522,1,,903d185fccf839df
1491592878878,2,4136,2,,903d185fccf839df
1491592878878,2,4136,2,,903d185fccf839df
1491592879062,3,3522,3,,903d185fccf839df
1491592879235,4,3890,4,,903d185fccf839df
1491592879235,4,3890,4,,903d185fccf839df
1491592879416,4,3522,4,,903d185fccf839df
1491592879416,4,3522,4,,903d185fccf839df
1491592879600,7,3522,7,,903d185fccf839df
1491592879600,7,3522,7,,903d185fccf839df
1491592879782,10,3380,10,,903d185fccf839df
1491592879782,10,3380,10,,903d185fccf839df
1491592879956,12,3522,12,,903d185fccf839df
1491592880136,21,3890,21,,903d185fccf839df
1491592880136,21,3890,21,,903d185fccf839df
1491592880316,34,3836,34,,903d185fccf839df
1491592880316,34,3836,34,,903d185fccf839df
1491592880496,33,3890,33,,903d185fccf839df
1491592880496,33,3890,33,,903d185fccf839df
1491592880676,46,4113,46,,903d185fccf839df
1491592880676,46,4113,46,,903d185fccf839df
1491592880861,61,3900,61,,903d185fccf839df
1491592881037,83,3702,83,,903d185fccf839df
1491592881037,83,3702,83,,903d185fccf839df
1491592881221,92,3666,92,,903d185fccf839df
1491592881221,92,3666,92,,903d185fccf839df
1491592881402,116,3770,116,,903d185fccf839df
1491592881402,116,3770,116,,903d185fccf839df
1491592881577,124,3568,124,,903d185fccf839df
1491592881577,124,3568,124,,903d185fccf839df
1491592881765,124,3487,124,,903d185fccf839df
1491592881937,131,3522,131,,903d185fccf839df
1491592881937,131,3522,131,,903d185fccf839df
1491592882116,136,3500,136,,903d185fccf839df
1491592882116,136,3500,136,,903d185fccf839df
1491592882297,138,3511,138,,903d185fccf839df
1491592882297,138,3511,138,,903d185fccf839df
1491592882476,149,3610,149,,903d185fccf839df
1491592882476,149,3610,149,,903d185fccf839df
1491592882666,144,3634,144,,903d185fccf839df
1491592882839,138,3639,138,,903d185fccf839df
