timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1491592761708,-10.300000190734863,-33.20000076293945,-19.700000762939453,39.95522520343402,,903d185fccf839df
1491592871588,-17.899999618530273,-16.200000762939453,-44.60000228881836,50.71498952335015,,903d185fccf839df
1491592871668,-18.5,-16.30000114440918,-45,51.312182110674115,,903d185fccf839df
1491592871752,-19.200000762939453,-16.600000381469727,-45.5,52.10038399289425,,903d185fccf839df
1491592871817,-19.600000381469727,-17,-46.10000228881836,52.89962389979946,,903d185fccf839df
1491592871888,-19.80000114440918,-17.30000114440918,-46.70000076293945,53.59309857475821,,903d185fccf839df
1491592871939,-19.899999618530273,-17.399999618530273,-46.79999923706055,53.749511148758074,,903d185fccf839df
1491592871967,-19.899999618530273,-17.399999618530273,-47.10000228881836,54.01092588306641,,903d185fccf839df
1491592872021,-19.700000762939453,-17.399999618530273,-47.29999923706055,54.11229107297173,,903d185fccf839df
1491592872047,-19.600000381469727,-17.399999618530273,-47.400001525878906,54.16345850124792,,903d185fccf839df
1491592872117,-19.399999618530273,-17.200000762939453,-47.10000228881836,53.76439498829156,,903d185fccf839df
1491592872156,-19.30000114440918,-17,-46.900001525878906,53.48925274007299,,903d185fccf839df
1491592872216,-19.100000381469727,-17,-46.400001525878906,52.97896028759244,,903d185fccf839df
1491592872252,-19.100000381469727,-17.100000381469727,-46.400001525878906,53.011133140279185,,903d185fccf839df
1491592872288,-19.100000381469727,-17.100000381469727,-46.20000076293945,52.836163915306685,,903d185fccf839df
1491592872318,-19.100000381469727,-17.200000762939453,-46.10000228881836,52.78124913271536,,903d185fccf839df
1491592872368,-19.200000762939453,-17.30000114440918,-46.20000076293945,52.93741813932573,,903d185fccf839df
1491592872402,-19.200000762939453,-17.5,-46.29999923706055,53.090300018503264,,903d185fccf839df
1491592872539,-19.30000114440918,-17.700000762939453,-46.5,53.36693817647806,,903d185fccf839df
1491592872583,-19.399999618530273,-17.600000381469727,-46.60000228881836,53.45727544358731,,903d185fccf839df
1491592872789,-20.5,-17.5,-45.900001525878906,53.22884611367928,,903d185fccf839df
