timestamp, light1, light2, light3, UUID 
1491593578129,1,5366,1,,903d185fccf839df
1491593579567,1,5366,1,,903d185fccf839df
1491593579747,0,1678,0,,903d185fccf839df
1491593579747,0,1678,0,,903d185fccf839df
1491593579955,0,1678,0,,903d185fccf839df
1491593580108,0,1678,0,,903d185fccf839df
1491593580108,0,1678,0,,903d185fccf839df
1491593580286,1,5366,1,,903d185fccf839df
1491593580286,1,5366,1,,903d185fccf839df
1491593580466,0,1678,0,,903d185fccf839df
1491593580653,1,5366,1,,903d185fccf839df
1491593580653,1,5366,1,,903d185fccf839df
1491593580653,1,5366,1,,903d185fccf839df
1491593580826,1,5366,1,,903d185fccf839df
1491593581012,1,5366,1,,903d185fccf839df
1491593581192,1,3522,1,,903d185fccf839df
1491593581192,1,3522,1,,903d185fccf839df
1491593581366,1,5366,1,,903d185fccf839df
1491593581366,1,5366,1,,903d185fccf839df
1491593581547,1,5366,1,,903d185fccf839df
1491593581547,1,5366,1,,903d185fccf839df
1491593581727,1,5366,1,,903d185fccf839df
1491593581911,1,3522,1,,903d185fccf839df
1491593581911,1,3522,1,,903d185fccf839df
1491593582087,1,3522,1,,903d185fccf839df
1491593582087,1,3522,1,,903d185fccf839df
1491593582266,1,3522,1,,903d185fccf839df
1491593582266,1,3522,1,,903d185fccf839df
1491593582448,1,5366,1,,903d185fccf839df
1491593582448,1,5366,1,,903d185fccf839df
1491593582638,2,4136,2,,903d185fccf839df
1491593582808,1,5366,1,,903d185fccf839df
1491593582808,1,5366,1,,903d185fccf839df
1491593582992,2,5366,2,,903d185fccf839df
1491593582992,2,5366,2,,903d185fccf839df
1491593583168,2,4136,2,,903d185fccf839df
1491593583168,2,4136,2,,903d185fccf839df
1491593583354,2,5366,2,,903d185fccf839df
1491593583354,2,5366,2,,903d185fccf839df
1491593583529,2,4136,2,,903d185fccf839df
1491593583707,4,4628,4,,903d185fccf839df
1491593583707,4,4628,4,,903d185fccf839df
1491593583889,4,4628,4,,903d185fccf839df
1491593583889,4,4628,4,,903d185fccf839df
1491593584068,3,4444,3,,903d185fccf839df
1491593584068,3,4444,3,,903d185fccf839df
1491593584249,5,4136,5,,903d185fccf839df
1491593584249,5,4136,5,,903d185fccf839df
1491593584427,3,4444,3,,903d185fccf839df
1491593584607,2,5366,2,,903d185fccf839df
1491593584607,2,5366,2,,903d185fccf839df
1491593584793,1,5366,1,,903d185fccf839df
1491593584793,1,5366,1,,903d185fccf839df
1491593584966,1,3522,1,,903d185fccf839df
1491593584966,1,3522,1,,903d185fccf839df
1491593585147,1,5366,1,,903d185fccf839df
1491593585147,1,5366,1,,903d185fccf839df
1491593585328,1,3522,1,,903d185fccf839df
1491593585510,1,3522,1,,903d185fccf839df
1491593585510,1,3522,1,,903d185fccf839df
1491593585687,1,3522,1,,903d185fccf839df
1491593585687,1,3522,1,,903d185fccf839df
1491593585866,1,3522,1,,903d185fccf839df
1491593585866,1,3522,1,,903d185fccf839df
1491593586046,1,5366,1,,903d185fccf839df
1491593586046,1,5366,1,,903d185fccf839df
1491593586238,1,3522,1,,903d185fccf839df
1491593586409,1,3522,1,,903d185fccf839df
1491593586409,1,3522,1,,903d185fccf839df
1491593586588,1,3522,1,,903d185fccf839df
1491593586588,1,3522,1,,903d185fccf839df
1491593586770,1,3522,1,,903d185fccf839df
1491593586770,1,3522,1,,903d185fccf839df
1491593586949,2,2907,2,,903d185fccf839df
1491593587127,1,3522,1,,903d185fccf839df
1491593587127,1,3522,1,,903d185fccf839df
1491593587311,1,3522,1,,903d185fccf839df
1491593587311,1,3522,1,,903d185fccf839df
1491593587490,2,4136,2,,903d185fccf839df
1491593587490,2,4136,2,,903d185fccf839df
1491593587667,4,3890,4,,903d185fccf839df
1491593587667,4,3890,4,,903d185fccf839df
1491593587846,4,3890,4,,903d185fccf839df
1491593587846,4,3890,4,,903d185fccf839df
1491593588040,6,3522,6,,903d185fccf839df
1491593588040,6,3522,6,,903d185fccf839df
1491593588218,7,3726,7,,903d185fccf839df
1491593588388,11,3522,11,,903d185fccf839df
1491593588388,11,3522,11,,903d185fccf839df
1491593588568,16,3890,16,,903d185fccf839df
1491593588568,16,3890,16,,903d185fccf839df
1491593588747,23,4136,23,,903d185fccf839df
1491593588747,23,4136,23,,903d185fccf839df
1491593588934,35,4167,35,,903d185fccf839df
1491593589114,52,3914,52,,903d185fccf839df
1491593589114,52,3914,52,,903d185fccf839df
1491593589290,58,3869,58,,903d185fccf839df
1491593589290,58,3869,58,,903d185fccf839df
1491593589467,69,3836,69,,903d185fccf839df
1491593589467,69,3836,69,,903d185fccf839df
1491593589657,93,3553,93,,903d185fccf839df
1491593589657,93,3553,93,,903d185fccf839df
1491593589827,108,3548,108,,903d185fccf839df
1491593590008,117,3559,117,,903d185fccf839df
1491593590008,117,3559,117,,903d185fccf839df
1491593590187,125,3592,125,,903d185fccf839df
1491593590187,125,3592,125,,903d185fccf839df
1491593590366,126,3614,126,,903d185fccf839df
1491593590366,126,3614,126,,903d185fccf839df
1491593590547,130,3646,130,,903d185fccf839df
1491593590547,130,3646,130,,903d185fccf839df
1491593590729,137,3640,137,,903d185fccf839df
1491593590911,135,3653,135,,903d185fccf839df
1491593590911,135,3653,135,,903d185fccf839df
1491593591086,141,3658,141,,903d185fccf839df
1491593591086,141,3658,141,,903d185fccf839df
1491593591279,134,3643,134,,903d185fccf839df
1491593591279,134,3643,134,,903d185fccf839df
1491593591451,135,3609,135,,903d185fccf839df
1491593591451,135,3609,135,,903d185fccf839df
1491593591629,132,3610,132,,903d185fccf839df
1491593591811,131,3543,131,,903d185fccf839df
1491593591811,131,3543,131,,903d185fccf839df
1491593591988,129,3522,129,,903d185fccf839df
1491593591988,129,3522,129,,903d185fccf839df
1491593592167,137,3564,137,,903d185fccf839df
1491593592167,137,3564,137,,903d185fccf839df
1491593592348,136,3586,136,,903d185fccf839df
1491593592348,136,3586,136,,903d185fccf839df
1491593592542,134,3665,134,,903d185fccf839df
1491593592710,132,3798,132,,903d185fccf839df
1491593592710,132,3798,132,,903d185fccf839df
1491593592887,122,3835,122,,903d185fccf839df
1491593592887,122,3835,122,,903d185fccf839df
1491593593067,120,3829,120,,903d185fccf839df
1491593593067,120,3829,120,,903d185fccf839df
1491593593247,119,3752,119,,903d185fccf839df
1491593593247,119,3752,119,,903d185fccf839df
1491593593432,113,3735,113,,903d185fccf839df
1491593593607,113,3694,113,,903d185fccf839df
1491593593607,113,3694,113,,903d185fccf839df
1491593593787,116,3744,116,,903d185fccf839df
1491593593787,116,3744,116,,903d185fccf839df
1491593593970,117,3741,117,,903d185fccf839df
1491593593970,117,3741,117,,903d185fccf839df
1491593594148,123,3781,123,,903d185fccf839df
1491593594148,123,3781,123,,903d185fccf839df
1491593594335,130,3732,130,,903d185fccf839df
1491593594517,131,3729,131,,903d185fccf839df
1491593594517,131,3729,131,,903d185fccf839df
1491593594690,137,3652,137,,903d185fccf839df
1491593594690,137,3652,137,,903d185fccf839df
1491593594875,135,3608,135,,903d185fccf839df
1491593594875,135,3608,135,,903d185fccf839df
1491593595060,132,3577,132,,903d185fccf839df
1491593595060,132,3577,132,,903d185fccf839df
1491593595234,142,3511,142,,903d185fccf839df
1491593595413,140,3341,140,,903d185fccf839df
1491593595413,140,3341,140,,903d185fccf839df
1491593595597,145,3492,145,,903d185fccf839df
1491593595597,145,3492,145,,903d185fccf839df
1491593595772,146,3349,146,,903d185fccf839df
1491593595772,146,3349,146,,903d185fccf839df
1491593595949,149,3369,149,,903d185fccf839df
1491593595949,149,3369,149,,903d185fccf839df
1491593596135,149,3492,149,,903d185fccf839df
1491593596307,144,3272,144,,903d185fccf839df
1491593596307,144,3272,144,,903d185fccf839df
1491593596487,150,3541,150,,903d185fccf839df
1491593596487,150,3541,150,,903d185fccf839df
1491593596677,133,3554,133,,903d185fccf839df
1491593596677,133,3554,133,,903d185fccf839df
1491593596847,99,3772,99,,903d185fccf839df
1491593596847,99,3772,99,,903d185fccf839df
1491593597032,107,3861,107,,903d185fccf839df
1491593597213,112,3879,112,,903d185fccf839df
1491593597213,112,3879,112,,903d185fccf839df
1491593597391,115,4022,115,,903d185fccf839df
1491593597391,115,4022,115,,903d185fccf839df
1491593597569,113,3845,113,,903d185fccf839df
1491593597569,113,3845,113,,903d185fccf839df
1491593597748,104,3763,104,,903d185fccf839df
1491593597748,104,3763,104,,903d185fccf839df
1491593597933,93,3723,93,,903d185fccf839df
1491593598117,83,3785,83,,903d185fccf839df
1491593598117,83,3785,83,,903d185fccf839df
1491593598287,76,3832,76,,903d185fccf839df
1491593598287,76,3832,76,,903d185fccf839df
1491593598467,18,3368,18,,903d185fccf839df
1491593598467,18,3368,18,,903d185fccf839df
1491593598651,16,3354,16,,903d185fccf839df
1491593598827,17,3441,17,,903d185fccf839df
1491593598827,17,3441,17,,903d185fccf839df
1491593598827,17,3441,17,,903d185fccf839df
1491593599015,18,3602,18,,903d185fccf839df
1491593599197,18,3602,18,,903d185fccf839df
1491593599197,18,3602,18,,903d185fccf839df
1491593599367,21,3590,21,,903d185fccf839df
1491593599367,21,3590,21,,903d185fccf839df
1491593599548,23,3458,23,,903d185fccf839df
1491593599548,23,3458,23,,903d185fccf839df
1491593599748,22,3522,22,,903d185fccf839df
1491593599910,26,3637,26,,903d185fccf839df
1491593599910,26,3637,26,,903d185fccf839df
1491593600089,29,3624,29,,903d185fccf839df
1491593600089,29,3624,29,,903d185fccf839df
1491593600268,30,3671,30,,903d185fccf839df
1491593600268,30,3671,30,,903d185fccf839df
1491593600448,33,3706,33,,903d185fccf839df
1491593600628,36,3736,36,,903d185fccf839df
1491593600628,36,3736,36,,903d185fccf839df
1491593600807,37,3822,37,,903d185fccf839df
1491593600807,37,3822,37,,903d185fccf839df
1491593600992,35,3697,35,,903d185fccf839df
1491593600992,35,3697,35,,903d185fccf839df
1491593601177,35,3650,35,,903d185fccf839df
1491593601177,35,3650,35,,903d185fccf839df
1491593601349,33,3706,33,,903d185fccf839df
1491593601349,33,3706,33,,903d185fccf839df
1491593601532,26,3700,26,,903d185fccf839df
1491593601707,16,3522,16,,903d185fccf839df
1491593601707,16,3522,16,,903d185fccf839df
1491593601887,17,3785,17,,903d185fccf839df
1491593601887,17,3785,17,,903d185fccf839df
1491593602071,21,3890,21,,903d185fccf839df
1491593602071,21,3890,21,,903d185fccf839df
1491593602247,23,4089,23,,903d185fccf839df
1491593602247,23,4089,23,,903d185fccf839df
1491593602427,23,4089,23,,903d185fccf839df
1491593602607,26,4013,26,,903d185fccf839df
1491593602607,26,4013,26,,903d185fccf839df
1491593602792,27,3867,27,,903d185fccf839df
1491593602792,27,3867,27,,903d185fccf839df
1491593602969,28,3983,28,,903d185fccf839df
1491593602969,28,3983,28,,903d185fccf839df
1491593603147,30,3996,30,,903d185fccf839df
1491593603147,30,3996,30,,903d185fccf839df
1491593603329,31,4101,31,,903d185fccf839df
1491593603509,32,4034,32,,903d185fccf839df
1491593603509,32,4034,32,,903d185fccf839df
1491593603692,32,3970,32,,903d185fccf839df
1491593603692,32,3970,32,,903d185fccf839df
