timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1491593579557,-18.399999618530273,-15.300000190734863,-43.20000076293945,49.38512044593959,,903d185fccf839df
1491593579836,-18.80000114440918,-16.100000381469727,-45,51.35805735161369,,903d185fccf839df
1491593579886,-18.899999618530273,-16.200000762939453,-45.29999923706055,51.688875671309226,,903d185fccf839df
1491593579986,-19,-16.5,-45.60000228881836,52.082723694348736,,903d185fccf839df
1491593580036,-18.899999618530273,-16.5,-45.5,51.95873354360245,,903d185fccf839df
1491593580149,-18.899999618530273,-16.100000381469727,-44.70000076293945,51.132280423606765,,903d185fccf839df
1491593580247,-18.700000762939453,-15.800000190734863,-44.20000076293945,50.526923981151576,,903d185fccf839df
1491593580295,-18.600000381469727,-15.699999809265137,-44,50.283695291883944,,903d185fccf839df
1491593580355,-18.600000381469727,-15.699999809265137,-44.10000228881836,50.37122385718947,,903d185fccf839df
1491593580386,-18.600000381469727,-15.699999809265137,-43.900001525878906,50.19621594517702,,903d185fccf839df
1491593580416,-18.600000381469727,-15.699999809265137,-44,50.283695291883944,,903d185fccf839df
1491593580466,-18.600000381469727,-15.600000381469727,-44.20000076293945,50.427770647632585,,903d185fccf839df
1491593580496,-18.600000381469727,-15.5,-44.29999923706055,50.48465125369325,,903d185fccf839df
1491593580608,-18.700000762939453,-15.199999809265137,-44.70000076293945,50.78208457847848,,903d185fccf839df
1491593580706,-18.600000381469727,-14.600000381469727,-44.5,50.392162343312535,,903d185fccf839df
1491593580776,-18.80000114440918,-14.199999809265137,-44.29999923706055,50.17539260018807,,903d185fccf839df
1491593580826,-18.899999618530273,-13.800000190734863,-44.400001525878906,50.18974099672521,,903d185fccf839df
1491593580876,-19,-13.199999809265137,-44.400001525878906,50.06595747268047,,903d185fccf839df
1491593580903,-19,-13.100000381469727,-44.5,50.12843520267854,,903d185fccf839df
1491593580956,-19.100000381469727,-12.600000381469727,-45.20000076293945,50.6617220088727,,903d185fccf839df
1491593580988,-19.200000762939453,-12.300000190734863,-45.5,50.893811246490074,,903d185fccf839df
1491593581045,-19.30000114440918,-11.600000381469727,-46,51.215720868566464,,903d185fccf839df
1491593581261,-19.5,-9.800000190734863,-46.29999923706055,51.185739638318964,,903d185fccf839df
1491593581346,-19.30000114440918,-9.90000057220459,-46.60000228881836,51.40097629198818,,903d185fccf839df
1491593581399,-19.200000762939453,-10.100000381469727,-46.900001525878906,51.674559812696394,,903d185fccf839df
1491593581428,-19.200000762939453,-10.40000057220459,-47,51.82470478391499,,903d185fccf839df
1491593581466,-19.100000381469727,-10.800000190734863,-47.20000076293945,52.05084171255869,,903d185fccf839df
1491593581508,-19,-11.199999809265137,-47.5,52.370697864473904,,903d185fccf839df
1491593581546,-19,-11.800000190734863,-47.70000076293945,52.683299484330554,,903d185fccf839df
1491593581577,-19,-12.199999809265137,-47.70000076293945,52.774331216988344,,903d185fccf839df
1491593581621,-19,-12.699999809265137,-47.5,52.711858184720946,,903d185fccf839df
1491593581665,-18.899999618530273,-13.5,-47.400001525878906,52.78465918580254,,903d185fccf839df
1491593581698,-18.899999618530273,-13.90000057220459,-47.20000076293945,52.7092031937342,,903d185fccf839df
1491593581749,-18.700000762939453,-14.5,-47.20000076293945,52.79943295954616,,903d185fccf839df
1491593581786,-18.600000381469727,-14.800000190734863,-47.10000228881836,52.75803433381098,,903d185fccf839df
1491593581816,-18.600000381469727,-15,-47.10000228881836,52.81448833627621,,903d185fccf839df
1491593581869,-18.399999618530273,-15.300000190734863,-47.5,53.18740461006979,,903d185fccf839df
1491593581929,-18.30000114440918,-15.300000190734863,-47.900001525878906,53.51065513533445,,903d185fccf839df
1491593581966,-18.200000762939453,-15.199999809265137,-48.10000228881836,53.627326256862375,,903d185fccf839df
1491593581976,-18.200000762939453,-15.199999809265137,-48.20000076293945,53.717036443501435,,903d185fccf839df
1491593582017,-18.200000762939453,-15,-48.29999923706055,53.75062709708676,,903d185fccf839df
1491593582077,-18.399999618530273,-15.100000381469727,-48.400001525878906,53.93635198933989,,903d185fccf839df
1491593582106,-18.600000381469727,-15.300000190734863,-48.29999923706055,53.97165854545755,,903d185fccf839df
1491593582146,-19,-15.600000381469727,-48,53.92921300991829,,903d185fccf839df
1491593582186,-19.5,-15.800000190734863,-47.5,53.72280706915498,,903d185fccf839df
1491593582236,-20.100000381469727,-16.100000381469727,-46.900001525878906,53.50542158660332,,903d185fccf839df
1491593582275,-20.600000381469727,-16.30000114440918,-46.5,53.40692884662181,,903d185fccf839df
1491593582306,-21,-16.5,-46.20000076293945,53.36375348068083,,903d185fccf839df
1491593582366,-21.399999618530273,-16.5,-45.79999923706055,53.17753175950538,,903d185fccf839df
1491593582396,-21.600000381469727,-16.30000114440918,-45.5,52.93864430673642,,903d185fccf839df
1491593582426,-21.700000762939453,-16.100000381469727,-45.29999923706055,52.74646823142448,,903d185fccf839df
1491593582467,-21.600000381469727,-15.90000057220459,-45.20000076293945,52.55863468504538,,903d185fccf839df
1491593582515,-21.5,-15.5,-45.20000076293945,52.39790109405624,,903d185fccf839df
1491593582576,-21.5,-15.100000381469727,-45.400001525878906,52.45398141243069,,903d185fccf839df
1491593582619,-21.399999618530273,-14.90000057220459,-45.400001525878906,52.355803474597764,,903d185fccf839df
1491593582656,-21.5,-15,-45.5,52.51190341246449,,903d185fccf839df
1491593582718,-21.80000114440918,-15.100000381469727,-45.20000076293945,52.405057962926215,,903d185fccf839df
1491593582755,-21.899999618530273,-15.199999809265137,-45,52.30344136515011,,903d185fccf839df
1491593582795,-22,-15.40000057220459,-45.10000228881836,52.48971587679961,,903d185fccf839df
1491593582826,-22,-15.699999809265137,-45,52.492761312721726,,903d185fccf839df
1491593582857,-22,-15.800000190734863,-44.900001525878906,52.43710643452388,,903d185fccf839df
1491593582895,-21.80000114440918,-15.90000057220459,-45.10000228881836,52.55530722955736,,903d185fccf839df
1491593582947,-21.80000114440918,-15.90000057220459,-45.20000076293945,52.641144584340246,,903d185fccf839df
1491593582991,-21.700000762939453,-15.600000381469727,-45.29999923706055,52.59600654788495,,903d185fccf839df
1491593583025,-21.600000381469727,-15.300000190734863,-45.60000228881836,52.72580153107894,,903d185fccf839df
1491593583057,-21.600000381469727,-14.90000057220459,-45.79999923706055,52.784561477954156,,903d185fccf839df
1491593583106,-21.5,-14.300000190734863,-45.5,52.31624991810063,,903d185fccf839df
1491593583156,-21.700000762939453,-13.90000057220459,-45.5,52.291013254082884,,903d185fccf839df
1491593583176,-21.700000762939453,-13.699999809265137,-45.29999923706055,52.06409392372667,,903d185fccf839df
1491593583225,-21.899999618530273,-13.40000057220459,-45,51.808976038606914,,903d185fccf839df
1491593583266,-22,-13.300000190734863,-45,51.825572832238414,,903d185fccf839df
1491593583298,-21.899999618530273,-13.100000381469727,-45.10000228881836,51.81920739578089,,903d185fccf839df
1491593583356,-22,-12.699999809265137,-44.79999923706055,51.50077582210117,,903d185fccf839df
1491593583386,-22.100000381469727,-12.5,-44.79999923706055,51.49465914688918,,903d185fccf839df
1491593583415,-22.200000762939453,-12.100000381469727,-44.79999923706055,51.44210286827091,,903d185fccf839df
1491593583477,-22.200000762939453,-11.5,-44.79999923706055,51.304287772540576,,903d185fccf839df
1491593583487,-22.100000381469727,-11.40000057220459,-45,51.41371422466944,,903d185fccf839df
1491593583558,-21.899999618530273,-10.199999809265137,-45.20000076293945,51.25124406002449,,903d185fccf839df
1491593583582,-21.899999618530273,-9.90000057220459,-45.29999923706055,51.28069655208661,,903d185fccf839df
1491593583616,-21.899999618530273,-9.199999809265137,-45.79999923706055,51.59350615454755,,903d185fccf839df
1491593583673,-21.899999618530273,-8.600000381469727,-46.400001525878906,52.024323130085556,,903d185fccf839df
1491593583706,-22,-8.199999809265137,-46.60000228881836,52.18045899183088,,903d185fccf839df
1491593583772,-22.200000762939453,-7.599999904632568,-47.20000076293945,52.71091075923112,,903d185fccf839df
1491593583827,-22.5,-7.099999904632568,-48,53.485138121233376,,903d185fccf839df
1491593583888,-22.5,-7,-48.79999923706055,54.19123491309503,,903d185fccf839df
1491593583956,-22.30000114440918,-7.099999904632568,-50,55.20597828958302,,903d185fccf839df
1491593583996,-22.100000381469727,-7.400000095367432,-51.10000228881836,56.16386926553819,,903d185fccf839df
1491593584016,-22.100000381469727,-7.5,-51.70000076293945,56.72345317750727,,903d185fccf839df
1491593584086,-22.100000381469727,-7.5,-53.70000076293945,58.55211515572247,,903d185fccf839df
1491593584148,-22.600000381469727,-6.900000095367432,-56.20000076293945,60.96564767082239,,903d185fccf839df
1491593584175,-23,-6.300000190734863,-57.10000228881836,61.87972332429587,,903d185fccf839df
1491593584225,-23.600000381469727,-6.400000095367432,-58.29999923706055,63.220328356075086,,903d185fccf839df
1491593584266,-24.30000114440918,-6.200000286102295,-59.29999923706055,64.38493646766543,,903d185fccf839df
1491593584305,-24.600000381469727,-5.900000095367432,-60.10000228881836,65.20721041003999,,903d185fccf839df
1491593584351,-25.30000114440918,-5.900000095367432,-61.20000076293945,66.48563961345931,,903d185fccf839df
1491593584386,-26.100000381469727,-6.300000190734863,-62.900001525878906,68.39086328351225,,903d185fccf839df
1491593584426,-26.5,-6.599999904632568,-64.30000305175781,69.85914565705477,,903d185fccf839df
1491593584467,-26.80000114440918,-7.099999904632568,-65.80000305175781,71.4023156215325,,903d185fccf839df
1491593584501,-26.700000762939453,-7.400000095367432,-66.20000457763672,71.76413063970168,,903d185fccf839df
1491593584555,-27,-8,-67.20000457763672,72.86179259606848,,903d185fccf839df
1491593584597,-27,-8.800000190734863,-67.80000305175781,73.50700874387867,,903d185fccf839df
1491593584626,-27.100000381469727,-9.300000190734863,-68.20000457763672,73.97391947388688,,903d185fccf839df
1491593584669,-27.100000381469727,-9.90000057220459,-68.5,74.3281241788417,,903d185fccf839df
1491593584696,-27.100000381469727,-10.300000190734863,-68.4000015258789,74.29037687844047,,903d185fccf839df
1491593584746,-27.30000114440918,-11.100000381469727,-68.4000015258789,74.47858822755784,,903d185fccf839df
1491593584777,-27.5,-11.40000057220459,-68.4000015258789,74.59738645091808,,903d185fccf839df
1491593584826,-27.700000762939453,-11.699999809265137,-68.4000015258789,74.71773616114115,,903d185fccf839df
1491593584856,-27.899999618530273,-11.699999809265137,-68.30000305175781,74.70067334056755,,903d185fccf839df
1491593584906,-28.30000114440918,-11.800000190734863,-68.30000305175781,74.86668622409275,,903d185fccf839df
1491593584956,-28.700000762939453,-12,-68.20000457763672,74.9595276541469,,903d185fccf839df
1491593584976,-28.899999618530273,-12.100000381469727,-68.0999984741211,74.96152231565777,,903d185fccf839df
1491593585026,-29.200000762939453,-12.300000190734863,-67.9000015258789,74.92890082900828,,903d185fccf839df
1491593585065,-29.399999618530273,-12.40000057220459,-67.70000457763672,74.84257159171469,,903d185fccf839df
1491593585096,-29.600000381469727,-12.5,-67.30000305175781,74.5768098105801,,903d185fccf839df
1491593585146,-29.899999618530273,-12.699999809265137,-66.80000305175781,74.28014658299755,,903d185fccf839df
1491593585208,-29.80000114440918,-12.800000190734863,-66.0999984741211,73.62805179818817,,903d185fccf839df
1491593585227,-29.80000114440918,-12.699999809265137,-65.9000015258789,73.43119290153459,,903d185fccf839df
1491593585266,-29.600000381469727,-12.600000381469727,-65.5999984741211,73.06353336122311,,903d185fccf839df
1491593585300,-29.200000762939453,-12.600000381469727,-65.30000305175781,72.63257090620786,,903d185fccf839df
1491593585357,-28.399999618530273,-13.100000381469727,-64.80000305175781,71.9528355297516,,903d185fccf839df
1491593585385,-27.899999618530273,-13.5,-64.5999984741211,71.65067788313856,,903d185fccf839df
1491593585428,-27.100000381469727,-13.90000057220459,-64.30000305175781,71.14850870206166,,903d185fccf839df
1491593585457,-26.600000381469727,-14.199999809265137,-64.20000457763672,70.92841900076613,,903d185fccf839df
1491593585495,-25.899999618530273,-14.40000057220459,-64,70.52779603410087,,903d185fccf839df
1491593585587,-24.700000762939453,-14.90000057220459,-63.5,69.74489254863823,,903d185fccf839df
1491593585616,-24.5,-14.90000057220459,-63.10000228881836,69.30995860140247,,903d185fccf839df
1491593585665,-24.399999618530273,-15,-62.400001525878906,68.65945120125716,,903d185fccf839df
1491593585687,-24.399999618530273,-15,-62,68.29611984111222,,903d185fccf839df
