prediction, timestamp 
sitting,1490102875037
sitting,1490102876541
sitting,1490102878016
sitting,1490102879504
sitting,1490102881038
sitting,1490102882523
sitting,1490102884021
sitting,1490102885536
sitting,1490102887358
sitting,1490102888491
sitting,1490102889989
sitting,1490102891490
sitting,1490102893005
sitting,1490102894495
sitting,1490102895992
sitting,1490102897499
sitting,1490102899084
sitting,1490102900519
sitting,1490102902021
sitting,1490102903511
sitting,1490102904981
sitting,1490102906727
sitting,1490102908020
sitting,1490102909519
sitting,1490102910996
sitting,1490102912514
sitting,1490102914030
sitting,1490102917343
sitting,1490102918507
sitting,1490102920023
sitting,1490102921517
sitting,1490102924021
sitting,1490102924511
sitting,1490102926013
sitting,1490102927732
sitting,1490102929007
sitting,1490102930507
sitting,1490102932177
sitting,1490102933524
sitting,1490102935003
sitting,1490102936510
sitting,1490102938036
sitting,1490102939523
sitting,1490102941008
sitting,1490102942538
sitting,1490102944029
sitting,1490102945515
sitting,1490102948104
sitting,1490102948507
sitting,1490102950011
sitting,1490102951497
sitting,1490102953095
sitting,1490102954639
sitting,1490102956007
sitting,1490102958658
sitting,1490102959007
sitting,1490102960518
sitting,1490102962008
sitting,1490102963507
sitting,1490102965018
sitting,1490102966510
sitting,1490102968013
sitting,1490102971276
sitting,1490102971347
sitting,1490102972518
sitting,1490102974015
sitting,1490102975510
sitting,1490102977070
sitting,1490102978627
sitting,1490102980015
sitting,1490102981514
sitting,1490102983019
sitting,1490102984515
sitting,1490102985991
sitting,1490102987483
sitting,1490102989035
sitting,1490102990499
sitting,1490102992001
sitting,1490102993521
sitting,1490102996458
sitting,1490102996537
sitting,1490102998111
sitting,1490102999509
sitting,1490103001016
sitting,1490103002508
sitting,1490103004440
sitting,1490103005485
sitting,1490103006984
sitting,1490103008507
sitting,1490103009989
sitting,1490103011530
sitting,1490103013012
sitting,1490103014650
sitting,1490103016137
sitting,1490103017487
sitting,1490103018981
sitting,1490103020531
sitting,1490103021984
sitting,1490103023494
sitting,1490103024983
sitting,1490103026518
sitting,1490103028010
sitting,1490103029521
sitting,1490103031011
sitting,1490103032631
sitting,1490103034007
sitting,1490103035541
sitting,1490103037006
sitting,1490103039352
sitting,1490103040009
sitting,1490103041504
sitting,1490103043024
sitting,1490103044515
sitting,1490103046026
sitting,1490103047521
sitting,1490103049011
sitting,1490103050514
sitting,1490103052023
sitting,1490103053512
sitting,1490103055107
sitting,1490103056505
sitting,1490103058026
sitting,1490103059502
sitting,1490103061005
sitting,1490103062525
sitting,1490103064027
sitting,1490103065510
sitting,1490103067028
sitting,1490103068507
sitting,1490103070010
sitting,1490103071528
sitting,1490103073012
sitting,1490103074642
sitting,1490103076106
sitting,1490103077522
sitting,1490103079009
sitting,1490103080529
sitting,1490103082011
sitting,1490103083509
sitting,1490103085037
sitting,1490103086504
sitting,1490103088013
sitting,1490103089535
sitting,1490103091011
sitting,1490103092565
sitting,1490103094173
sitting,1490103095513
sitting,1490103097024
sitting,1490103098507
sitting,1490103100025
sitting,1490103101567
sitting,1490103103021
sitting,1490103106123
sitting,1490103107537
sitting,1490103109013
sitting,1490103110509
sitting,1490103112043
sitting,1490103113545
sitting,1490103115018
sitting,1490103116646
sitting,1490103118147
sitting,1490103119508
sitting,1490103121012
walking,1490103122544
walking downstairs,1490103124018
walking downstairs,1490103125516
walking downstairs,1490103127040
walking,1490103128522
sitting,1490103130019
sitting,1490103131537
sitting,1490103133023
sitting,1490103134522
sitting,1490103136040
sitting,1490103137519
sitting,1490103139141
sitting,1490103140603
sitting,1490103142010
sitting,1490103143509
sitting,1490103145026
sitting,1490103146508
sitting,1490103148016
sitting,1490103149556
sitting,1490103151017
sitting,1490103152512
sitting,1490103154038
sitting,1490103157256
sitting,1490103158519
sitting,1490103160044
sitting,1490103161657
sitting,1490103163163
sitting,1490103164506
sitting,1490103166016
sitting,1490103167591
sitting,1490103169015
sitting,1490103170515
sitting,1490103172037
sitting,1490103173519
sitting,1490103175010
sitting,1490103176539
sitting,1490103178008
sitting,1490103179506
sitting,1490103181036
sitting,1490103182525
sitting,1490103184019
sitting,1490103185670
sitting,1490103187116
sitting,1490103188520
sitting,1490103190007
sitting,1490103191529
sitting,1490103193014
sitting,1490103194521
walking downstairs,1490103196020
walking downstairs,1490103197515
walking downstairs,1490103199015
walking downstairs,1490103201420
walking downstairs,1490103202502
walking downstairs,1490103203846
walking downstairs,1490103205335
walking downstairs,1490103206857
walking downstairs,1490103208348
walking downstairs,1490103209839
walking downstairs,1490103211445
walking downstairs,1490103212848
walking downstairs,1490103214353
walking downstairs,1490103216026
walking downstairs,1490103217360
walking downstairs,1490103218843
walking downstairs,1490103220346
sitting,1490103221860
sitting,1490103223411
sitting,1490103224851
sitting,1490103226358
sitting,1490103229004
sitting,1490103229358
sitting,1490103230841
sitting,1490103232340
sitting,1490103233856
sitting,1490103235539
sitting,1490103236945
sitting,1490103238310
sitting,1490103239820
sitting,1490103241323
sitting,1490103242821
sitting,1490103244323
sitting,1490103245816
sitting,1490103247326
sitting,1490103248824
sitting,1490103250313
sitting,1490103251938
sitting,1490103253325
sitting,1490103254822
walking downstairs,1490103256313
walking downstairs,1490103257813
walking downstairs,1490103259324
walking downstairs,1490103260853
walking downstairs,1490103262341
sitting,1490103263844
walking downstairs,1490103265366
walking,1490103266862
sitting,1490103268357
walking,1490103269833
walking downstairs,1490103271341
walking downstairs,1490103272836
walking downstairs,1490103274350
walking downstairs,1490103275837
sitting,1490103277338
sitting,1490103278852
sitting,1490103280337
sitting,1490103281981
sitting,1490103283356
sitting,1490103284834
sitting,1490103286346
sitting,1490103287838
sitting,1490103289359
sitting,1490103290836
sitting,1490103292337
sitting,1490103293842
walking downstairs,1490103295343
walking downstairs,1490103296848
walking downstairs,1490103298340
walking,1490103299836
walking downstairs,1490103301414
walking downstairs,1490103302990
walking downstairs,1490103304346
walking downstairs,1490103305858
walking downstairs,1490103307352
walking downstairs,1490103308888
walking downstairs,1490103310359
walking downstairs,1490103311830
walking downstairs,1490103314752
walking downstairs,1490103314852
walking downstairs,1490103316340
walking,1490103317837
sitting,1490103319915
sitting,1490103320847
walking,1490103322339
walking downstairs,1490103323877
walking downstairs,1490103325351
walking downstairs,1490103326863
walking downstairs,1490103328479
walking downstairs,1490103330005
walking downstairs,1490103331352
sitting,1490103332839
sitting,1490103334349
sitting,1490103335841
walking,1490103337345
sitting,1490103339250
sitting,1490103340382
walking,1490103341840
walking downstairs,1490103343341
walking downstairs,1490103344847
walking downstairs,1490103346344
walking upstairs,1490103347840
walking upstairs,1490103349344
walking downstairs,1490103350853
walking downstairs,1490103352480
walking downstairs,1490103353850
walking downstairs,1490103355363
walking downstairs,1490103356838
walking downstairs,1490103360138
walking downstairs,1490103361350
walking downstairs,1490103362833
walking downstairs,1490103364365
walking downstairs,1490103365848
walking downstairs,1490103367313
walking downstairs,1490103368819
walking downstairs,1490103370359
walking downstairs,1490103371084
walking downstairs,1490103372589
walking downstairs,1490103374440
walking downstairs,1490103375596
walking downstairs,1490103377071
walking downstairs,1490103378569
sitting,1490103380101
sitting,1490103381596
sitting,1490103383086
sitting,1490103384610
sitting,1490103386105
sitting,1490103387599
sitting,1490103389089
sitting,1490103390623
sitting,1490103392155
sitting,1490103393709
sitting,1490103395115
sitting,1490103396603
sitting,1490103398115
sitting,1490103399594
sitting,1490103401108
sitting,1490103402591
sitting,1490103404098
sitting,1490103405640
sitting,1490103407101
sitting,1490103408582
sitting,1490103410087
sitting,1490103411578
sitting,1490103413081
sitting,1490103414618
sitting,1490103416093
sitting,1490103417588
sitting,1490103419112
sitting,1490103420633
sitting,1490103422229
sitting,1490103423702
sitting,1490103425111
sitting,1490103426609
