timestamp, latitude, longitude, accuracy, UUID 
1490102861317,48.148924,11.5677293,19.93899917602539,,903d185fccf839df
1490102875534,48.148924,11.5677293,19.895000457763672,,903d185fccf839df
1490102878804,48.1489826,11.5666903,24,,903d185fccf839df
1490102879785,48.1489716,11.566683,24,,903d185fccf839df
1490102880785,48.1489604,11.5666776,24,,903d185fccf839df
1490102881803,48.1489438,11.5667044,16,,903d185fccf839df
1490102882803,48.1489567,11.5666669,16,,903d185fccf839df
1490102884000,48.1489684,11.5666579,16,,903d185fccf839df
1490102885000,48.1489633,11.5666654,32,,903d185fccf839df
1490102886000,48.1489632,11.5666659,48,,903d185fccf839df
1490102887000,48.1489632,11.5666659,24,,903d185fccf839df
1490102888000,48.1489632,11.5666659,24,,903d185fccf839df
1490102889000,48.1489632,11.5666659,32,,903d185fccf839df
1490102890000,48.1489632,11.5666659,32,,903d185fccf839df
1490102891000,48.1489632,11.5666659,32,,903d185fccf839df
1490102892000,48.1489632,11.5666659,32,,903d185fccf839df
1490102893000,48.1489632,11.5666659,32,,903d185fccf839df
1490102894000,48.1489632,11.5666659,12,,903d185fccf839df
1490102895000,48.1489632,11.5666659,16,,903d185fccf839df
1490102896000,48.1489632,11.5666659,24,,903d185fccf839df
1490102897000,48.1489632,11.5666659,24,,903d185fccf839df
1490102898000,48.1489632,11.5666659,24,,903d185fccf839df
1490102902165,48.1489632,11.5666659,24,,903d185fccf839df
1490102907219,48.1489632,11.5666659,24,,903d185fccf839df
1490102912256,48.148827,11.5682096,64.0999984741211,,903d185fccf839df
1490102917253,48.1486146,11.5680654,19.6200008392334,,903d185fccf839df
1490102922309,48.1486146,11.5680654,19.635000228881836,,903d185fccf839df
1490102927270,48.1486146,11.5680654,19.6299991607666,,903d185fccf839df
1490102932293,48.1486146,11.5680654,20.64900016784668,,903d185fccf839df
1490102937312,48.1486146,11.5680654,19.798999786376953,,903d185fccf839df
1490102942199,48.1484636,11.5680032,22.781999588012695,,903d185fccf839df
1490102947563,48.1481718,11.56778,19.829999923706055,,903d185fccf839df
1490102952605,48.1483328,11.5677433,20.665000915527344,,903d185fccf839df
1490102954000,48.1481622,11.5675872,48,,903d185fccf839df
1490102955000,48.1481765,11.5675382,48,,903d185fccf839df
1490102956000,48.148159,11.5675035,48,,903d185fccf839df
1490102957000,48.1481705,11.5674701,32,,903d185fccf839df
1490102958000,48.1481547,11.5674152,32,,903d185fccf839df
1490102959000,48.148147,11.5674049,32,,903d185fccf839df
1490102960000,48.148147,11.5674049,32,,903d185fccf839df
1490102961000,48.148147,11.5674049,24,,903d185fccf839df
1490102962000,48.148147,11.5674049,24,,903d185fccf839df
1490102963000,48.148147,11.5674049,24,,903d185fccf839df
1490102964000,48.148147,11.5674049,48,,903d185fccf839df
1490102965000,48.148147,11.5674049,96,,903d185fccf839df
1490102966000,48.148147,11.5674049,96,,903d185fccf839df
1490102967000,48.148147,11.5674049,96,,903d185fccf839df
1490102968000,48.148147,11.5674049,96,,903d185fccf839df
1490102969000,48.148147,11.5674049,96,,903d185fccf839df
1490102970000,48.148147,11.5674049,96,,903d185fccf839df
1490102971000,48.148147,11.5674049,96,,903d185fccf839df
1490102972000,48.148147,11.5674049,96,,903d185fccf839df
1490102973000,48.148147,11.5674049,96,,903d185fccf839df
1490102974000,48.148147,11.5674049,96,,903d185fccf839df
1490102975000,48.148147,11.5674049,48,,903d185fccf839df
1490102984470,48.1483127,11.567941,20.05900001525879,,903d185fccf839df
1490102989505,48.148451,11.5677405,21.783000946044922,,903d185fccf839df
1490102994597,48.1487202,11.5677999,19.801000595092773,,903d185fccf839df
1490103005439,48.1487202,11.5677999,19.628000259399414,,903d185fccf839df
1490103010472,48.1487202,11.5677999,20.66200065612793,,903d185fccf839df
1490103015452,48.148841,11.5681586,19.607999801635742,,903d185fccf839df
1490103021073,48.1489165,11.5681897,20.67300033569336,,903d185fccf839df
1490103026726,48.1489266,11.5680909,20.466999053955078,,903d185fccf839df
1490103030252,48.1490574,11.5683507,20.672000885009766,,903d185fccf839df
1490103035524,48.1492084,11.5684129,22.13599967956543,,903d185fccf839df
1490103040613,48.1492084,11.5684129,26.77400016784668,,903d185fccf839df
1490103045727,48.1493946,11.5689016,21.40999984741211,,903d185fccf839df
1490103050494,48.1493292,11.5687717,23.179000854492188,,903d185fccf839df
1490103055883,48.1493292,11.5687717,23.179000854492188,,903d185fccf839df
1490103059000,48.1500544,11.5688275,32,,903d185fccf839df
1490103059999,48.1500646,11.5688324,48,,903d185fccf839df
1490103060999,48.1500639,11.5688322,32,,903d185fccf839df
1490103061999,48.1500554,11.5688296,32,,903d185fccf839df
1490103062999,48.1500494,11.5688253,24,,903d185fccf839df
1490103063999,48.1500144,11.5688263,24,,903d185fccf839df
1490103064999,48.1499791,11.5688268,24,,903d185fccf839df
1490103065999,48.1499495,11.5688248,24,,903d185fccf839df
1490103066999,48.14992,11.5688222,16,,903d185fccf839df
1490103067999,48.1498908,11.5688199,16,,903d185fccf839df
1490103068999,48.1498617,11.5688172,16,,903d185fccf839df
1490103068747,48.1498617,11.5688172,23.65399932861328,,903d185fccf839df
1490103069999,48.1498329,11.5688149,16,,903d185fccf839df
1490103070999,48.1498329,11.5688148,16,,903d185fccf839df
1490103071999,48.1498329,11.5688148,16,,903d185fccf839df
1490103072999,48.1498329,11.5688148,16,,903d185fccf839df
1490103073999,48.1498329,11.5688148,32,,903d185fccf839df
1490103074999,48.1498329,11.5688148,32,,903d185fccf839df
1490103075999,48.1498329,11.5688148,32,,903d185fccf839df
1490103076999,48.1498329,11.5688148,32,,903d185fccf839df
1490103077999,48.1498329,11.5688148,48,,903d185fccf839df
1490103078999,48.1498329,11.5688148,48,,903d185fccf839df
1490103079999,48.1498329,11.5688148,24,,903d185fccf839df
1490103080999,48.1498329,11.5688148,32,,903d185fccf839df
1490103081999,48.1498329,11.5688148,32,,903d185fccf839df
1490103082999,48.1498329,11.5688148,96,,903d185fccf839df
1490103083999,48.1498329,11.5688148,96,,903d185fccf839df
