timestamp, light1, light2, light3, UUID 
1490102873586,16047,6473,16047,,903d185fccf839df
1490102873772,15054,6561,15054,,903d185fccf839df
1490102873772,15054,6561,15054,,903d185fccf839df
1490102873937,14542,6601,14542,,903d185fccf839df
1490102873937,14542,6601,14542,,903d185fccf839df
1490102874119,13900,6657,13900,,903d185fccf839df
1490102874119,13900,6657,13900,,903d185fccf839df
1490102874300,13870,6661,13870,,903d185fccf839df
1490102874300,13870,6661,13870,,903d185fccf839df
1490102874476,13915,6656,13915,,903d185fccf839df
1490102874476,13915,6656,13915,,903d185fccf839df
1490102874656,14329,6611,14329,,903d185fccf839df
1490102874844,14390,6607,14390,,903d185fccf839df
1490102874844,14390,6607,14390,,903d185fccf839df
1490102875052,14345,6612,14345,,903d185fccf839df
1490102875052,14345,6612,14345,,903d185fccf839df
1490102875197,14491,6597,14491,,903d185fccf839df
1490102875197,14491,6597,14491,,903d185fccf839df
1490102875383,14810,6582,14810,,903d185fccf839df
1490102875560,14847,6556,14847,,903d185fccf839df
1490102875560,14847,6556,14847,,903d185fccf839df
1490102875736,14568,6549,14568,,903d185fccf839df
1490102875736,14568,6549,14568,,903d185fccf839df
1490102875916,14556,6536,14556,,903d185fccf839df
1490102875916,14556,6536,14556,,903d185fccf839df
1490102876095,14795,6532,14795,,903d185fccf839df
1490102876095,14795,6532,14795,,903d185fccf839df
1490102876275,14846,6483,14846,,903d185fccf839df
1490102876275,14846,6483,14846,,903d185fccf839df
1490102876467,14584,6457,14584,,903d185fccf839df
1490102876638,14581,6466,14581,,903d185fccf839df
1490102876638,14581,6466,14581,,903d185fccf839df
1490102876815,14297,6459,14297,,903d185fccf839df
1490102876815,14297,6459,14297,,903d185fccf839df
1490102876999,14179,6454,14179,,903d185fccf839df
1490102876999,14179,6454,14179,,903d185fccf839df
1490102877178,13787,6427,13787,,903d185fccf839df
1490102877355,13865,6407,13865,,903d185fccf839df
1490102877355,13865,6407,13865,,903d185fccf839df
1490102877537,13568,6358,13568,,903d185fccf839df
1490102877537,13568,6358,13568,,903d185fccf839df
1490102877716,12989,6413,12989,,903d185fccf839df
1490102877716,12989,6413,12989,,903d185fccf839df
1490102877895,12939,6424,12939,,903d185fccf839df
1490102877895,12939,6424,12939,,903d185fccf839df
1490102878075,12787,6426,12787,,903d185fccf839df
1490102878255,12568,6425,12568,,903d185fccf839df
1490102878255,12568,6425,12568,,903d185fccf839df
1490102878440,11621,6428,11621,,903d185fccf839df
1490102878440,11621,6428,11621,,903d185fccf839df
1490102878626,12295,6435,12295,,903d185fccf839df
1490102878626,12295,6435,12295,,903d185fccf839df
1490102878801,12330,6435,12330,,903d185fccf839df
1490102878801,12330,6435,12330,,903d185fccf839df
1490102878981,11769,6438,11769,,903d185fccf839df
1490102878981,11769,6438,11769,,903d185fccf839df
1490102879156,11444,6449,11444,,903d185fccf839df
1490102879335,11741,6460,11741,,903d185fccf839df
1490102879335,11741,6460,11741,,903d185fccf839df
1490102879515,11548,6447,11548,,903d185fccf839df
1490102879515,11548,6447,11548,,903d185fccf839df
1490102879698,11542,6459,11542,,903d185fccf839df
1490102879698,11542,6459,11542,,903d185fccf839df
1490102879877,11122,6479,11122,,903d185fccf839df
1490102879877,11122,6479,11122,,903d185fccf839df
1490102880066,10695,6607,10695,,903d185fccf839df
1490102880239,10030,6598,10030,,903d185fccf839df
1490102880239,10030,6598,10030,,903d185fccf839df
1490102880416,10347,6610,10347,,903d185fccf839df
1490102880416,10347,6610,10347,,903d185fccf839df
1490102880596,10065,6603,10065,,903d185fccf839df
1490102880596,10065,6603,10065,,903d185fccf839df
1490102880784,9622,6601,9622,,903d185fccf839df
1490102880784,9622,6601,9622,,903d185fccf839df
1490102880956,9595,6585,9595,,903d185fccf839df
1490102881137,9194,6554,9194,,903d185fccf839df
1490102881137,9194,6554,9194,,903d185fccf839df
1490102881324,8915,6558,8915,,903d185fccf839df
1490102881324,8915,6558,8915,,903d185fccf839df
1490102881495,8401,6529,8401,,903d185fccf839df
1490102881495,8401,6529,8401,,903d185fccf839df
1490102881675,7562,6570,7562,,903d185fccf839df
1490102881675,7562,6570,7562,,903d185fccf839df
1490102881857,5994,6624,5994,,903d185fccf839df
1490102882041,5253,6617,5253,,903d185fccf839df
1490102882041,5253,6617,5253,,903d185fccf839df
1490102882215,2805,6715,2805,,903d185fccf839df
1490102882215,2805,6715,2805,,903d185fccf839df
1490102882402,1615,6576,1615,,903d185fccf839df
1490102882402,1615,6576,1615,,903d185fccf839df
1490102882576,1160,6307,1160,,903d185fccf839df
1490102882755,1066,6288,1066,,903d185fccf839df
1490102882755,1066,6288,1066,,903d185fccf839df
1490102882936,940,6170,940,,903d185fccf839df
1490102882936,940,6170,940,,903d185fccf839df
1490102883118,793,5995,793,,903d185fccf839df
1490102883118,793,5995,793,,903d185fccf839df
1490102883311,658,5719,658,,903d185fccf839df
1490102883311,658,5719,658,,903d185fccf839df
1490102883476,653,5722,653,,903d185fccf839df
1490102883476,653,5722,653,,903d185fccf839df
1490102883657,621,5657,621,,903d185fccf839df
1490102883836,618,5686,618,,903d185fccf839df
1490102883836,618,5686,618,,903d185fccf839df
1490102884016,464,5298,464,,903d185fccf839df
1490102884016,464,5298,464,,903d185fccf839df
