timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1490102337885,20.100000381469727,13.100000381469727,-3.4000000953674316,24.231797829595358,,903d185fccf839df
1490102873940,-17.700000762939453,-16.5,-16.700000762939453,29.40119136550316,,903d185fccf839df
1490102873957,-18.100000381469727,-17.30000114440918,-15.800000190734863,29.6064191404717,,903d185fccf839df
1490102874051,-17.5,-16.700000762939453,-16.30000114440918,29.168991199687074,,903d185fccf839df
1490102874121,-18.100000381469727,-17.30000114440918,-16.700000762939453,30.096346449030623,,903d185fccf839df
1490102874163,-18.399999618530273,-17.5,-16.600000381469727,30.337600351992037,,903d185fccf839df
1490102874209,-18.700000762939453,-17.80000114440918,-17,30.9116492574313,,903d185fccf839df
1490102874243,-18.899999618530273,-18,-17.30000114440918,31.31293711100219,,903d185fccf839df
1490102874320,-19.30000114440918,-18,-17.200000762939453,31.50127105570504,,903d185fccf839df
1490102874361,-19.30000114440918,-17.80000114440918,-17,31.278268464302815,,903d185fccf839df
1490102874421,-19.399999618530273,-17.5,-16.80000114440918,31.062035294247764,,903d185fccf839df
1490102874463,-19.399999618530273,-17.30000114440918,-16.899999618530273,31.004193422271527,,903d185fccf839df
1490102874520,-19.30000114440918,-16.80000114440918,-16.700000762939453,30.55519787511611,,903d185fccf839df
1490102874575,-19.100000381469727,-16.30000114440918,-16.30000114440918,29.936434223102466,,903d185fccf839df
1490102874631,-18.700000762939453,-15.699999809265137,-16.200000762939453,29.302219304215573,,903d185fccf839df
1490102874661,-18.5,-15.600000381469727,-16.399999618530273,29.233029390130245,,903d185fccf839df
1490102874703,-18.30000114440918,-15.300000190734863,-16.5,29.003966224685467,,903d185fccf839df
1490102874730,-18.200000762939453,-15.199999809265137,-16.700000762939453,29.00293138092292,,903d185fccf839df
1490102874761,-18.100000381469727,-15.300000190734863,-17,29.166762375447508,,903d185fccf839df
1490102874809,-18,-15.5,-17.700000762939453,29.623302298401846,,903d185fccf839df
1490102874853,-18.100000381469727,-15.600000381469727,-18,29.916049734854386,,903d185fccf839df
1490102874905,-18.100000381469727,-15.800000190734863,-18.600000381469727,30.38437159513827,,903d185fccf839df
1490102874940,-18.200000762939453,-15.90000057220459,-18.899999618530273,30.679961294376074,,903d185fccf839df
1490102875057,-18.30000114440918,-16,-18.899999618530273,30.791233113032252,,903d185fccf839df
1490102875110,-18.200000762939453,-15.5,-18.100000381469727,29.98499685878079,,903d185fccf839df
1490102875165,-18.30000114440918,-15.40000057220459,-17.80000114440918,29.81425985904032,,903d185fccf839df
1490102875254,-18.30000114440918,-15,-17.100000381469727,29.194178337951644,,903d185fccf839df
1490102875309,-18.30000114440918,-15,-17.399999618530273,29.370904385361758,,903d185fccf839df
1490102875333,-18.30000114440918,-14.90000057220459,-17.399999618530273,29.319959655151088,,903d185fccf839df
1490102875362,-18.399999618530273,-14.699999809265137,-17.399999618530273,29.281563707297657,,903d185fccf839df
1490102875411,-18.399999618530273,-14.600000381469727,-17.700000762939453,29.411053029145407,,903d185fccf839df
1490102875450,-18.399999618530273,-14.300000190734863,-17.899999618530273,29.38468948613017,,903d185fccf839df
1490102875550,-18.399999618530273,-13.300000190734863,-18.399999618530273,29.223449394396205,,903d185fccf839df
1490102875602,-18.399999618530273,-12.800000190734863,-18.399999618530273,28.999310452386055,,903d185fccf839df
1490102875650,-18.5,-12.199999809265137,-18.899999618530273,29.125589913218388,,903d185fccf839df
1490102875740,-18.600000381469727,-11.40000057220459,-19.30000114440918,29.12747980783876,,903d185fccf839df
1490102875779,-18.600000381469727,-11.199999809265137,-19.30000114440918,29.049786024241197,,903d185fccf839df
1490102875823,-18.5,-10.90000057220459,-19.399999618530273,28.93821000284823,,903d185fccf839df
1490102875841,-18.5,-10.90000057220459,-19.600000381469727,29.072667859683815,,903d185fccf839df
1490102875890,-18.399999618530273,-10.800000190734863,-19.899999618530273,29.17550314605874,,903d185fccf839df
1490102875920,-18.399999618530273,-10.699999809265137,-19.600000381469727,28.934581370472127,,903d185fccf839df
1490102875971,-18.30000114440918,-10.600000381469727,-19.600000381469727,28.834182094657567,,903d185fccf839df
1490102876010,-18.30000114440918,-10.800000190734863,-19.700000762939453,28.976198491874797,,903d185fccf839df
1490102876054,-18.30000114440918,-10.90000057220459,-19.80000114440918,29.081610977487102,,903d185fccf839df
1490102876090,-18.30000114440918,-11,-20.100000381469727,29.324052498446402,,903d185fccf839df
1490102876133,-18.30000114440918,-11.100000381469727,-19.899999618530273,29.225160925612194,,903d185fccf839df
1490102876170,-18.200000762939453,-11,-19.700000762939453,28.988446795360076,,903d185fccf839df
1490102876200,-18.200000762939453,-10.800000190734863,-19.700000762939453,28.91314674376459,,903d185fccf839df
1490102876256,-18.100000381469727,-10.40000057220459,-20,28.909687427584625,,903d185fccf839df
1490102876298,-18.200000762939453,-10,-20.200000762939453,28.9703306818278,,903d185fccf839df
1490102876330,-18.30000114440918,-9.40000057220459,-20.200000762939453,28.832101769872096,,903d185fccf839df
1490102876370,-18.5,-8.699999809265137,-20.30000114440918,28.810242140340623,,903d185fccf839df
1490102876422,-18.700000762939453,-7.900000095367432,-20.600000381469727,28.9216190534959,,903d185fccf839df
1490102876442,-18.80000114440918,-7.599999904632568,-20.700000762939453,28.97740588859656,,903d185fccf839df
1490102876540,-19.600000381469727,-7,-20.700000762939453,29.353875798845756,,903d185fccf839df
1490102876562,-19.700000762939453,-6.900000095367432,-20.600000381469727,29.326780309726484,,903d185fccf839df
1490102876616,-19.899999618530273,-6.800000190734863,-20.5,29.36834998644823,,903d185fccf839df
1490102876652,-20.100000381469727,-6.900000095367432,-20.399999618530273,29.458105565709886,,903d185fccf839df
1490102876701,-20.30000114440918,-7,-20.200000762939453,29.481012473040117,,903d185fccf839df
1490102876742,-20.600000381469727,-7.200000286102295,-20.399999618530273,29.87239516645689,,903d185fccf839df
1490102876761,-20.600000381469727,-7.200000286102295,-20.399999618530273,29.87239516645689,,903d185fccf839df
1490102876824,-20.80000114440918,-7.300000190734863,-20.30000114440918,29.966983556150424,,903d185fccf839df
1490102876843,-20.899999618530273,-7.300000190734863,-20.200000762939453,29.968984593019183,,903d185fccf839df
1490102876950,-20.80000114440918,-7.800000190734863,-20.100000381469727,29.958138441814533,,903d185fccf839df
1490102876970,-20.80000114440918,-7.800000190734863,-20.100000381469727,29.958138441814533,,903d185fccf839df
1490102877051,-20.399999618530273,-8,-20,29.667490172654162,,903d185fccf839df
1490102877112,-20.200000762939453,-8.199999809265137,-20.100000381469727,29.65282527335118,,903d185fccf839df
1490102877174,-19.80000114440918,-8,-19.80000114440918,29.121814471715187,,903d185fccf839df
1490102877220,-19.600000381469727,-7.900000095367432,-19.600000381469727,28.822387256638386,,903d185fccf839df
1490102877321,-19.200000762939453,-7.900000095367432,-18.80000114440918,28.008749480382626,,903d185fccf839df
1490102877390,-18.899999618530273,-7.700000286102295,-17.899999618530273,27.14608570917424,,903d185fccf839df
1490102877450,-18.700000762939453,-7.800000190734863,-17.600000381469727,26.838219886793805,,903d185fccf839df
1490102877510,-18.399999618530273,-7.700000286102295,-17.30000114440918,26.403409653893537,,903d185fccf839df
1490102877520,-18.399999618530273,-7.700000286102295,-17.30000114440918,26.403409653893537,,903d185fccf839df
1490102877570,-18.30000114440918,-7.5,-17.399999618530273,26.34198216562418,,903d185fccf839df
1490102877610,-18.30000114440918,-7.400000095367432,-17.200000762939453,26.18186536818404,,903d185fccf839df
1490102877660,-18.30000114440918,-7.200000286102295,-16.899999618530273,25.92952052169232,,903d185fccf839df
1490102877702,-18.600000381469727,-6.800000190734863,-16.5,25.776928126740064,,903d185fccf839df
1490102877728,-18.80000114440918,-6.700000286102295,-16.5,25.89556016315017,,903d185fccf839df
1490102877770,-19.200000762939453,-6.300000190734863,-16.5,26.087928570314734,,903d185fccf839df
1490102877810,-19.700000762939453,-6,-16.100000381469727,26.14000858508132,,903d185fccf839df
1490102877840,-20,-5.900000095367432,-15.800000190734863,26.161995351328603,,903d185fccf839df
1490102877890,-20.399999618530273,-5.700000286102295,-15.40000057220459,26.187974219933402,,903d185fccf839df
1490102877939,-20.899999618530273,-5.400000095367432,-15,26.286308210042627,,903d185fccf839df
1490102877973,-21,-5.400000095367432,-14.90000057220459,26.309124111615457,,903d185fccf839df
1490102878031,-21.200000762939453,-5.200000286102295,-14.699999809265137,26.316725330476643,,903d185fccf839df
1490102878042,-21.200000762939453,-5.099999904632568,-14.600000381469727,26.241380202699457,,903d185fccf839df
1490102878090,-21.30000114440918,-4.900000095367432,-14.300000190734863,26.118768523776314,,903d185fccf839df
1490102878110,-21.30000114440918,-4.700000286102295,-14.199999809265137,26.027294614042148,,903d185fccf839df
1490102878176,-21.30000114440918,-4.300000190734863,-14.199999809265137,25.958044312788235,,903d185fccf839df
1490102878310,-21.200000762939453,-3.299999952316284,-14.199999809265137,25.728778279162057,,903d185fccf839df
1490102878386,-21.100000381469727,-2.5,-14.300000190734863,25.61152138132017,,903d185fccf839df
1490102878434,-21.200000762939453,-2,-14.600000381469727,25.818598657190783,,903d185fccf839df
1490102878452,-21.100000381469727,-1.8000000715255737,-14.800000190734863,25.835828431957303,,903d185fccf839df
1490102878500,-21.100000381469727,-1.2000000476837158,-15,25.91621156785607,,903d185fccf839df
