timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1486739443830,-17.100000381469727,-8.40000057220459,-38.60000228881836,43.045675991411926,,903d185fccf839df
1486739444003,-16.700000762939453,-8.699999809265137,-40.10000228881836,44.3011302485206,,903d185fccf839df
1486739444105,-17.100000381469727,-9.40000057220459,-40.70000076293945,45.13601803666937,,903d185fccf839df
1486739444153,-17.5,-9.800000190734863,-40.5,45.19446869823261,,903d185fccf839df
1486739444182,-17.899999618530273,-10.100000381469727,-40.400001525878906,45.32747664673334,,903d185fccf839df
1486739444237,-18.5,-10.5,-40.20000076293945,45.48120533871656,,903d185fccf839df
1486739444338,-19.399999618530273,-10.600000381469727,-39.60000228881836,45.35284059285932,,903d185fccf839df
1486739444386,-19.5,-10.5,-39.5,45.2852072977479,,903d185fccf839df
1486739444429,-19.399999618530273,-10.40000057220459,-39.29999923706055,45.044533373956064,,903d185fccf839df
1486739444487,-19.200000762939453,-10.40000057220459,-39.400001525878906,45.04619998803247,,903d185fccf839df
1486739444518,-19,-10.5,-39.60000228881836,45.15982901041588,,903d185fccf839df
1486739444572,-18.700000762939453,-10.600000381469727,-39.60000228881836,45.05785389306431,,903d185fccf839df
1486739444607,-18.399999618530273,-10.699999809265137,-39.5,44.869811626776006,,903d185fccf839df
1486739444639,-18.200000762939453,-10.800000190734863,-39.29999923706055,44.635972242187925,,903d185fccf839df
1486739444686,-18.100000381469727,-10.90000057220459,-39.400001525878906,44.70771897679861,,903d185fccf839df
1486739444730,-18.200000762939453,-11,-39.60000228881836,44.94886179873694,,903d185fccf839df
1486739444768,-18.200000762939453,-10.90000057220459,-39.79999923706055,45.100886361151744,,903d185fccf839df
1486739444797,-18.200000762939453,-10.699999809265137,-39.79999923706055,45.052968110968116,,903d185fccf839df
1486739444858,-18.200000762939453,-10.300000190734863,-39.79999923706055,44.95964792690692,,903d185fccf839df
1486739444887,-18.200000762939453,-10.199999809265137,-40,45.11407778108831,,903d185fccf839df
1486739444922,-18.399999618530273,-10.100000381469727,-40.29999923706055,45.43852961028263,,903d185fccf839df
1486739444968,-18.600000381469727,-9.90000057220459,-40.20000076293945,45.38733381463138,,903d185fccf839df
1486739444998,-18.80000114440918,-9.800000190734863,-39.900001525878906,45.18285256278591,,903d185fccf839df
1486739445027,-19,-9.699999809265137,-39.900001525878906,45.24489063058754,,903d185fccf839df
1486739445079,-19.399999618530273,-9.800000190734863,-39.60000228881836,45.17255961883375,,903d185fccf839df
1486739445126,-20,-9.90000057220459,-39.400001525878906,45.281012766804366,,903d185fccf839df
1486739445157,-20.100000381469727,-10,-39,45.000111219480615,,903d185fccf839df
1486739445205,-20.5,-10,-38.70000076293945,44.92148777007016,,903d185fccf839df
1486739445247,-20.700000762939453,-10,-38.60000228881836,44.92716578897536,,903d185fccf839df
1486739445466,-20.30000114440918,-9.800000190734863,-38.10000228881836,44.26895399465366,,903d185fccf839df
1486739445539,-20.100000381469727,-9.699999809265137,-38.10000228881836,44.155523273942784,,903d185fccf839df
1486739445568,-20,-9.699999809265137,-38.20000076293945,44.19649430263195,,903d185fccf839df
1486739445598,-19.899999618530273,-9.800000190734863,-38.10000228881836,44.086961900949376,,903d185fccf839df
1486739445631,-19.700000762939453,-9.800000190734863,-38.20000076293945,44.083672034843964,,903d185fccf839df
1486739445678,-19.5,-10,-38.5,44.30011286667337,,903d185fccf839df
