timestamp, latitude, longitude, accuracy, UUID 
1488206071412,48.1491227,11.5669357,50,,903d185fccf839df
1488206074371,48.1490137,11.5670135,16,,903d185fccf839df
1488206075377,48.1489921,11.5670293,24,,903d185fccf839df
1488206076377,48.1489749,11.5670498,32,,903d185fccf839df
1488206077372,48.14892,11.5671248,24,,903d185fccf839df
1488206078372,48.14892,11.5671246,12,,903d185fccf839df
1488206078999,48.14892,11.5671246,12,,903d185fccf839df
1488206079999,48.14892,11.5671246,16,,903d185fccf839df
1488206080999,48.14892,11.5671246,16,,903d185fccf839df
1488206081999,48.14892,11.5671246,12,,903d185fccf839df
1488206082999,48.14892,11.5671246,12,,903d185fccf839df
1488206083999,48.14892,11.5671246,12,,903d185fccf839df
1488206084999,48.14892,11.5671246,12,,903d185fccf839df
1488206085999,48.1489502,11.5671077,12,,903d185fccf839df
1488206086999,48.1489314,11.5670748,12,,903d185fccf839df
1488206087999,48.1489185,11.5670548,12,,903d185fccf839df
1488206088999,48.1489097,11.567027,8,,903d185fccf839df
1488206089999,48.1489037,11.5670031,8,,903d185fccf839df
1488206090999,48.1489035,11.566998,8,,903d185fccf839df
1488206091999,48.1488986,11.5669863,12,,903d185fccf839df
1488206092999,48.1488958,11.566975,12,,903d185fccf839df
1488206093999,48.1488988,11.566963,8,,903d185fccf839df
1488206094999,48.1488988,11.5669629,8,,903d185fccf839df
1488206095999,48.1488977,11.5669589,16,,903d185fccf839df
1488206096999,48.148894,11.5669637,16,,903d185fccf839df
1488206097999,48.1488951,11.5669609,24,,903d185fccf839df
1488206098999,48.1488966,11.5669636,12,,903d185fccf839df
1488206099999,48.1488987,11.5669727,12,,903d185fccf839df
1488206100999,48.1488987,11.5669727,24,,903d185fccf839df
1488206101999,48.1488987,11.5669727,24,,903d185fccf839df
1488206102999,48.1488987,11.5669727,24,,903d185fccf839df
1488206103999,48.1488987,11.5669727,48,,903d185fccf839df
1488206104999,48.1488987,11.5669727,24,,903d185fccf839df
1488206105999,48.1488987,11.5669727,24,,903d185fccf839df
1488206106999,48.1488987,11.5669727,24,,903d185fccf839df
1488206107999,48.1488987,11.5669727,16,,903d185fccf839df
1488206108999,48.1488987,11.5669727,48,,903d185fccf839df
1488206109999,48.1488987,11.5669727,96,,903d185fccf839df
1488206110999,48.1488987,11.5669727,48,,903d185fccf839df
1488206114797,48.1488987,11.5669727,110.4020004272461,,903d185fccf839df
1488206125119,48.1487656,11.5681275,20.297000885009766,,903d185fccf839df
1488206130201,48.1487857,11.5679298,22.773000717163086,,903d185fccf839df
1488206145102,48.1486054,11.5674521,64.0999984741211,,903d185fccf839df
1488206150385,48.1484938,11.5677066,21.106000900268555,,903d185fccf839df
1488206155410,48.1484183,11.5676756,19.652999877929688,,903d185fccf839df
1488206160465,48.1481718,11.56778,19.701000213623047,,903d185fccf839df
1488206162999,48.1489557,11.5671134,48,,903d185fccf839df
1488206163999,48.1489536,11.5671134,32,,903d185fccf839df
1488206164999,48.1489513,11.5671135,32,,903d185fccf839df
1488206165999,48.1489489,11.5671137,32,,903d185fccf839df
1488206166999,48.1489462,11.567114,32,,903d185fccf839df
1488206167999,48.1489421,11.5671164,24,,903d185fccf839df
1488206168999,48.1489441,11.5671352,24,,903d185fccf839df
1488206169999,48.1489469,11.5671572,24,,903d185fccf839df
1488206170999,48.148942,11.5671651,32,,903d185fccf839df
1488206171999,48.1489389,11.5671657,32,,903d185fccf839df
1488206172999,48.1489416,11.5671805,24,,903d185fccf839df
1488206173999,48.1489448,11.567197,24,,903d185fccf839df
1488206174999,48.1489431,11.567198,32,,903d185fccf839df
1488206175999,48.1489414,11.5671991,96,,903d185fccf839df
1488206176999,48.1489397,11.5672004,96,,903d185fccf839df
1488206177999,48.1489382,11.5672019,96,,903d185fccf839df
1488206178999,48.1489368,11.5672036,96,,903d185fccf839df
1488206179999,48.1489354,11.5672053,96,,903d185fccf839df
1488206180999,48.148934,11.567207,96,,903d185fccf839df
1488206181999,48.1489327,11.5672085,96,,903d185fccf839df
