timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1488206071648,-23.80000114440918,-24.399999618530273,-20.200000762939453,39.62120755215097,,903d185fccf839df
1488206071924,-23.700000762939453,-27.200000762939453,-20.100000381469727,41.29818519133324,,903d185fccf839df
1488206071955,-23.5,-27.399999618530273,-20.100000381469727,41.31609805506921,,903d185fccf839df
1488206071982,-23.399999618530273,-27.5,-20.399999618530273,41.47252066975342,,903d185fccf839df
1488206072010,-23.200000762939453,-27.600000381469727,-20.600000381469727,41.525414831212665,,903d185fccf839df
1488206072071,-22.899999618530273,-27.600000381469727,-21.30000114440918,41.711629629957145,,903d185fccf839df
1488206072152,-22.600000381469727,-27.30000114440918,-22.5,41.979757608020144,,903d185fccf839df
1488206072171,-22.600000381469727,-27.200000762939453,-22.80000114440918,42.0765975748582,,903d185fccf839df
1488206072211,-22.700000762939453,-26.899999618530273,-23.200000762939453,42.15613924072737,,903d185fccf839df
1488206072251,-22.80000114440918,-26.700000762939453,-23.80000114440918,42.41662533701224,,903d185fccf839df
1488206072291,-22.899999618530273,-26.600000381469727,-24.399999618530273,42.74728010124957,,903d185fccf839df
1488206072343,-23,-26.399999618530273,-25,43.02278420717911,,903d185fccf839df
1488206072375,-23,-26.100000381469727,-25,42.839351325302026,,903d185fccf839df
1488206072413,-23,-25.80000114440918,-25.30000114440918,42.833750286126225,,903d185fccf839df
1488206072467,-23,-25.200000762939453,-25.100000381469727,42.35622798158643,,903d185fccf839df
1488206072503,-22.899999618530273,-24.80000114440918,-24.899999618530273,41.94591782250874,,903d185fccf839df
1488206072556,-22.899999618530273,-24.200000762939453,-24.30000114440918,41.23760467173742,,903d185fccf839df
1488206072572,-22.80000114440918,-24.100000381469727,-24.30000114440918,41.12347353621279,,903d185fccf839df
1488206072612,-22.700000762939453,-23.700000762939453,-23.700000762939453,40.480491178043096,,903d185fccf839df
1488206072683,-22.700000762939453,-23.30000114440918,-23.200000762939453,39.95522701744573,,903d185fccf839df
1488206072725,-22.700000762939453,-23,-23.100000381469727,39.72279050430897,,903d185fccf839df
1488206072765,-22.700000762939453,-22.899999618530273,-22.899999618530273,39.54883039170138,,903d185fccf839df
1488206072792,-22.80000114440918,-22.899999618530273,-22.80000114440918,39.54857806363547,,903d185fccf839df
1488206072825,-22.80000114440918,-22.80000114440918,-23,39.60656579042088,,903d185fccf839df
1488206072832,-22.899999618530273,-22.80000114440918,-23,39.6642156105475,,903d185fccf839df
1488206072907,-23.200000762939453,-22.899999618530273,-23.200000762939453,40.01112439914172,,903d185fccf839df
1488206072951,-23.399999618530273,-22.899999618530273,-23.399999618530273,40.24338415518405,,903d185fccf839df
