timestamp, light1, light2, light3, UUID 
1489864420294,1,5366,1,,903d185fccf839df
1489864420294,1,5366,1,,903d185fccf839df
1489864420294,1,5366,1,,903d185fccf839df
1489864420294,1,5366,1,,903d185fccf839df
1489864420475,1,3522,1,,903d185fccf839df
1489864420475,1,3522,1,,903d185fccf839df
1489864420662,1,3522,1,,903d185fccf839df
1489864420662,1,3522,1,,903d185fccf839df
1489864420662,1,3522,1,,903d185fccf839df
1489864420836,1,5366,1,,903d185fccf839df
1489864420836,1,5366,1,,903d185fccf839df
1489864420836,1,5366,1,,903d185fccf839df
1489864421012,1,5366,1,,903d185fccf839df
1489864421012,1,5366,1,,903d185fccf839df
1489864421012,1,5366,1,,903d185fccf839df
1489864421012,1,5366,1,,903d185fccf839df
1489864421192,1,3522,1,,903d185fccf839df
1489864421192,1,3522,1,,903d185fccf839df
1489864421192,1,3522,1,,903d185fccf839df
1489864421192,1,3522,1,,903d185fccf839df
1489864421372,1,3522,1,,903d185fccf839df
1489864421372,1,3522,1,,903d185fccf839df
1489864421372,1,3522,1,,903d185fccf839df
1489864421372,1,3522,1,,903d185fccf839df
1489864421553,1,5366,1,,903d185fccf839df
1489864421553,1,5366,1,,903d185fccf839df
1489864421553,1,5366,1,,903d185fccf839df
1489864421733,1,5366,1,,903d185fccf839df
1489864421733,1,5366,1,,903d185fccf839df
1489864421733,1,5366,1,,903d185fccf839df
1489864421912,1,3522,1,,903d185fccf839df
1489864421912,1,3522,1,,903d185fccf839df
1489864421912,1,3522,1,,903d185fccf839df
1489864421912,1,3522,1,,903d185fccf839df
1489864421912,1,3522,1,,903d185fccf839df
1489864422093,1,3522,1,,903d185fccf839df
1489864422093,1,3522,1,,903d185fccf839df
1489864422093,1,3522,1,,903d185fccf839df
1489864422271,1,5366,1,,903d185fccf839df
1489864422271,1,5366,1,,903d185fccf839df
1489864422271,1,5366,1,,903d185fccf839df
1489864422271,1,5366,1,,903d185fccf839df
1489864422451,1,3522,1,,903d185fccf839df
1489864422451,1,3522,1,,903d185fccf839df
1489864422451,1,3522,1,,903d185fccf839df
1489864422631,1,3522,1,,903d185fccf839df
1489864422631,1,3522,1,,903d185fccf839df
1489864422631,1,3522,1,,903d185fccf839df
1489864422631,1,3522,1,,903d185fccf839df
1489864422814,1,5366,1,,903d185fccf839df
1489864422814,1,5366,1,,903d185fccf839df
1489864422814,1,5366,1,,903d185fccf839df
1489864422992,1,5366,1,,903d185fccf839df
1489864422992,1,5366,1,,903d185fccf839df
1489864422992,1,5366,1,,903d185fccf839df
