timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1493660587409,-23.30000114440918,-14.199999809265137,-34.60000228881836,44.06461427634698,,903d185fccf839df
1493660587503,-23.200000762939453,-13.699999809265137,-33.400001525878906,42.91258669721389,,903d185fccf839df
1493660587613,-23.100000381469727,-13.699999809265137,-32.79999923706055,42.39268804156736,,903d185fccf839df
1493660587714,-23.200000762939453,-13.90000057220459,-32.79999923706055,42.512233992846106,,903d185fccf839df
1493660587812,-23.600000381469727,-14.199999809265137,-33.20000076293945,43.137454857660295,,903d185fccf839df
1493660587892,-23.700000762939453,-14.100000381469727,-33.10000228881836,43.08259722574557,,903d185fccf839df
1493660587952,-23.899999618530273,-13.90000057220459,-32.79999923706055,42.89825111505676,,903d185fccf839df
1493660588014,-24,-13.800000190734863,-32.60000228881836,42.76914932842765,,903d185fccf839df
1493660588083,-23.899999618530273,-13.699999809265137,-32.5,42.60457661003237,,903d185fccf839df
1493660588173,-23.899999618530273,-14,-32.70000076293945,42.85440467443224,,903d185fccf839df
1493660588242,-23.899999618530273,-14.300000190734863,-32.900001525878906,43.105801496790015,,903d185fccf839df
1493660588334,-23.899999618530273,-14.5,-33,43.2488145610663,,903d185fccf839df
1493660588403,-23.899999618530273,-14.5,-32.70000076293945,43.02034402465885,,903d185fccf839df
1493660588475,-23.899999618530273,-14.40000057220459,-32.400001525878906,42.758976936341426,,903d185fccf839df
1493660588543,-23.700000762939453,-14.300000190734863,-32.5,42.68992936243543,,903d185fccf839df
1493660588603,-23.700000762939453,-14.40000057220459,-32.400001525878906,42.64751119563298,,903d185fccf839df
1493660588653,-23.600000381469727,-14.5,-32.29999923706055,42.54996990556919,,903d185fccf839df
1493660588723,-23.5,-14.699999809265137,-32.20000076293945,42.48741089109238,,903d185fccf839df
1493660588811,-23.5,-14.90000057220459,-32.5,42.7844599097105,,903d185fccf839df
1493660588843,-23.600000381469727,-15,-32.5,42.8743515632908,,903d185fccf839df
1493660588915,-23.5,-15.100000381469727,-32.5,42.854521462333764,,903d185fccf839df
1493660589013,-23.80000114440918,-15.199999809265137,-32.29999923706055,42.9041952931748,,903d185fccf839df
1493660589072,-24,-15.100000381469727,-31.80000114440918,42.60575150182375,,903d185fccf839df
1493660589123,-24.100000381469727,-14.90000057220459,-31.700000762939453,42.51717397720376,,903d185fccf839df
1493660589183,-24.399999618530273,-14.800000190734863,-31.700000762939453,42.653136690987665,,903d185fccf839df
1493660589211,-24.5,-14.699999809265137,-31.600000381469727,42.601643089163645,,903d185fccf839df
1493660589243,-24.5,-14.600000381469727,-31.600000381469727,42.56724093972621,,903d185fccf839df
1493660589303,-24.700000762939453,-14.800000190734863,-31.5,42.67762921485202,,903d185fccf839df
1493660589343,-24.80000114440918,-14.90000057220459,-31.399999618530273,42.69672129995025,,903d185fccf839df
