timestamp, light1, light2, light3, UUID 
1493662116523,118,8714,118,,903d185fccf839df
1493662116523,118,8714,118,,903d185fccf839df
1493662116703,119,8670,119,,903d185fccf839df
1493662116703,119,8670,119,,903d185fccf839df
1493662116703,119,8670,119,,903d185fccf839df
1493662116703,119,8670,119,,903d185fccf839df
1493662116883,120,8675,120,,903d185fccf839df
1493662116883,120,8675,120,,903d185fccf839df
1493662117071,126,8604,126,,903d185fccf839df
1493662117071,126,8604,126,,903d185fccf839df
1493662117071,126,8604,126,,903d185fccf839df
1493662117242,131,8539,131,,903d185fccf839df
1493662117242,131,8539,131,,903d185fccf839df
1493662117242,131,8539,131,,903d185fccf839df
1493662117242,131,8539,131,,903d185fccf839df
1493662117428,126,8604,126,,903d185fccf839df
1493662117428,126,8604,126,,903d185fccf839df
1493662117428,126,8604,126,,903d185fccf839df
1493662117603,112,8797,112,,903d185fccf839df
1493662117603,112,8797,112,,903d185fccf839df
1493662117603,112,8797,112,,903d185fccf839df
1493662117603,112,8797,112,,903d185fccf839df
1493662117782,144,8471,144,,903d185fccf839df
1493662117782,144,8471,144,,903d185fccf839df
1493662117782,144,8471,144,,903d185fccf839df
1493662117782,144,8471,144,,903d185fccf839df
1493662117962,122,8680,122,,903d185fccf839df
1493662117962,122,8680,122,,903d185fccf839df
1493662117962,122,8680,122,,903d185fccf839df
1493662117962,122,8680,122,,903d185fccf839df
1493662118145,66,8383,66,,903d185fccf839df
1493662118145,66,8383,66,,903d185fccf839df
1493662118145,66,8383,66,,903d185fccf839df
1493662118324,7,5980,7,,903d185fccf839df
1493662118324,7,5980,7,,903d185fccf839df
1493662118324,7,5980,7,,903d185fccf839df
1493662118503,11,6595,11,,903d185fccf839df
1493662118503,11,6595,11,,903d185fccf839df
1493662118503,11,6595,11,,903d185fccf839df
1493662118503,11,6595,11,,903d185fccf839df
1493662118683,10,6749,10,,903d185fccf839df
1493662118683,10,6749,10,,903d185fccf839df
1493662118683,10,6749,10,,903d185fccf839df
1493662118683,10,6749,10,,903d185fccf839df
1493662118865,9,6946,9,,903d185fccf839df
1493662118865,9,6946,9,,903d185fccf839df
1493662118865,9,6946,9,,903d185fccf839df
1493662118865,9,6946,9,,903d185fccf839df
1493662119043,13,7578,13,,903d185fccf839df
1493662119043,13,7578,13,,903d185fccf839df
1493662119043,13,7578,13,,903d185fccf839df
1493662119225,17,7824,17,,903d185fccf839df
1493662119225,17,7824,17,,903d185fccf839df
1493662119225,17,7824,17,,903d185fccf839df
1493662119225,17,7824,17,,903d185fccf839df
1493662119403,11,8132,11,,903d185fccf839df
1493662119403,11,8132,11,,903d185fccf839df
1493662119403,11,8132,11,,903d185fccf839df
1493662119583,8,6419,8,,903d185fccf839df
1493662119583,8,6419,8,,903d185fccf839df
1493662119583,8,6419,8,,903d185fccf839df
1493662119583,8,6419,8,,903d185fccf839df
1493662119763,12,7414,12,,903d185fccf839df
1493662119763,12,7414,12,,903d185fccf839df
1493662119763,12,7414,12,,903d185fccf839df
1493662119763,12,7414,12,,903d185fccf839df
1493662119943,10,7210,10,,903d185fccf839df
1493662119943,10,7210,10,,903d185fccf839df
1493662119943,10,7210,10,,903d185fccf839df
