timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1493659599405,-23.200000762939453,-5.5,-43.5,49.60584694639868,,903d185fccf839df
1493659599543,-23.600000381469727,-3.4000000953674316,-44.400001525878906,50.39722343357963,,903d185fccf839df
1493659599630,-23.5,-1.3000000715255737,-44.79999923706055,50.60612529297829,,903d185fccf839df
1493659599734,-27.399999618530273,3.200000047683716,-43,51.08815860309766,,903d185fccf839df
1493659599847,-32.79999923706055,21,-30.5,49.46807016470637,,903d185fccf839df
1493659599984,-30.200000762939453,33.10000228881836,-21.399999618530273,49.65491051184619,,903d185fccf839df
1493659600105,-22.600000381469727,41.20000076293945,-13.90000057220459,49.00418446637842,,903d185fccf839df
1493659600214,-14,45.79999923706055,-6.099999904632568,48.27887624689081,,903d185fccf839df
1493659600263,-8.699999809265137,47,-3.299999952316284,47.91221132656747,,903d185fccf839df
1493659600326,-2.700000047683716,47.70000076293945,-0.20000000298023224,47.77677301266821,,903d185fccf839df
1493659600394,3.1000001430511475,46.79999923706055,-0.699999988079071,46.90778177258504,,903d185fccf839df
1493659600533,6.5,45.900001525878906,4,46.53020587310731,,903d185fccf839df
1493659600735,7.200000286102295,45.900001525878906,3.6000001430511475,46.60053715948837,,903d185fccf839df
1493659600803,7.900000095367432,45.5,3,46.27807255977081,,903d185fccf839df
1493659600984,13.100000381469727,42.60000228881836,-2.9000000953674316,44.66296307430215,,903d185fccf839df
1493659601055,14.5,41.400001525878906,-4.599999904632568,44.106349688624476,,903d185fccf839df
1493659601097,15,41.5,-4.300000190734863,44.336666560291455,,903d185fccf839df
1493659601203,16.200000762939453,41,-5.800000190734863,44.46436816332073,,903d185fccf839df
1493659601273,17.399999618530273,40.70000076293945,-7.700000286102295,44.92816595725847,,903d185fccf839df
1493659601363,18.80000114440918,40.900001525878906,-8.90000057220459,45.88529416203969,,903d185fccf839df
1493659601457,20,41,-10,46.70117771534247,,903d185fccf839df
1493659601583,20.600000381469727,41,-10.300000190734863,47.026056817858176,,903d185fccf839df
1493659601673,20.399999618530273,40.79999923706055,-10,46.69903495493945,,903d185fccf839df
1493659601763,20,40.70000076293945,-9,46.232998089077974,,903d185fccf839df
1493659601843,20.200000762939453,40.29999923706055,-8,45.7835123694416,,903d185fccf839df
1493659601913,21,39.5,-6.900000095367432,45.2643347527648,,903d185fccf839df
1493659601983,22.600000381469727,37.5,-5.700000286102295,44.15314271310811,,903d185fccf839df
1493659602033,23.600000381469727,36.900001525878906,-5.5,44.145442906312894,,903d185fccf839df
1493659602063,23.899999618530273,36.70000076293945,-5.599999904632568,44.15268932113808,,903d185fccf839df
1493659602093,24.399999618530273,36.29999923706055,-5.300000190734863,44.05836956603988,,903d185fccf839df
1493659602134,25,35.900001525878906,-5.200000286102295,44.05507985938314,,903d185fccf839df
1493659602183,25.600000381469727,35.400001525878906,-5.400000095367432,44.01908909088737,,903d185fccf839df
1493659602222,25.899999618530273,35.29999923706055,-5.5,44.12652222166286,,903d185fccf839df
1493659602262,26.200000762939453,35.29999923706055,-5.800000190734863,44.34151590215676,,903d185fccf839df
1493659602303,26.399999618530273,35.60000228881836,-5.800000190734863,44.698546638159506,,903d185fccf839df
1493659602333,26.399999618530273,35.79999923706055,-5.800000190734863,44.85799657496945,,903d185fccf839df
1493659602373,26.600000381469727,36.10000228881836,-6.200000286102295,45.268203024619005,,903d185fccf839df
1493659602413,26.80000114440918,36.20000076293945,-6.900000095367432,45.566326551044746,,903d185fccf839df
1493659602463,26.899999618530273,36.5,-7.5,45.957697781237506,,903d185fccf839df
1493659602494,26.899999618530273,36.79999923706055,-8.199999809265137,46.31511603623278,,903d185fccf839df
1493659602532,26.899999618530273,37.29999923706055,-9.100000381469727,46.879738774141416,,903d185fccf839df
1493659602573,26.600000381469727,37.900001525878906,-11.800000190734863,47.7829484157451,,903d185fccf839df
1493659602623,25.600000381469727,38.5,-16.399999618530273,49.0568041951552,,903d185fccf839df
1493659602653,25,38.60000228881836,-16.80000114440918,48.96121175326093,,903d185fccf839df
1493659602693,23.80000114440918,38.70000076293945,-19.100000381469727,49.28427898457374,,903d185fccf839df
1493659602733,22.5,39.5,-21.200000762939453,50.15914705174904,,903d185fccf839df
1493659602773,21,39.5,-24.5,51.00490172522637,,903d185fccf839df
1493659602813,19.80000114440918,39.79999923706055,-25.30000114440918,51.14850969427469,,903d185fccf839df
1493659602863,17.399999618530273,40,-28,51.83396549800186,,903d185fccf839df
1493659602903,16.700000762939453,40.5,-27.600000381469727,51.77740843663443,,903d185fccf839df
1493659602936,16.600000381469727,40.900001525878906,-27.100000381469727,51.795561705635976,,903d185fccf839df
1493659602974,17.700000762939453,40.900001525878906,-26.100000381469727,51.646008961963545,,903d185fccf839df
1493659603023,19,41.20000076293945,-23.5,51.09491230520474,,903d185fccf839df
1493659603073,24.399999618530273,42.400001525878906,-17.200000762939453,51.85518435067962,,903d185fccf839df
1493659603093,26.5,41.60000228881836,-13,51.007942329249694,,903d185fccf839df
1493659603143,28.30000114440918,38.5,-12.90000057220459,49.492929743595624,,903d185fccf839df
1493659603183,30.80000114440918,37,-7.5,48.72258281006451,,903d185fccf839df
1493659603243,32.20000076293945,34.29999923706055,-6.400000095367432,47.47936479170893,,903d185fccf839df
1493659603274,31.899999618530273,34.29999923706055,-4.700000286102295,47.07642698470089,,903d185fccf839df
1493659603293,32.20000076293945,34.10000228881836,-2,46.94305346432726,,903d185fccf839df
1493659603343,31.700000762939453,35.5,-1.5,47.61711956516893,,903d185fccf839df
1493659603383,32.400001525878906,37.29999923706055,-1.100000023841858,49.41922752195012,,903d185fccf839df
1493659603413,32.60000228881836,38.400001525878906,-1.399999976158142,50.391270973737356,,903d185fccf839df
1493659603453,31.80000114440918,36.400001525878906,-0.5,48.336840342303546,,903d185fccf839df
1493659603503,32.70000076293945,36.29999923706055,0,48.856729121675244,,903d185fccf839df
1493659603533,32.70000076293945,36.5,0.10000000149011612,49.00561232209233,,903d185fccf839df
1493659603574,33,36.900001525878906,0.6000000238418579,49.507273278137426,,903d185fccf839df
1493659603623,33.29999923706055,37.5,0,50.151170400880225,,903d185fccf839df
1493659603653,33.5,38.5,-1.2000000476837158,51.04840839886412,,903d185fccf839df
1493659603693,33.400001525878906,40.400001525878906,-7.099999904632568,52.897355460279506,,903d185fccf839df
1493659603743,31.200000762939453,41.400001525878906,-9.199999809265137,52.650167576884535,,903d185fccf839df
1493659603773,31.5,42.79999923706055,-13,54.70913969183131,,903d185fccf839df
1493659603823,28.700000762939453,44,-18.5,55.695063187652124,,903d185fccf839df
1493659603853,27.100000381469727,45.10000228881836,-19.700000762939453,56.182829360414075,,903d185fccf839df
1493659603893,25.80000114440918,46.10000228881836,-21.30000114440918,56.96086677920449,,903d185fccf839df
1493659603934,24.200000762939453,46,-25.80000114440918,58.028269751320614,,903d185fccf839df
1493659603973,23.5,46,-26.600000381469727,58.10172112389265,,903d185fccf839df
1493659604023,22.200000762939453,47,-26.200000762939453,58.20893479812211,,903d185fccf839df
1493659604054,23.399999618530273,47,-25.399999618530273,58.324265710792496,,903d185fccf839df
1493659604093,24.30000114440918,46.10000228881836,-24.5,57.5842882768178,,903d185fccf839df
1493659604133,26.5,45,-19,55.57202533649462,,903d185fccf839df
1493659604173,31.80000114440918,40.5,-13.800000190734863,53.30975570860307,,903d185fccf839df
1493659604234,34,33.20000076293945,-11.699999809265137,48.940065280136515,,903d185fccf839df
1493659604263,36.70000076293945,33.400001525878906,-8.90000057220459,50.414879549157455,,903d185fccf839df
1493659604303,38.10000228881836,29,-5.599999904632568,48.207574386139676,,903d185fccf839df
1493659604343,37.60000228881836,26.100000381469727,-3,45.86905442461828,,903d185fccf839df
1493659604403,36.900001525878906,23.200000762939453,-3.1000001430511475,43.69737016459638,,903d185fccf839df
1493659604463,36.400001525878906,24.30000114440918,-2.5,43.83720034716341,,903d185fccf839df
1493659604534,35.900001525878906,27.5,-3.700000047683716,45.373451038330856,,903d185fccf839df
1493659604573,36.20000076293945,26,-3.200000047683716,44.68422612288765,,903d185fccf839df
1493659604703,35.400001525878906,28.200000762939453,-6.900000095367432,45.78220405495877,,903d185fccf839df
1493659604784,33,31.5,-14.199999809265137,47.77959815014823,,903d185fccf839df
1493659604843,31.399999618530273,33.10000228881836,-19.600000381469727,49.656118173106165,,903d185fccf839df
1493659604923,27.399999618530273,35.20000076293945,-25.5,51.38141675540845,,903d185fccf839df
1493659604963,25.100000381469727,36.10000228881836,-30.399999618530273,53.45446836316194,,903d185fccf839df
1493659604993,24.80000114440918,37.29999923706055,-28.899999618530273,53.30609643363682,,903d185fccf839df
1493659605033,23.100000381469727,37.79999923706055,-30,53.501869240308146,,903d185fccf839df
1493659605093,22.30000114440918,39,-28.80000114440918,53.36412748784583,,903d185fccf839df
1493659605113,22.700000762939453,38.29999923706055,-31.899999618530273,54.77033793023544,,903d185fccf839df
1493659605163,24.899999618530273,38.20000076293945,-27.700000762939453,53.35297705969942,,903d185fccf839df
1493659605194,27.30000114440918,38.79999923706055,-25.100000381469727,53.67252546912969,,903d185fccf839df
1493659605223,30.200000762939453,36.900001525878906,-21.30000114440918,52.22394288026266,,903d185fccf839df
1493659605263,34.20000076293945,35.79999923706055,-12.300000190734863,51.015389009312514,,903d185fccf839df
1493659605314,37.900001525878906,32.400001525878906,-8.40000057220459,50.56412068753219,,903d185fccf839df
1493659605444,39.60000228881836,21.5,-1,45.07116768234433,,903d185fccf839df
1493659605483,39.400001525878906,21.600000381469727,1,44.94352161878336,,903d185fccf839df
1493659605494,39.79999923706055,22.5,1.600000023841858,45.747676631424525,,903d185fccf839df
1493659605543,38.70000076293945,25,-2.9000000953674316,46.163839358069524,,903d185fccf839df
1493659605584,38.79999923706055,26.600000381469727,-0.10000000149011612,47.04263958331369,,903d185fccf839df
1493659605633,39.10000228881836,24.80000114440918,-0.6000000238418579,46.30561758297656,,903d185fccf839df
1493659605675,39.20000076293945,24.600000381469727,-1,46.29038829852397,,903d185fccf839df
1493659605703,38.400001525878906,25.899999618530273,-2.799999952316284,46.402694488877415,,903d185fccf839df
1493659605743,38.900001525878906,24.5,-8.5,46.75157840124558,,903d185fccf839df
1493659605773,39.20000076293945,26.5,-6.200000286102295,47.72137903591894,,903d185fccf839df
1493659605813,38.60000228881836,28.100000381469727,-10.40000057220459,48.864406910923904,,903d185fccf839df
1493659605863,37.900001525878906,29.399999618530273,-10.600000381469727,49.12362109862534,,903d185fccf839df
1493659605903,37.5,29.5,-13.100000381469727,49.47837927690377,,903d185fccf839df
1493659605933,36.79999923706055,28.700000762939453,-18.80000114440918,50.31272291051163,,903d185fccf839df
1493659605993,34.60000228881836,31.399999618530273,-21.399999618530273,51.391440032777616,,903d185fccf839df
1493659606023,33.400001525878906,32.10000228881836,-20.5,50.65787416427727,,903d185fccf839df
1493659606073,31.100000381469727,32.900001525878906,-24.100000381469727,51.28771954163345,,903d185fccf839df
1493659606095,30.700000762939453,33.900001525878906,-25.100000381469727,52.17001192297131,,903d185fccf839df
1493659606133,29.5,34.10000228881836,-25.80000114440918,51.94901593242798,,903d185fccf839df
1493659606173,29.600000381469727,32.70000076293945,-27.80000114440918,52.13722433283932,,903d185fccf839df
1493659606213,31.5,32.29999923706055,-24,51.103228048648624,,903d185fccf839df
1493659606263,34.60000228881836,29.600000381469727,-20.600000381469727,49.97679667904725,,903d185fccf839df
1493659606293,36.5,26.399999618530273,-18.600000381469727,48.73571568070132,,903d185fccf839df
1493659606333,39.20000076293945,24.100000381469727,-16.600000381469727,48.91840154548823,,903d185fccf839df
1493659606373,42,19.80000114440918,-14.90000057220459,48.76525452438575,,903d185fccf839df
1493659606423,42.900001525878906,13.300000190734863,-10.199999809265137,46.05800852105724,,903d185fccf839df
1493659606463,42.5,9.90000057220459,-5.700000286102295,44.00852203203479,,903d185fccf839df
1493659606503,41.29999923706055,7.700000286102295,-4.099999904632568,42.21125377908618,,903d185fccf839df
1493659606543,41.400001525878906,9.100000381469727,3.4000000953674316,42.52446458940333,,903d185fccf839df
1493659606574,41.20000076293945,8,-1.5,41.996310117396774,,903d185fccf839df
1493659606623,41.79999923706055,8.300000190734863,-0.6000000238418579,42.6203002058682,,903d185fccf839df
1493659606683,41.900001525878906,8.100000381469727,-1.100000023841858,42.68992990975469,,903d185fccf839df
1493659606703,42.29999923706055,8.800000190734863,-2.700000047683716,43.289951719449675,,903d185fccf839df
1493659606743,41.79999923706055,8.800000190734863,-3.6000001430511475,42.86770338690425,,903d185fccf839df
1493659606783,41.400001525878906,10.800000190734863,-9.5,43.82750380784714,,903d185fccf839df
1493659606843,40.20000076293945,15.100000381469727,-13.5,45.014442669304756,,903d185fccf839df
1493659606883,38.70000076293945,16.5,-19,46.162106358750165,,903d185fccf839df
