timestamp, light1, light2, light3, UUID 
1495451692452,3069,8185,3069,,903d185fccf839df
1495451692622,3122,8205,3122,,903d185fccf839df
1495451692622,3122,8205,3122,,903d185fccf839df
1495451692802,3159,8120,3159,,903d185fccf839df
1495451692802,3159,8120,3159,,903d185fccf839df
1495451692985,3612,8205,3612,,903d185fccf839df
1495451692985,3612,8205,3612,,903d185fccf839df
1495451693161,3798,8245,3798,,903d185fccf839df
1495451693161,3798,8245,3798,,903d185fccf839df
1495451693343,3897,8283,3897,,903d185fccf839df
1495451693522,3995,8304,3995,,903d185fccf839df
1495451693522,3995,8304,3995,,903d185fccf839df
1495451693522,3995,8304,3995,,903d185fccf839df
1495451693773,3768,8274,3768,,903d185fccf839df
1495451693882,3954,8375,3954,,903d185fccf839df
1495451693882,3954,8375,3954,,903d185fccf839df
1495451694060,3947,8379,3947,,903d185fccf839df
1495451694060,3947,8379,3947,,903d185fccf839df
1495451694243,4119,8439,4119,,903d185fccf839df
1495451694421,4178,8529,4178,,903d185fccf839df
1495451694421,4178,8529,4178,,903d185fccf839df
1495451694602,4276,8526,4276,,903d185fccf839df
1495451694602,4276,8526,4276,,903d185fccf839df
1495451694795,4728,8453,4728,,903d185fccf839df
1495451694795,4728,8453,4728,,903d185fccf839df
1495451694963,4626,8359,4626,,903d185fccf839df
1495451694963,4626,8359,4626,,903d185fccf839df
1495451695142,4520,8215,4520,,903d185fccf839df
1495451695142,4520,8215,4520,,903d185fccf839df
1495451695323,4240,8078,4240,,903d185fccf839df
1495451695501,4132,8011,4132,,903d185fccf839df
1495451695501,4132,8011,4132,,903d185fccf839df
1495451695681,4389,8020,4389,,903d185fccf839df
1495451695681,4389,8020,4389,,903d185fccf839df
1495451695863,4729,8076,4729,,903d185fccf839df
1495451695863,4729,8076,4729,,903d185fccf839df
1495451696041,4934,8138,4934,,903d185fccf839df
1495451696041,4934,8138,4934,,903d185fccf839df
1495451696223,4485,8116,4485,,903d185fccf839df
1495451696401,4773,8097,4773,,903d185fccf839df
1495451696401,4773,8097,4773,,903d185fccf839df
1495451696587,11712,8235,11712,,903d185fccf839df
1495451696587,11712,8235,11712,,903d185fccf839df
1495451696768,4839,8119,4839,,903d185fccf839df
1495451696768,4839,8119,4839,,903d185fccf839df
1495451696946,4848,8100,4848,,903d185fccf839df
1495451696946,4848,8100,4848,,903d185fccf839df
1495451697128,4847,8100,4847,,903d185fccf839df
1495451697301,4881,8147,4881,,903d185fccf839df
1495451697301,4881,8147,4881,,903d185fccf839df
1495451697486,4591,8126,4591,,903d185fccf839df
1495451697486,4591,8126,4591,,903d185fccf839df
1495451697668,5346,8216,5346,,903d185fccf839df
1495451697668,5346,8216,5346,,903d185fccf839df
1495451697842,5420,8060,5420,,903d185fccf839df
1495451698021,5509,8006,5509,,903d185fccf839df
1495451698021,5509,8006,5509,,903d185fccf839df
1495451698021,5509,8006,5509,,903d185fccf839df
1495451698216,5395,8077,5395,,903d185fccf839df
1495451698382,5238,8130,5238,,903d185fccf839df
1495451698382,5238,8130,5238,,903d185fccf839df
1495451698565,4720,8170,4720,,903d185fccf839df
1495451698565,4720,8170,4720,,903d185fccf839df
1495451698741,5084,8074,5084,,903d185fccf839df
1495451698741,5084,8074,5084,,903d185fccf839df
1495451698921,5078,7976,5078,,903d185fccf839df
1495451698921,5078,7976,5078,,903d185fccf839df
1495451699104,5048,7986,5048,,903d185fccf839df
1495451699281,4910,7995,4910,,903d185fccf839df
1495451699281,4910,7995,4910,,903d185fccf839df
1495451699461,4919,7977,4919,,903d185fccf839df
1495451699461,4919,7977,4919,,903d185fccf839df
1495451699642,4271,7966,4271,,903d185fccf839df
1495451699823,4658,7931,4658,,903d185fccf839df
1495451699823,4658,7931,4658,,903d185fccf839df
1495451700003,4718,7911,4718,,903d185fccf839df
1495451700003,4718,7911,4718,,903d185fccf839df
1495451700183,4519,7904,4519,,903d185fccf839df
1495451700183,4519,7904,4519,,903d185fccf839df
1495451700362,4635,7893,4635,,903d185fccf839df
1495451700362,4635,7893,4635,,903d185fccf839df
1495451700546,4498,7874,4498,,903d185fccf839df
1495451700722,4240,7837,4240,,903d185fccf839df
1495451700722,4240,7837,4240,,903d185fccf839df
1495451700722,4240,7837,4240,,903d185fccf839df
1495451700905,4707,7694,4707,,903d185fccf839df
1495451701088,4564,7803,4564,,903d185fccf839df
1495451701088,4564,7803,4564,,903d185fccf839df
1495451701261,4270,7823,4270,,903d185fccf839df
1495451701261,4270,7823,4270,,903d185fccf839df
1495451701442,4231,7925,4231,,903d185fccf839df
1495451701442,4231,7925,4231,,903d185fccf839df
1495451701622,4033,7966,4033,,903d185fccf839df
1495451701622,4033,7966,4033,,903d185fccf839df
1495451701805,3753,8011,3753,,903d185fccf839df
1495451701984,4161,7908,4161,,903d185fccf839df
1495451701984,4161,7908,4161,,903d185fccf839df
1495451702170,4583,7815,4583,,903d185fccf839df
1495451702170,4583,7815,4583,,903d185fccf839df
1495451702342,4105,7816,4105,,903d185fccf839df
1495451702523,4176,7807,4176,,903d185fccf839df
1495451702523,4176,7807,4176,,903d185fccf839df
1495451702523,4176,7807,4176,,903d185fccf839df
1495451702702,4186,7779,4186,,903d185fccf839df
1495451702882,4031,7700,4031,,903d185fccf839df
1495451702882,4031,7700,4031,,903d185fccf839df
1495451703062,4239,7573,4239,,903d185fccf839df
1495451703062,4239,7573,4239,,903d185fccf839df
1495451703245,4017,7691,4017,,903d185fccf839df
1495451703245,4017,7691,4017,,903d185fccf839df
1495451703432,3442,7646,3442,,903d185fccf839df
1495451703605,2884,7800,2884,,903d185fccf839df
1495451703605,2884,7800,2884,,903d185fccf839df
1495451703785,2863,8032,2863,,903d185fccf839df
1495451703785,2863,8032,2863,,903d185fccf839df
1495451703962,2580,8144,2580,,903d185fccf839df
1495451703962,2580,8144,2580,,903d185fccf839df
1495451704143,2613,8072,2613,,903d185fccf839df
1495451704143,2613,8072,2613,,903d185fccf839df
1495451704327,3011,8097,3011,,903d185fccf839df
1495451704327,3011,8097,3011,,903d185fccf839df
1495451704503,2843,7985,2843,,903d185fccf839df
1495451704683,3071,7987,3071,,903d185fccf839df
1495451704683,3071,7987,3071,,903d185fccf839df
1495451704864,3497,7830,3497,,903d185fccf839df
1495451704864,3497,7830,3497,,903d185fccf839df
1495451705042,3735,7824,3735,,903d185fccf839df
1495451705042,3735,7824,3735,,903d185fccf839df
1495451705221,3914,7840,3914,,903d185fccf839df
1495451705221,3914,7840,3914,,903d185fccf839df
1495451705403,4047,7857,4047,,903d185fccf839df
1495451705586,4098,7912,4098,,903d185fccf839df
1495451705586,4098,7912,4098,,903d185fccf839df
1495451705761,4141,7951,4141,,903d185fccf839df
1495451705761,4141,7951,4141,,903d185fccf839df
1495451705943,4140,8007,4140,,903d185fccf839df
1495451705943,4140,8007,4140,,903d185fccf839df
1495451706122,4091,8029,4091,,903d185fccf839df
1495451706307,4066,7929,4066,,903d185fccf839df
1495451706307,4066,7929,4066,,903d185fccf839df
1495451706482,4312,7919,4312,,903d185fccf839df
1495451706482,4312,7919,4312,,903d185fccf839df
1495451706663,4767,7936,4767,,903d185fccf839df
1495451706663,4767,7936,4767,,903d185fccf839df
1495451706843,4687,7903,4687,,903d185fccf839df
1495451706843,4687,7903,4687,,903d185fccf839df
1495451707022,4713,7808,4713,,903d185fccf839df
1495451707022,4713,7808,4713,,903d185fccf839df
1495451707207,4961,7833,4961,,903d185fccf839df
1495451707388,4932,7857,4932,,903d185fccf839df
1495451707388,4932,7857,4932,,903d185fccf839df
1495451707562,4735,7821,4735,,903d185fccf839df
1495451707562,4735,7821,4735,,903d185fccf839df
1495451707742,5177,7805,5177,,903d185fccf839df
1495451707742,5177,7805,5177,,903d185fccf839df
1495451707923,5354,7814,5354,,903d185fccf839df
1495451708103,4820,7675,4820,,903d185fccf839df
1495451708103,4820,7675,4820,,903d185fccf839df
1495451708283,4988,7682,4988,,903d185fccf839df
1495451708283,4988,7682,4988,,903d185fccf839df
1495451708462,5097,7737,5097,,903d185fccf839df
1495451708462,5097,7737,5097,,903d185fccf839df
1495451708642,4819,7664,4819,,903d185fccf839df
1495451708642,4819,7664,4819,,903d185fccf839df
1495451708824,5097,7640,5097,,903d185fccf839df
1495451709001,5234,7676,5234,,903d185fccf839df
1495451709001,5234,7676,5234,,903d185fccf839df
1495451709187,4718,7524,4718,,903d185fccf839df
1495451709187,4718,7524,4718,,903d185fccf839df
1495451709362,5002,7584,5002,,903d185fccf839df
1495451709362,5002,7584,5002,,903d185fccf839df
1495451709544,5151,7600,5151,,903d185fccf839df
1495451709544,5151,7600,5151,,903d185fccf839df
1495451709722,4916,7504,4916,,903d185fccf839df
1495451709902,5289,7592,5289,,903d185fccf839df
1495451709902,5289,7592,5289,,903d185fccf839df
1495451710086,5603,7685,5603,,903d185fccf839df
1495451710086,5603,7685,5603,,903d185fccf839df
1495451710267,5042,7633,5042,,903d185fccf839df
1495451710267,5042,7633,5042,,903d185fccf839df
1495451710443,5127,7642,5127,,903d185fccf839df
1495451710443,5127,7642,5127,,903d185fccf839df
1495451710622,5304,7635,5304,,903d185fccf839df
1495451710622,5304,7635,5304,,903d185fccf839df
1495451710808,5109,7589,5109,,903d185fccf839df
1495451710983,5339,7688,5339,,903d185fccf839df
1495451710983,5339,7688,5339,,903d185fccf839df
1495451711161,5528,7732,5528,,903d185fccf839df
1495451711161,5528,7732,5528,,903d185fccf839df
1495451711344,5124,7698,5124,,903d185fccf839df
1495451711344,5124,7698,5124,,903d185fccf839df
1495451711522,4927,7630,4927,,903d185fccf839df
1495451711703,4936,7624,4936,,903d185fccf839df
1495451711703,4936,7624,4936,,903d185fccf839df
1495451711882,4882,7574,4882,,903d185fccf839df
1495451711882,4882,7574,4882,,903d185fccf839df
1495451712062,5109,7610,5109,,903d185fccf839df
1495451712062,5109,7610,5109,,903d185fccf839df
1495451712244,5149,7708,5149,,903d185fccf839df
1495451712244,5149,7708,5149,,903d185fccf839df
1495451712423,4697,7646,4697,,903d185fccf839df
1495451712603,4509,7612,4509,,903d185fccf839df
1495451712603,4509,7612,4509,,903d185fccf839df
1495451712786,4648,7677,4648,,903d185fccf839df
1495451712786,4648,7677,4648,,903d185fccf839df
1495451712968,4502,7671,4502,,903d185fccf839df
1495451712968,4502,7671,4502,,903d185fccf839df
1495451713146,4525,7661,4525,,903d185fccf839df
1495451713146,4525,7661,4525,,903d185fccf839df
1495451713322,4795,7760,4795,,903d185fccf839df
1495451713322,4795,7760,4795,,903d185fccf839df
1495451713511,4573,7713,4573,,903d185fccf839df
1495451713682,4521,7700,4521,,903d185fccf839df
1495451713682,4521,7700,4521,,903d185fccf839df
1495451713862,4724,7790,4724,,903d185fccf839df
1495451713862,4724,7790,4724,,903d185fccf839df
1495451714042,4674,7770,4674,,903d185fccf839df
1495451714042,4674,7770,4674,,903d185fccf839df
1495451714224,4732,7733,4732,,903d185fccf839df
1495451714224,4732,7733,4732,,903d185fccf839df
1495451714402,5229,7787,5229,,903d185fccf839df
1495451714586,4820,7750,4820,,903d185fccf839df
1495451714586,4820,7750,4820,,903d185fccf839df
1495451714775,4683,7706,4683,,903d185fccf839df
1495451714775,4683,7706,4683,,903d185fccf839df
1495451714943,4793,7756,4793,,903d185fccf839df
1495451714943,4793,7756,4793,,903d185fccf839df
1495451715122,4786,7743,4786,,903d185fccf839df
1495451715305,5014,7728,5014,,903d185fccf839df
1495451715305,5014,7728,5014,,903d185fccf839df
1495451715483,5052,7737,5052,,903d185fccf839df
1495451715483,5052,7737,5052,,903d185fccf839df
1495451715663,4664,7654,4664,,903d185fccf839df
1495451715663,4664,7654,4664,,903d185fccf839df
1495451715842,4498,7582,4498,,903d185fccf839df
1495451715842,4498,7582,4498,,903d185fccf839df
1495451716022,4496,7601,4496,,903d185fccf839df
1495451716022,4496,7601,4496,,903d185fccf839df
1495451716207,4408,7592,4408,,903d185fccf839df
1495451716383,4614,7645,4614,,903d185fccf839df
1495451716383,4614,7645,4614,,903d185fccf839df
1495451716562,5007,7683,5007,,903d185fccf839df
