timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1491900131584,-17.700000762939453,-7.400000095367432,-47.400001525878906,51.135215801881394,,903d185fccf839df
1491900131673,-17.700000762939453,-7.599999904632568,-47.79999923706055,51.535326535630226,,903d185fccf839df
1491900131714,-17.700000762939453,-7.5,-47.60000228881836,51.3351759806933,,903d185fccf839df
1491900131805,-17.80000114440918,-7.5,-47.5,51.27709066294098,,903d185fccf839df
1491900131875,-17.899999618530273,-7.300000190734863,-47.70000076293945,51.468339910303676,,903d185fccf839df
1491900131953,-18.100000381469727,-7,-47.400001525878906,51.21884682199894,,903d185fccf839df
1491900132004,-18.30000114440918,-7,-47.70000076293945,51.56723847782151,,903d185fccf839df
1491900132045,-18.30000114440918,-7.200000286102295,-48.10000228881836,51.96479728195979,,903d185fccf839df
1491900132104,-18.30000114440918,-7.300000190734863,-48.20000076293945,52.07129762465996,,903d185fccf839df
1491900132184,-18.100000381469727,-7.300000190734863,-48,51.816020850550345,,903d185fccf839df
1491900132233,-18,-7.300000190734863,-47.79999923706055,51.59583165979135,,903d185fccf839df
1491900132295,-17.899999618530273,-7.300000190734863,-47.70000076293945,51.468339910303676,,903d185fccf839df
1491900132384,-17.80000114440918,-6.700000286102295,-46.900001525878906,50.6096842262594,,903d185fccf839df
1491900132478,-17.899999618530273,-6.400000095367432,-47,50.69881631797434,,903d185fccf839df
1491900132545,-17.700000762939453,-6.099999904632568,-47.29999923706055,50.8703260969445,,903d185fccf839df
1491900132614,-17.399999618530273,-5.800000190734863,-47.60000228881836,51.01137359803833,,903d185fccf839df
1491900132654,-17.30000114440918,-5.800000190734863,-47.900001525878906,51.25758674105567,,903d185fccf839df
1491900132734,-16.899999618530273,-5.599999904632568,-47.900001525878906,51.101664750813796,,903d185fccf839df
1491900132829,-16.80000114440918,-5.599999904632568,-47.70000076293945,50.88113686853935,,903d185fccf839df
1491900132895,-17.100000381469727,-5.700000286102295,-47.20000076293945,50.52464837315745,,903d185fccf839df
1491900132994,-18,-5.900000095367432,-46.900001525878906,50.5808274823096,,903d185fccf839df
1491900133066,-18.600000381469727,-6.099999904632568,-46.70000076293945,50.63654962352667,,903d185fccf839df
1491900133125,-18.899999618530273,-6.300000190734863,-46.29999923706055,50.40426505071505,,903d185fccf839df
1491900133174,-19.100000381469727,-6.5,-46.20000076293945,50.41329401678735,,903d185fccf839df
1491900133285,-19.100000381469727,-7.200000286102295,-46.29999923706055,50.599802108799864,,903d185fccf839df
1491900133374,-19.100000381469727,-7.599999904632568,-45.900001525878906,50.292942695685,,903d185fccf839df
1491900133455,-19.100000381469727,-7.800000190734863,-46,50.41477989680662,,903d185fccf839df
1491900133545,-19.100000381469727,-7.900000095367432,-45.5,49.97469387523633,,903d185fccf839df
1491900133633,-19.30000114440918,-8.199999809265137,-45.20000076293945,49.82740298466097,,903d185fccf839df
1491900133705,-19.600000381469727,-8.5,-44.900001525878906,49.723436481181054,,903d185fccf839df
1491900133786,-19.899999618530273,-9,-44.10000228881836,49.211992033569516,,903d185fccf839df
1491900133874,-20.30000114440918,-9.600000381469727,-43.70000076293945,49.131864655350896,,903d185fccf839df
1491900133965,-20.30000114440918,-10,-43.5,49.03407037329296,,903d185fccf839df
1491900134013,-20.399999618530273,-10.100000381469727,-43.5,49.09602817856202,,903d185fccf839df
1491900134094,-20.30000114440918,-9.699999809265137,-43.400001525878906,48.884969411619764,,903d185fccf839df
1491900134193,-20.30000114440918,-8.90000057220459,-43.5,48.821614722240746,,903d185fccf839df
1491900134254,-20.600000381469727,-8.40000057220459,-43.60000228881836,48.947729607864844,,903d185fccf839df
1491900134314,-20.80000114440918,-8,-43.60000228881836,48.965296386769076,,903d185fccf839df
1491900134385,-21.5,-7.800000190734863,-43.5,49.1461087367788,,903d185fccf839df
1491900134485,-22.30000114440918,-7.800000190734863,-43.20000076293945,49.237893490019175,,903d185fccf839df
1491900134573,-22.5,-7.900000095367432,-43.5,49.60755990620192,,903d185fccf839df
1491900134660,-22.200000762939453,-7.800000190734863,-43.900001525878906,49.808534548113,,903d185fccf839df
1491900134725,-22.100000381469727,-8,-44.60000228881836,50.4139877406272,,903d185fccf839df
1491900134804,-22.30000114440918,-8.600000381469727,-44.70000076293945,50.68865882687164,,903d185fccf839df
1491900134884,-22.700000762939453,-11.300000190734863,-44,50.78365919765832,,903d185fccf839df
1491900134953,-22.5,-15.300000190734863,-42.79999923706055,50.71666370550208,,903d185fccf839df
1491900135034,-22.5,-17.600000381469727,-42.20000076293945,50.95929844156265,,903d185fccf839df
1491900135114,-22.200000762939453,-18.30000114440918,-42.10000228881836,50.99157016871989,,903d185fccf839df
1491900135185,-21.600000381469727,-19.30000114440918,-42.60000228881836,51.5151466391386,,903d185fccf839df
1491900135236,-21.600000381469727,-19.700000762939453,-42.70000076293945,51.748817319762395,,903d185fccf839df
