prediction, timestamp 
sitting,1494604561541
sitting,1494604562879
sitting,1494604564400
sitting,1494604565913
sitting,1494604567398
sitting,1494604568938
sitting,1494604570391
walking downstairs,1494604571923
walking downstairs,1494604573390
walking downstairs,1494604574889
walking downstairs,1494604576386
sitting,1494604577921
walking downstairs,1494604579394
walking downstairs,1494604580905
walking upstairs,1494604582399
walking,1494604583878
walking,1494604585382
walking upstairs,1494604586887
walking upstairs,1494604588381
walking upstairs,1494604589880
walking upstairs,1494604591403
walking upstairs,1494604592896
walking upstairs,1494604594387
walking upstairs,1494604595922
walking upstairs,1494604597418
walking upstairs,1494604598885
walking upstairs,1494604600395
walking downstairs,1494604601875
walking,1494604603383
sitting,1494604604891
walking,1494604606381
walking,1494604607902
walking,1494604609391
walking upstairs,1494604610902
walking upstairs,1494604612404
walking,1494604613896
sitting,1494604615383
sitting,1494604616884
sitting,1494604618386
sitting,1494604619882
sitting,1494604621380
sitting,1494604622889
sitting,1494604624391
sitting,1494604625891
sitting,1494604627422
sitting,1494604628901
sitting,1494604630403
sitting,1494604631884
sitting,1494604633384
sitting,1494604634886
sitting,1494604636380
sitting,1494604637876
sitting,1494604639383
sitting,1494604640884
sitting,1494604642397
sitting,1494604643933
sitting,1494604645417
sitting,1494604646887
sitting,1494604648391
sitting,1494604649890
sitting,1494604651396
sitting,1494604652888
sitting,1494604654388
sitting,1494604655877
sitting,1494604657387
sitting,1494604658877
sitting,1494604660409
sitting,1494604661891
sitting,1494604663377
sitting,1494604664884
sitting,1494604666385
sitting,1494604667870
sitting,1494604669380
sitting,1494604670898
sitting,1494604672386
sitting,1494604673881
sitting,1494604675387
sitting,1494604676909
sitting,1494604678386
sitting,1494604679915
sitting,1494604681382
sitting,1494604682889
sitting,1494604684383
sitting,1494604685890
sitting,1494604687397
sitting,1494604688884
sitting,1494604690404
sitting,1494604691879
sitting,1494604693384
sitting,1494604694925
sitting,1494604696456
sitting,1494604697894
sitting,1494604699381
walking downstairs,1494604700887
sitting,1494604702378
sitting,1494604703879
sitting,1494604705398
sitting,1494604706915
sitting,1494604708385
sitting,1494604709881
sitting,1494604711438
sitting,1494604712883
sitting,1494604714382
sitting,1494604715881
sitting,1494604717384
walking downstairs,1494604718898
walking downstairs,1494604720390
sitting,1494604721885
walking downstairs,1494604723389
walking downstairs,1494604724897
walking downstairs,1494604726375
walking downstairs,1494604727918
walking downstairs,1494604729387
walking downstairs,1494604730886
walking downstairs,1494604732382
walking downstairs,1494604733880
walking downstairs,1494604735380
walking downstairs,1494604736892
walking,1494604738389
walking downstairs,1494604739907
walking downstairs,1494604741375
walking downstairs,1494604742877
walking downstairs,1494604744434
walking downstairs,1494604745884
walking upstairs,1494604747398
walking downstairs,1494604748884
sitting,1494604750382
sitting,1494604751890
sitting,1494604753386
sitting,1494604754899
sitting,1494604756410
sitting,1494604757897
sitting,1494604759372
sitting,1494604760906
sitting,1494604762397
sitting,1494604763901
sitting,1494604765411
sitting,1494604766895
sitting,1494604768384
sitting,1494604769894
sitting,1494604771417
sitting,1494604772883
sitting,1494604774405
sitting,1494604775881
walking downstairs,1494604777397
sitting,1494604778886
sitting,1494604780431
sitting,1494604781887
sitting,1494604783385
sitting,1494604784878
sitting,1494604786412
sitting,1494604787884
sitting,1494604789395
sitting,1494604790899
sitting,1494604792388
sitting,1494604793895
sitting,1494604795391
sitting,1494604796883
sitting,1494604798430
sitting,1494604799888
sitting,1494604801398
sitting,1494604802889
sitting,1494604804383
walking downstairs,1494604805879
sitting,1494604807376
sitting,1494604808891
sitting,1494604810397
sitting,1494604811881
sitting,1494604813389
sitting,1494604814912
sitting,1494604816433
sitting,1494604817888
sitting,1494604819401
sitting,1494604820884
sitting,1494604822390
sitting,1494604823879
sitting,1494604825392
sitting,1494604826941
sitting,1494604828385
sitting,1494604829879
sitting,1494604831381
sitting,1494604832851
sitting,1494604834375
sitting,1494604835900
sitting,1494604837379
sitting,1494604838881
sitting,1494604840376
sitting,1494604841878
walking,1494604843379
walking,1494604844883
walking,1494604846392
sitting,1494604847901
sitting,1494604849405
