timestamp, latitude, longitude, accuracy, UUID 
1494777566644,48.1575617,11.566703,20.023000717163086,,903d185fccf839df
1494777583826,48.1575617,11.566703,20.04199981689453,,903d185fccf839df
1494777586516,48.1572595,11.566773,24,,903d185fccf839df
1494777587516,48.1573439,11.566901,32,,903d185fccf839df
1494777588482,48.157362,11.5670034,32,,903d185fccf839df
1494777589489,48.1574154,11.5670658,16,,903d185fccf839df
1494777590491,48.1574181,11.5670982,24,,903d185fccf839df
1494777591491,48.1574199,11.5671346,16,,903d185fccf839df
1494777592491,48.1574273,11.5671682,16,,903d185fccf839df
1494777593491,48.1574309,11.5672151,16,,903d185fccf839df
1494777594491,48.157427,11.5672369,24,,903d185fccf839df
1494777595489,48.157427,11.5672369,6,,903d185fccf839df
1494777596489,48.157427,11.5672369,6,,903d185fccf839df
1494777598000,48.1574386,11.5672544,6,,903d185fccf839df
1494777599000,48.1574386,11.5672544,6,,903d185fccf839df
1494777600000,48.1574406,11.5672719,8,,903d185fccf839df
1494777601000,48.1574397,11.5672843,12,,903d185fccf839df
1494777602000,48.1574397,11.5672845,6,,903d185fccf839df
1494777603000,48.157439,11.5673021,6,,903d185fccf839df
1494777604000,48.1574359,11.5673087,6,,903d185fccf839df
1494777605000,48.1574318,11.5673196,6,,903d185fccf839df
1494777606000,48.1574234,11.5673289,8,,903d185fccf839df
1494777607000,48.157384,11.567336,8,,903d185fccf839df
1494777608000,48.1573839,11.5673361,8,,903d185fccf839df
1494777609000,48.1573839,11.5673361,8,,903d185fccf839df
1494777610000,48.1573839,11.5673361,6,,903d185fccf839df
1494777611000,48.1573839,11.5673361,6,,903d185fccf839df
1494777612000,48.1573839,11.5673361,6,,903d185fccf839df
1494777613000,48.1573911,11.5672635,6,,903d185fccf839df
1494777614000,48.1573843,11.5672334,8,,903d185fccf839df
1494777615000,48.1573843,11.5672334,8,,903d185fccf839df
1494777616000,48.1573716,11.5671596,8,,903d185fccf839df
1494777617000,48.1573716,11.5671596,8,,903d185fccf839df
1494777618000,48.1573716,11.5671596,6,,903d185fccf839df
1494777619000,48.1573716,11.5671596,6,,903d185fccf839df
1494777620000,48.1573687,11.5670651,6,,903d185fccf839df
1494777621000,48.1573725,11.5670529,6,,903d185fccf839df
1494777622000,48.1573749,11.5670372,8,,903d185fccf839df
1494777623000,48.1573821,11.5669756,6,,903d185fccf839df
1494777624000,48.1573808,11.5669118,12,,903d185fccf839df
1494777625000,48.1573785,11.5668898,12,,903d185fccf839df
1494777626000,48.157377,11.5668355,6,,903d185fccf839df
1494777627000,48.1573765,11.5667827,8,,903d185fccf839df
1494777628000,48.1573775,11.5667642,8,,903d185fccf839df
1494777629000,48.1573796,11.5667443,8,,903d185fccf839df
1494777630000,48.1573884,11.5667265,6,,903d185fccf839df
1494777631000,48.157397,11.5667071,6,,903d185fccf839df
1494777632000,48.1574057,11.5666931,8,,903d185fccf839df
1494777633000,48.1574163,11.5666831,6,,903d185fccf839df
1494777634000,48.1574276,11.5666762,6,,903d185fccf839df
1494777635000,48.1574399,11.5666685,8,,903d185fccf839df
1494777636000,48.1574542,11.5666606,8,,903d185fccf839df
1494777637000,48.1574648,11.5666556,8,,903d185fccf839df
1494777638000,48.15748,11.56665,8,,903d185fccf839df
1494777639000,48.1575127,11.5666438,8,,903d185fccf839df
1494777640000,48.1575128,11.5666437,12,,903d185fccf839df
1494777641000,48.1575128,11.5666437,12,,903d185fccf839df
1494777642000,48.1575225,11.5666435,12,,903d185fccf839df
1494777643000,48.157535,11.5666445,12,,903d185fccf839df
1494777644000,48.15758,11.5666489,16,,903d185fccf839df
1494777645000,48.1576266,11.5666501,16,,903d185fccf839df
1494777646000,48.1576758,11.5666449,8,,903d185fccf839df
1494777647000,48.1577215,11.566644,8,,903d185fccf839df
1494777648000,48.1577657,11.5666421,6,,903d185fccf839df
1494777649000,48.1578043,11.5666322,6,,903d185fccf839df
1494777650000,48.1578401,11.5666189,6,,903d185fccf839df
1494777651000,48.1578499,11.5666127,8,,903d185fccf839df
1494777652000,48.15786,11.5666045,8,,903d185fccf839df
1494777653000,48.1578693,11.5665972,4,,903d185fccf839df
1494777654000,48.1578751,11.5665861,8,,903d185fccf839df
1494777655000,48.1578776,11.5665785,8,,903d185fccf839df
1494777656000,48.1578753,11.5665712,4,,903d185fccf839df
1494777657000,48.1578715,11.5665705,8,,903d185fccf839df
1494777658000,48.1578651,11.5665664,6,,903d185fccf839df
1494777659000,48.1578576,11.5665631,8,,903d185fccf839df
1494777660000,48.1578576,11.5665631,6,,903d185fccf839df
1494777661000,48.1578601,11.566554,8,,903d185fccf839df
1494777662000,48.1578614,11.5665495,12,,903d185fccf839df
1494777663000,48.1578611,11.5665493,12,,903d185fccf839df
1494777664000,48.1578621,11.5665496,12,,903d185fccf839df
1494777665000,48.1578633,11.5665491,12,,903d185fccf839df
1494777666000,48.1578639,11.5665462,8,,903d185fccf839df
1494777667000,48.157865,11.5665398,8,,903d185fccf839df
1494777668000,48.157864,11.5665253,12,,903d185fccf839df
1494777669000,48.1578665,11.566514,12,,903d185fccf839df
1494777670000,48.1578682,11.5664978,12,,903d185fccf839df
1494777671000,48.1578696,11.5664818,8,,903d185fccf839df
1494777672000,48.1578696,11.5664817,8,,903d185fccf839df
1494777673000,48.1578696,11.5664817,8,,903d185fccf839df
1494777674000,48.1578716,11.5664726,8,,903d185fccf839df
1494777675000,48.1578741,11.5664597,6,,903d185fccf839df
1494777676000,48.1578886,11.5664094,6,,903d185fccf839df
1494777677000,48.1579006,11.5663611,6,,903d185fccf839df
1494777678000,48.157891,11.5663066,6,,903d185fccf839df
1494777679000,48.1578828,11.5662968,8,,903d185fccf839df
1494777680000,48.1578714,11.5662864,12,,903d185fccf839df
1494777681000,48.157862,11.5662748,8,,903d185fccf839df
1494777682000,48.1578519,11.5662624,8,,903d185fccf839df
