timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1508507824035,-20.600000381469727,-26.5,-7.900000095367432,34.48216953320299,,b152918cb29dbf4
1508507824129,-21,-25.399999618530273,-9.800000190734863,34.38313502373015,,b152918cb29dbf4
1508507824179,-21.5,-24.899999618530273,-10.699999809265137,34.59407474741006,,b152918cb29dbf4
1508507824320,-22.700000762939453,-24.80000114440918,-11.600000381469727,35.56529334818403,,b152918cb29dbf4
1508507824406,-23.200000762939453,-25,-11.800000190734863,36.089888566781354,,b152918cb29dbf4
1508507824537,-23.100000381469727,-25.30000114440918,-11.800000190734863,36.23451586223428,,b152918cb29dbf4
1508507824607,-23,-25.30000114440918,-12.199999809265137,36.30330679467802,,b152918cb29dbf4
1508507824663,-23.100000381469727,-24.899999618530273,-12.800000190734863,36.296832750930534,,b152918cb29dbf4
1508507824800,-24.200000762939453,-23.600000381469727,-14.100000381469727,36.625265179087464,,b152918cb29dbf4
1508507824850,-24.80000114440918,-23.30000114440918,-14.300000190734863,36.91097560671159,,b152918cb29dbf4
1508507824920,-25.700000762939453,-23.100000381469727,-14.199999809265137,37.359605151097334,,b152918cb29dbf4
1508507824958,-26.30000114440918,-23.200000762939453,-14,37.76148983747985,,b152918cb29dbf4
1508507825009,-26.80000114440918,-23.700000762939453,-13.699999809265137,38.309530171077675,,b152918cb29dbf4
1508507825070,-27.30000114440918,-24.30000114440918,-13.100000381469727,38.82512210156166,,b152918cb29dbf4
1508507825120,-27.80000114440918,-24.600000381469727,-12.800000190734863,39.26627221505744,,b152918cb29dbf4
1508507825199,-28.30000114440918,-24.700000762939453,-12.90000057220459,39.71637095027642,,b152918cb29dbf4
1508507825240,-28.399999618530273,-24.600000381469727,-13.100000381469727,39.791080000515464,,b152918cb29dbf4
1508507825260,-28.399999618530273,-24.5,-13,39.6964733642498,,b152918cb29dbf4
1508507825330,-28.5,-23.80000114440918,-13.40000057220459,39.47467639251708,,b152918cb29dbf4
1508507825570,-28.200000762939453,-23.700000762939453,-12.800000190734863,38.99705279047089,,b152918cb29dbf4
1508507825665,-27.600000381469727,-24.899999618530273,-11.300000190734863,38.85176986924349,,b152918cb29dbf4
1508507825811,-26.200000762939453,-24.399999618530273,-10.800000190734863,37.39572242713287,,b152918cb29dbf4
1508507825849,-26.399999618530273,-23.200000762939453,-11.600000381469727,37.010269183355234,,b152918cb29dbf4
1508507825930,-26.600000381469727,-22.100000381469727,-12.40000057220459,36.738671872923334,,b152918cb29dbf4
1508507826011,-26.80000114440918,-21.5,-12.699999809265137,36.63031592213837,,b152918cb29dbf4
1508507826079,-27.100000381469727,-21.899999618530273,-12.40000057220459,36.98351023492599,,b152918cb29dbf4
1508507826120,-27.200000762939453,-22.30000114440918,-12,37.16355830538794,,b152918cb29dbf4
1508507826130,-27.200000762939453,-22.399999618530273,-11.90000057220459,37.19153158949838,,b152918cb29dbf4
1508507826199,-27.700000762939453,-23.700000762939453,-10.90000057220459,38.04983725794954,,b152918cb29dbf4
1508507826258,-29,-24.899999618530273,-9.800000190734863,39.4594730157557,,b152918cb29dbf4
1508507826319,-30.600000381469727,-25.200000762939453,-9.600000381469727,40.78676365086262,,b152918cb29dbf4
1508507826349,-30.899999618530273,-25.200000762939453,-9,40.87603254501461,,b152918cb29dbf4
1508507826411,-32,-25.399999618530273,-9,41.83491332779992,,b152918cb29dbf4
1508507826472,-32.60000228881836,-25,-9.199999809265137,42.09988279348989,,b152918cb29dbf4
1508507826531,-32.70000076293945,-23.80000114440918,-9.90000057220459,41.63820496016474,,b152918cb29dbf4
1508507826619,-32.20000076293945,-22.5,-11.100000381469727,40.82033922696493,,b152918cb29dbf4
1508507826665,-31.600000381469727,-22.200000762939453,-11.40000057220459,40.266115173032645,,b152918cb29dbf4
1508507826719,-30.700000762939453,-22,-11.5,39.48088209842241,,b152918cb29dbf4
1508507826740,-30.30000114440918,-21.899999618530273,-11.5,39.11457622475523,,b152918cb29dbf4
1508507826813,-29.100000381469727,-22.30000114440918,-10.90000057220459,38.24800713028689,,b152918cb29dbf4
1508507826889,-27.399999618530273,-22.399999618530273,-10.300000190734863,36.85932625463738,,b152918cb29dbf4
1508507826954,-26.30000114440918,-22,-10,35.71680365705423,,b152918cb29dbf4
1508507827003,-25.399999618530273,-21.399999618530273,-10,34.68601972840945,,b152918cb29dbf4
1508507827070,-24,-20.80000114440918,-10.199999809265137,33.3568589416352,,b152918cb29dbf4
1508507827109,-23.30000114440918,-20.399999618530273,-10.300000190734863,32.63648346245977,,b152918cb29dbf4
1508507827179,-22.30000114440918,-20.100000381469727,-10.699999809265137,31.871461320308086,,b152918cb29dbf4
1508507827240,-21.700000762939453,-20.399999618530273,-10.699999809265137,31.64711702784815,,b152918cb29dbf4
1508507827278,-21.399999618530273,-20.899999618530273,-10.600000381469727,31.73531151971598,,b152918cb29dbf4
1508507827321,-21.100000381469727,-21.5,-10.40000057220459,31.868794035296663,,b152918cb29dbf4
1508507827350,-21,-21.899999618530273,-10.199999809265137,32.01015430512161,,b152918cb29dbf4
1508507827399,-20.899999618530273,-22.5,-9.800000190734863,32.23507404170372,,b152918cb29dbf4
1508507827470,-20.80000114440918,-23,-9.90000057220459,32.55226650990128,,b152918cb29dbf4
1508507827543,-20.399999618530273,-22.899999618530273,-10.300000190734863,32.35212435461306,,b152918cb29dbf4
1508507827601,-19.899999618530273,-22.30000114440918,-10.90000057220459,31.813676793604504,,b152918cb29dbf4
1508507827629,-19.700000762939453,-21.899999618530273,-11.40000057220459,31.585756583005868,,b152918cb29dbf4
1508507827680,-19.100000381469727,-21.30000114440918,-11.90000057220459,30.985643569593243,,b152918cb29dbf4
1508507827731,-18.5,-21,-12.199999809265137,30.530148973398255,,b152918cb29dbf4
1508507827812,-17.5,-20.700000762939453,-12.100000381469727,29.6841712771986,,b152918cb29dbf4
1508507827829,-17.30000114440918,-20.80000114440918,-12.100000381469727,29.636802929645178,,b152918cb29dbf4
1508507827860,-17,-20.899999618530273,-11.90000057220459,29.45199506701939,,b152918cb29dbf4
1508507827921,-16.700000762939453,-20.899999618530273,-11.699999809265137,29.199144021643505,,b152918cb29dbf4
1508507827961,-16.5,-21,-11.600000381469727,29.117177281072127,,b152918cb29dbf4
1508507827999,-16.399999618530273,-20.80000114440918,-11.90000057220459,29.038079352640292,,b152918cb29dbf4
1508507828050,-16.200000762939453,-20.5,-12.100000381469727,28.79409725310196,,b152918cb29dbf4
1508507828112,-16,-20.30000114440918,-12.100000381469727,28.539447454972848,,b152918cb29dbf4
1508507828130,-15.90000057220459,-20.30000114440918,-12.199999809265137,28.52612953992042,,b152918cb29dbf4
1508507828199,-15.800000190734863,-20.5,-12.40000057220459,28.699303286931436,,b152918cb29dbf4
1508507828220,-15.800000190734863,-20.600000381469727,-12.40000057220459,28.77081898424885,,b152918cb29dbf4
1508507828269,-15.90000057220459,-21.100000381469727,-12.40000057220459,29.18527102076772,,b152918cb29dbf4
1508507828320,-16,-21.899999618530273,-12.300000190734863,29.78086623818193,,b152918cb29dbf4
1508507828359,-16.200000762939453,-22.80000114440918,-11.90000057220459,30.39556013110457,,b152918cb29dbf4
1508507828430,-16.200000762939453,-23.80000114440918,-11.40000057220459,30.965143357482038,,b152918cb29dbf4
1508507828460,-16.200000762939453,-24.100000381469727,-11.300000190734863,31.159910669945514,,b152918cb29dbf4
1508507828532,-16.200000762939453,-24.700000762939453,-10.800000190734863,31.45107417614693,,b152918cb29dbf4
1508507828599,-16.100000381469727,-24.600000381469727,-10.800000190734863,31.321080172487456,,b152918cb29dbf4
1508507828659,-16.100000381469727,-24,-11.5,31.104019386128478,,b152918cb29dbf4
1508507828738,-16.30000114440918,-23,-12.600000381469727,30.87798637742768,,b152918cb29dbf4
1508507828801,-16.200000762939453,-22,-13.600000381469727,30.518847286109146,,b152918cb29dbf4
1508507828839,-16.200000762939453,-21.5,-14,30.342874500597077,,b152918cb29dbf4
1508507828861,-16.100000381469727,-21.30000114440918,-14.199999809265137,30.24136380586807,,b152918cb29dbf4
1508507828920,-16.100000381469727,-20.80000114440918,-14.90000057220459,30.230118704766888,,b152918cb29dbf4
1508507828970,-16,-20.30000114440918,-15.300000190734863,30.036312506193674,,b152918cb29dbf4
1508507829020,-16.100000381469727,-20,-15.699999809265137,30.09485026058497,,b152918cb29dbf4
1508507829070,-16.399999618530273,-20,-16.100000381469727,30.46588277775214,,b152918cb29dbf4
1508507829109,-16.80000114440918,-20.30000114440918,-16.200000762939453,30.931701240015276,,b152918cb29dbf4
1508507829140,-17.100000381469727,-20.5,-16.30000114440918,31.278587510005845,,b152918cb29dbf4
1508507829201,-17.700000762939453,-21.100000381469727,-16,31.851217575395076,,b152918cb29dbf4
1508507829259,-18.80000114440918,-21.899999618530273,-15.5,32.761257886573084,,b152918cb29dbf4
1508507829310,-19.80000114440918,-22.80000114440918,-14.800000190734863,33.62915512561817,,b152918cb29dbf4
1508507829331,-20.600000381469727,-23.600000381469727,-14.100000381469727,34.35302098301079,,b152918cb29dbf4
1508507829398,-23,-26,-11.699999809265137,36.63181676343187,,b152918cb29dbf4
1508507829426,-23.5,-26.399999618530273,-11.90000057220459,37.29369888877531,,b152918cb29dbf4
1508507829459,-23.899999618530273,-27,-11.800000190734863,37.940083901207494,,b152918cb29dbf4
1508507829509,-24.30000114440918,-26.80000114440918,-11.199999809265137,37.870438304184894,,b152918cb29dbf4
