timestamp, light1, light2, light3, UUID 
1508507193458,2646,7197,2646,,b152918cb29dbf4
1508507193651,2588,7108,2588,,b152918cb29dbf4
1508507193651,2588,7108,2588,,b152918cb29dbf4
1508507193906,2536,7064,2536,,b152918cb29dbf4
1508507193906,2536,7064,2536,,b152918cb29dbf4
1508507194088,2533,7047,2533,,b152918cb29dbf4
1508507194222,2616,7101,2616,,b152918cb29dbf4
1508507194222,2616,7101,2616,,b152918cb29dbf4
1508507194350,2671,7132,2671,,b152918cb29dbf4
1508507194532,2598,7119,2598,,b152918cb29dbf4
1508507194532,2598,7119,2598,,b152918cb29dbf4
1508507194710,2645,7233,2645,,b152918cb29dbf4
1508507194710,2645,7233,2645,,b152918cb29dbf4
1508507194891,2611,7272,2611,,b152918cb29dbf4
1508507194891,2611,7272,2611,,b152918cb29dbf4
1508507195139,2590,7359,2590,,b152918cb29dbf4
1508507195251,2660,7347,2660,,b152918cb29dbf4
1508507195433,2667,7383,2667,,b152918cb29dbf4
1508507195433,2667,7383,2667,,b152918cb29dbf4
1508507195614,2686,7386,2686,,b152918cb29dbf4
1508507195614,2686,7386,2686,,b152918cb29dbf4
1508507195795,2639,7288,2639,,b152918cb29dbf4
1508507195795,2639,7288,2639,,b152918cb29dbf4
1508507195970,2631,7098,2631,,b152918cb29dbf4
1508507195970,2631,7098,2631,,b152918cb29dbf4
1508507196153,2609,7007,2609,,b152918cb29dbf4
1508507196334,2599,6951,2599,,b152918cb29dbf4
1508507196334,2599,6951,2599,,b152918cb29dbf4
1508507196512,2570,7003,2570,,b152918cb29dbf4
1508507196512,2570,7003,2570,,b152918cb29dbf4
1508507196691,2517,6996,2517,,b152918cb29dbf4
1508507196691,2517,6996,2517,,b152918cb29dbf4
1508507196875,2369,6948,2369,,b152918cb29dbf4
1508507196875,2369,6948,2369,,b152918cb29dbf4
1508507197059,2291,7175,2291,,b152918cb29dbf4
1508507197232,2292,7118,2292,,b152918cb29dbf4
1508507197232,2292,7118,2292,,b152918cb29dbf4
1508507197411,2299,7135,2299,,b152918cb29dbf4
1508507197411,2299,7135,2299,,b152918cb29dbf4
1508507197594,2306,7139,2306,,b152918cb29dbf4
1508507197594,2306,7139,2306,,b152918cb29dbf4
1508507197770,2257,6942,2257,,b152918cb29dbf4
1508507197770,2257,6942,2257,,b152918cb29dbf4
1508507197951,2252,6752,2252,,b152918cb29dbf4
1508507198139,2261,6782,2261,,b152918cb29dbf4
1508507198139,2261,6782,2261,,b152918cb29dbf4
1508507198312,2288,7012,2288,,b152918cb29dbf4
1508507198312,2288,7012,2288,,b152918cb29dbf4
1508507198490,2176,6939,2176,,b152918cb29dbf4
1508507198490,2176,6939,2176,,b152918cb29dbf4
1508507198678,2134,6980,2134,,b152918cb29dbf4
1508507198678,2134,6980,2134,,b152918cb29dbf4
1508507198850,2087,6811,2087,,b152918cb29dbf4
1508507199040,2036,6633,2036,,b152918cb29dbf4
1508507199040,2036,6633,2036,,b152918cb29dbf4
1508507199214,1900,6470,1900,,b152918cb29dbf4
1508507199214,1900,6470,1900,,b152918cb29dbf4
1508507199395,1923,6634,1923,,b152918cb29dbf4
1508507199395,1923,6634,1923,,b152918cb29dbf4
1508507199576,1872,6477,1872,,b152918cb29dbf4
1508507199576,1872,6477,1872,,b152918cb29dbf4
1508507199751,1815,6545,1815,,b152918cb29dbf4
1508507199930,1760,6712,1760,,b152918cb29dbf4
1508507199930,1760,6712,1760,,b152918cb29dbf4
1508507200115,1658,6554,1658,,b152918cb29dbf4
1508507200115,1658,6554,1658,,b152918cb29dbf4
1508507200295,1614,6296,1614,,b152918cb29dbf4
1508507200295,1614,6296,1614,,b152918cb29dbf4
1508507200471,1513,6215,1513,,b152918cb29dbf4
1508507200471,1513,6215,1513,,b152918cb29dbf4
1508507200652,1552,6628,1552,,b152918cb29dbf4
1508507200834,1469,6270,1469,,b152918cb29dbf4
1508507200834,1469,6270,1469,,b152918cb29dbf4
1508507201015,1332,6237,1332,,b152918cb29dbf4
1508507201015,1332,6237,1332,,b152918cb29dbf4
1508507201191,1368,6534,1368,,b152918cb29dbf4
1508507201191,1368,6534,1368,,b152918cb29dbf4
1508507201371,1363,6296,1363,,b152918cb29dbf4
1508507201371,1363,6296,1363,,b152918cb29dbf4
1508507201559,1219,5955,1219,,b152918cb29dbf4
1508507201559,1219,5955,1219,,b152918cb29dbf4
1508507201735,1242,6179,1242,,b152918cb29dbf4
1508507201912,1564,6646,1564,,b152918cb29dbf4
1508507201912,1564,6646,1564,,b152918cb29dbf4
1508507202089,1231,6419,1231,,b152918cb29dbf4
1508507202089,1231,6419,1231,,b152918cb29dbf4
1508507202275,1374,6846,1374,,b152918cb29dbf4
1508507202275,1374,6846,1374,,b152918cb29dbf4
1508507202453,1563,6912,1563,,b152918cb29dbf4
1508507202632,1542,6494,1542,,b152918cb29dbf4
1508507202632,1542,6494,1542,,b152918cb29dbf4
1508507202814,1317,6422,1317,,b152918cb29dbf4
1508507202814,1317,6422,1317,,b152918cb29dbf4
1508507203000,1609,7023,1609,,b152918cb29dbf4
1508507203000,1609,7023,1609,,b152918cb29dbf4
1508507203173,1834,7222,1834,,b152918cb29dbf4
1508507203173,1834,7222,1834,,b152918cb29dbf4
1508507203356,1590,7339,1590,,b152918cb29dbf4
1508507203535,1899,7570,1899,,b152918cb29dbf4
1508507203535,1899,7570,1899,,b152918cb29dbf4
1508507203715,1938,7532,1938,,b152918cb29dbf4
1508507203715,1938,7532,1938,,b152918cb29dbf4
1508507203892,1847,7424,1847,,b152918cb29dbf4
1508507203892,1847,7424,1847,,b152918cb29dbf4
1508507204070,1737,7377,1737,,b152918cb29dbf4
1508507204070,1737,7377,1737,,b152918cb29dbf4
1508507204261,2027,7456,2027,,b152918cb29dbf4
1508507204430,1961,7466,1961,,b152918cb29dbf4
1508507204430,1961,7466,1961,,b152918cb29dbf4
1508507204623,1850,7606,1850,,b152918cb29dbf4
1508507204623,1850,7606,1850,,b152918cb29dbf4
1508507204793,2067,7554,2067,,b152918cb29dbf4
1508507204793,2067,7554,2067,,b152918cb29dbf4
1508507204971,1925,7473,1925,,b152918cb29dbf4
1508507204971,1925,7473,1925,,b152918cb29dbf4
1508507205151,1857,7294,1857,,b152918cb29dbf4
1508507205333,1860,7263,1860,,b152918cb29dbf4
1508507205333,1860,7263,1860,,b152918cb29dbf4
1508507205515,2028,7293,2028,,b152918cb29dbf4
1508507205515,2028,7293,2028,,b152918cb29dbf4
1508507205692,1824,7248,1824,,b152918cb29dbf4
1508507205692,1824,7248,1824,,b152918cb29dbf4
1508507205876,1764,7333,1764,,b152918cb29dbf4
1508507205876,1764,7333,1764,,b152918cb29dbf4
1508507206060,1982,7229,1982,,b152918cb29dbf4
1508507206230,1815,7164,1815,,b152918cb29dbf4
1508507206230,1815,7164,1815,,b152918cb29dbf4
1508507206411,1663,6957,1663,,b152918cb29dbf4
1508507206411,1663,6957,1663,,b152918cb29dbf4
1508507206591,1763,7037,1763,,b152918cb29dbf4
