timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1508506350113,-7,-19.5,-45.20000076293945,49.72212826360614,,b152918cb29dbf4
1508506350215,-8.800000190734863,-19.899999618530273,-45.60000228881836,50.52534105883233,,b152918cb29dbf4
1508506350444,-12,-21.700000762939453,-44.20000076293945,50.680667515478255,,b152918cb29dbf4
1508506350477,-12,-21.899999618530273,-43.70000076293945,50.331898919354565,,b152918cb29dbf4
1508506350617,-12.100000381469727,-22.399999618530273,-42.79999923706055,49.799698279512384,,b152918cb29dbf4
1508506350734,-12.199999809265137,-21.5,-43.10000228881836,49.68601640129825,,b152918cb29dbf4
1508506350795,-12,-20.700000762939453,-43.79999923706055,49.90921720642594,,b152918cb29dbf4
1508506350932,-11.199999809265137,-19.30000114440918,-44.29999923706055,49.60262126456542,,b152918cb29dbf4
1508506350994,-10.90000057220459,-19.200000762939453,-44.20000076293945,49.40738853768997,,b152918cb29dbf4
1508506351023,-10.90000057220459,-19.200000762939453,-44.10000228881836,49.31795016147653,,b152918cb29dbf4
1508506351073,-10.90000057220459,-19.200000762939453,-43.79999923706055,49.04987226152654,,b152918cb29dbf4
1508506351113,-11,-19.200000762939453,-43.70000076293945,48.98295701695642,,b152918cb29dbf4
1508506351173,-11.5,-18.80000114440918,-43.5,48.76412649642137,,b152918cb29dbf4
1508506351225,-12.100000381469727,-18,-43.60000228881836,48.69671661149481,,b152918cb29dbf4
1508506351293,-13.100000381469727,-17.100000381469727,-43.400001525878906,48.45183381664013,,b152918cb29dbf4
1508506351354,-14,-16.600000381469727,-43.20000076293945,48.350802577240444,,b152918cb29dbf4
1508506351373,-14.300000190734863,-16.30000114440918,-43.10000228881836,48.247178859953415,,b152918cb29dbf4
1508506351471,-14.800000190734863,-15.199999809265137,-43.10000228881836,48.03842452998685,,b152918cb29dbf4
1508506351558,-14.600000381469727,-15.199999809265137,-42.79999923706055,47.70786059727008,,b152918cb29dbf4
1508506351593,-14.300000190734863,-14.800000190734863,-42.900001525878906,47.58088030173555,,b152918cb29dbf4
1508506351672,-13.600000381469727,-14,-43.400001525878906,47.586974976120615,,b152918cb29dbf4
1508506351723,-13.40000057220459,-13.90000057220459,-43.5,47.59222662147716,,b152918cb29dbf4
1508506351803,-13.5,-13.600000381469727,-43.70000076293945,47.7168740613887,,b152918cb29dbf4
1508506351853,-13.800000190734863,-13.40000057220459,-43.70000076293945,47.74610014163829,,b152918cb29dbf4
1508506351885,-14,-13.40000057220459,-43.70000076293945,47.804289308533235,,b152918cb29dbf4
1508506351945,-14.5,-13,-43.60000228881836,47.75154662498509,,b152918cb29dbf4
1508506351963,-14.800000190734863,-13,-43.60000228881836,47.843497088141945,,b152918cb29dbf4
1508506352023,-15.300000190734863,-13,-43.29999923706055,47.72818773193473,,b152918cb29dbf4
1508506352052,-15.600000381469727,-13.199999809265137,-43.20000076293945,47.789539843026354,,b152918cb29dbf4
1508506352092,-15.800000190734863,-13.5,-42.79999923706055,47.578671326656035,,b152918cb29dbf4
1508506352132,-15.90000057220459,-14.100000381469727,-42.5,47.51704984144918,,b152918cb29dbf4
1508506352171,-16,-15.100000381469727,-42.29999923706055,47.67913513013646,,b152918cb29dbf4
1508506352346,-15.100000381469727,-18.899999618530273,-41,47.604831700371584,,b152918cb29dbf4
1508506353893,-14.90000057220459,-16.100000381469727,-32,38.79716525389814,,b152918cb29dbf4
1508506354112,-16,-16.5,-29.5,37.39652390263031,,b152918cb29dbf4
1508506354312,-19.600000381469727,-16.399999618530273,-26.100000381469727,36.52848227191822,,b152918cb29dbf4
1508506354392,-21,-15.199999809265137,-25.600000381469727,36.43350161146814,,b152918cb29dbf4
1508506354651,-20.100000381469727,-13.90000057220459,-26.899999618530273,36.34322518833247,,b152918cb29dbf4
1508506354863,-20,-13.699999809265137,-27.200000762939453,36.43528528827633,,b152918cb29dbf4
1508506355427,-20.30000114440918,-12,-28.30000114440918,36.83721125515123,,b152918cb29dbf4
1508506355646,-19.5,-11.40000057220459,-30.399999618530273,37.87307724305484,,b152918cb29dbf4
1508506356423,-22.200000762939453,-11.199999809265137,-30.5,39.351366198233585,,b152918cb29dbf4
1508506356552,-22.30000114440918,-10.600000381469727,-31.5,40.023743544329356,,b152918cb29dbf4
1508506357394,-23.5,-11.199999809265137,-30.200000762939453,39.87141875923795,,b152918cb29dbf4
1508506357585,-24.5,-8.300000190734863,-31.600000381469727,40.83748274500085,,b152918cb29dbf4
1508506358384,-18.200000762939453,-15.600000381469727,-30.100000381469727,38.47869600683889,,b152918cb29dbf4
1508506358606,-18.600000381469727,-13.800000190734863,-31.600000381469727,39.17856584884976,,b152918cb29dbf4
1508506359413,-21.5,-16.100000381469727,-27.30000114440918,38.29817307699097,,b152918cb29dbf4
1508506359665,-19.100000381469727,-14.40000057220459,-31.700000762939453,39.712216251789656,,b152918cb29dbf4
1508506360386,-18.399999618530273,-11.90000057220459,-30.100000381469727,37.23143863985596,,b152918cb29dbf4
1508506361375,-18.700000762939453,-11.199999809265137,-30,37.08274568813636,,b152918cb29dbf4
1508506361573,-21.899999618530273,-10.699999809265137,-28.80000114440918,37.72982966688154,,b152918cb29dbf4
1508506362464,-23.5,-7.099999904632568,-27.30000114440918,36.71443910656831,,b152918cb29dbf4
1508506363024,-20.5,7.099999904632568,-32,38.660832891279156,,b152918cb29dbf4
