timestamp, light1, light2, light3, UUID 
1493663059667,28,11020,28,,903d185fccf839df
1493663060028,31,11359,31,,903d185fccf839df
1493663060388,25,11607,25,,903d185fccf839df
1493663060576,24,11820,24,,903d185fccf839df
1493663060576,24,11820,24,,903d185fccf839df
1493663060576,24,11820,24,,903d185fccf839df
1493663060748,21,11736,21,,903d185fccf839df
1493663060748,21,11736,21,,903d185fccf839df
1493663060748,21,11736,21,,903d185fccf839df
1493663060937,22,12071,22,,903d185fccf839df
1493663060937,22,12071,22,,903d185fccf839df
1493663060937,22,12071,22,,903d185fccf839df
1493663061114,22,12071,22,,903d185fccf839df
1493663061114,22,12071,22,,903d185fccf839df
1493663061114,22,12071,22,,903d185fccf839df
1493663061289,24,12127,24,,903d185fccf839df
1493663061289,24,12127,24,,903d185fccf839df
1493663061289,24,12127,24,,903d185fccf839df
1493663061468,23,12406,23,,903d185fccf839df
1493663061468,23,12406,23,,903d185fccf839df
1493663061468,23,12406,23,,903d185fccf839df
1493663061468,23,12406,23,,903d185fccf839df
1493663061650,23,12406,23,,903d185fccf839df
1493663061650,23,12406,23,,903d185fccf839df
1493663061650,23,12406,23,,903d185fccf839df
1493663061650,23,12406,23,,903d185fccf839df
1493663061832,21,11736,21,,903d185fccf839df
1493663061832,21,11736,21,,903d185fccf839df
1493663061832,21,11736,21,,903d185fccf839df
1493663061832,21,11736,21,,903d185fccf839df
1493663062008,21,11736,21,,903d185fccf839df
1493663062008,21,11736,21,,903d185fccf839df
1493663062008,21,11736,21,,903d185fccf839df
1493663062008,21,11736,21,,903d185fccf839df
1493663062192,20,12373,20,,903d185fccf839df
1493663062192,20,12373,20,,903d185fccf839df
1493663062192,20,12373,20,,903d185fccf839df
1493663062367,20,12373,20,,903d185fccf839df
1493663062367,20,12373,20,,903d185fccf839df
1493663062367,20,12373,20,,903d185fccf839df
1493663062367,20,12373,20,,903d185fccf839df
1493663062550,21,11400,21,,903d185fccf839df
1493663062550,21,11400,21,,903d185fccf839df
1493663062550,21,11400,21,,903d185fccf839df
1493663062730,20,12004,20,,903d185fccf839df
1493663062730,20,12004,20,,903d185fccf839df
1493663062730,20,12004,20,,903d185fccf839df
1493663062730,20,12004,20,,903d185fccf839df
1493663062907,21,11736,21,,903d185fccf839df
1493663062907,21,11736,21,,903d185fccf839df
1493663062907,21,11736,21,,903d185fccf839df
1493663063088,23,11205,23,,903d185fccf839df
1493663063088,23,11205,23,,903d185fccf839df
1493663063088,23,11205,23,,903d185fccf839df
1493663063088,23,11205,23,,903d185fccf839df
1493663063271,22,12071,22,,903d185fccf839df
1493663063271,22,12071,22,,903d185fccf839df
1493663063271,22,12071,22,,903d185fccf839df
