timestamp, latitude, longitude, accuracy, UUID 
1491900856999,48.1487824,11.5667752,12,,903d185fccf839df
1491900857999,48.1487824,11.5667752,12,,903d185fccf839df
1491900858999,48.1488724,11.5671245,8,,903d185fccf839df
1491900859999,48.1488724,11.5671245,8,,903d185fccf839df
1491900860999,48.1488724,11.5671245,8,,903d185fccf839df
1491900861999,48.1488724,11.5671245,8,,903d185fccf839df
1491900862999,48.1488724,11.5671245,12,,903d185fccf839df
1491900863999,48.1488724,11.5671245,12,,903d185fccf839df
1491900864999,48.1488724,11.5671245,12,,903d185fccf839df
1491900865999,48.1488724,11.5671245,12,,903d185fccf839df
1491900866999,48.1488724,11.5671245,8,,903d185fccf839df
1491900867999,48.1488724,11.5671245,12,,903d185fccf839df
1491900868999,48.148826,11.5669916,12,,903d185fccf839df
1491900869999,48.1488096,11.5669442,16,,903d185fccf839df
1491900870999,48.148787,11.5669331,24,,903d185fccf839df
1491900871999,48.1487723,11.5669154,24,,903d185fccf839df
1491900872999,48.1487526,11.5668965,32,,903d185fccf839df
1491900873999,48.1487526,11.5668965,32,,903d185fccf839df
1491900874999,48.1487526,11.5668965,24,,903d185fccf839df
1491900882499,48.1488511,11.5680598,20.065000534057617,,903d185fccf839df
1491900887486,48.148841,11.5681586,19.952999114990234,,903d185fccf839df
1491900892491,48.1488511,11.5680598,20.395999908447266,,903d185fccf839df
1491900897495,48.1487001,11.5679976,21.89900016784668,,903d185fccf839df
1491900902525,48.1486247,11.5679665,20.420000076293945,,903d185fccf839df
1491900907500,48.1485492,11.5679354,19.615999221801758,,903d185fccf839df
1491900912499,48.1484838,11.5678055,24.735000610351562,,903d185fccf839df
1491900917597,48.1483882,11.5679721,25.04599952697754,,903d185fccf839df
1491900922598,48.1486347,11.5678677,22.21500015258789,,903d185fccf839df
1491900927647,48.1483982,11.5678733,23.888999938964844,,903d185fccf839df
1491900932871,48.1481718,11.56778,21.64299964904785,,903d185fccf839df
1491900937869,48.1481718,11.56778,20.597000122070312,,903d185fccf839df
1491900942844,48.1484083,11.5677744,22.915000915527344,,903d185fccf839df
1491900947841,48.1482146,11.5677461,22.10099983215332,,903d185fccf839df
1491900952924,48.1484384,11.5674779,24.315000534057617,,903d185fccf839df
1491900957961,48.1483202,11.5674807,23.17799949645996,,903d185fccf839df
1491900962802,48.1481247,11.5675759,87.5999984741211,,903d185fccf839df
1491900964151,48.1483328,11.5677433,50,,903d185fccf839df
1491900968614,48.1485592,11.5678366,50,,903d185fccf839df
1491900975172,48.148602,11.5678027,24.69499969482422,,903d185fccf839df
1491900983902,48.1486347,11.5678677,21.68600082397461,,903d185fccf839df
1491901016873,48.1491329,11.5683818,19.652000427246094,,903d185fccf839df
1491901022880,48.1492939,11.5683452,21.201000213623047,,903d185fccf839df
1491901024921,48.1492839,11.568444,19.76300048828125,,903d185fccf839df
1491901029884,48.1492839,11.568444,19.614999771118164,,903d185fccf839df
1491901034658,48.1492839,11.568444,19.652999877929688,,903d185fccf839df
1491901039656,48.1492839,11.568444,19.64900016784668,,903d185fccf839df
1491901043167,48.1492939,11.5683452,20.804000854492188,,903d185fccf839df
1491901049941,48.1493694,11.5683762,20.334999084472656,,903d185fccf839df
1491901054966,48.1493795,11.5682774,20.143999099731445,,903d185fccf839df
1491901060181,48.1493795,11.5682774,19.57200050354004,,903d185fccf839df
1491901065150,48.1493795,11.5682774,19.555999755859375,,903d185fccf839df
1491901070106,48.1493367,11.5683113,19.954999923706055,,903d185fccf839df
1491901075117,48.1492184,11.5683141,20.658000946044922,,903d185fccf839df
1491901080168,48.1490574,11.5683507,19.704999923706055,,903d185fccf839df
1491901085155,48.1489065,11.5682886,19.614999771118164,,903d185fccf839df
1491901090192,48.1489065,11.5682886,19.65999984741211,,903d185fccf839df
1491901095259,48.1489065,11.5682886,19.673999786376953,,903d185fccf839df
1491901100327,48.1490675,11.5682519,23.18400001525879,,903d185fccf839df
1491901105319,48.1489266,11.5680909,22.320999145507812,,903d185fccf839df
1491901110307,48.1492184,11.5683141,27.641000747680664,,903d185fccf839df
1491901115957,48.1486901,11.5680965,21.312000274658203,,903d185fccf839df
1491901121160,48.1486247,11.5679665,20.60300064086914,,903d185fccf839df
1491901125292,48.14868,11.5681953,21.80299949645996,,903d185fccf839df
1491901130295,48.14868,11.5681953,21.802000045776367,,903d185fccf839df
1491901135333,48.1486247,11.5679665,23.451000213623047,,903d185fccf839df
1491901140374,48.1484083,11.5677744,20.02400016784668,,903d185fccf839df
1491901145430,48.1484083,11.5677744,20.027000427246094,,903d185fccf839df
1491901150410,48.1483001,11.5676784,21.12700080871582,,903d185fccf839df
1491901155488,48.1483001,11.5676784,19.929000854492188,,903d185fccf839df
1491901160567,48.1483001,11.5676784,19.87700080871582,,903d185fccf839df
1491901165612,48.1483001,11.5676784,21.454999923706055,,903d185fccf839df
1491901170639,48.1484083,11.5677744,21.768999099731445,,903d185fccf839df
