timestamp, light1, light2, light3, UUID 
1491900855216,20656,6496,20656,,903d185fccf839df
1491900855216,20656,6496,20656,,903d185fccf839df
1491900855398,20275,6504,20275,,903d185fccf839df
1491900855398,20275,6504,20275,,903d185fccf839df
1491900855580,19894,6512,19894,,903d185fccf839df
1491900855580,19894,6512,19894,,903d185fccf839df
1491900855580,19894,6512,19894,,903d185fccf839df
1491900855758,19189,6544,19189,,903d185fccf839df
1491900855758,19189,6544,19189,,903d185fccf839df
1491900855758,19189,6544,19189,,903d185fccf839df
1491900855934,19767,6521,19767,,903d185fccf839df
1491900855934,19767,6521,19767,,903d185fccf839df
1491900855934,19767,6521,19767,,903d185fccf839df
1491900856114,21544,6473,21544,,903d185fccf839df
1491900856114,21544,6473,21544,,903d185fccf839df
1491900856114,21544,6473,21544,,903d185fccf839df
1491900856114,21544,6473,21544,,903d185fccf839df
1491900856294,21347,6486,21347,,903d185fccf839df
1491900856294,21347,6486,21347,,903d185fccf839df
1491900856474,21177,6480,21177,,903d185fccf839df
1491900856474,21177,6480,21177,,903d185fccf839df
1491900856474,21177,6480,21177,,903d185fccf839df
1491900856654,21615,6469,21615,,903d185fccf839df
1491900856654,21615,6469,21615,,903d185fccf839df
1491900856654,21615,6469,21615,,903d185fccf839df
1491900856654,21615,6469,21615,,903d185fccf839df
1491900856836,23433,6386,23433,,903d185fccf839df
1491900856836,23433,6386,23433,,903d185fccf839df
1491900856836,23433,6386,23433,,903d185fccf839df
1491900856836,23433,6386,23433,,903d185fccf839df
1491900857015,24602,6305,24602,,903d185fccf839df
1491900857015,24602,6305,24602,,903d185fccf839df
1491900857015,24602,6305,24602,,903d185fccf839df
1491900857015,24602,6305,24602,,903d185fccf839df
1491900857195,24391,6314,24391,,903d185fccf839df
1491900857195,24391,6314,24391,,903d185fccf839df
1491900857384,24151,6311,24151,,903d185fccf839df
1491900857384,24151,6311,24151,,903d185fccf839df
1491900857384,24151,6311,24151,,903d185fccf839df
1491900857384,24151,6311,24151,,903d185fccf839df
1491900857554,23530,6339,23530,,903d185fccf839df
1491900857554,23530,6339,23530,,903d185fccf839df
1491900857554,23530,6339,23530,,903d185fccf839df
1491900857554,23530,6339,23530,,903d185fccf839df
1491900857740,22571,6357,22571,,903d185fccf839df
1491900857740,22571,6357,22571,,903d185fccf839df
1491900857740,22571,6357,22571,,903d185fccf839df
1491900857917,22570,6329,22570,,903d185fccf839df
1491900857917,22570,6329,22570,,903d185fccf839df
1491900857917,22570,6329,22570,,903d185fccf839df
1491900857917,22570,6329,22570,,903d185fccf839df
1491900858094,21725,6387,21725,,903d185fccf839df
1491900858094,21725,6387,21725,,903d185fccf839df
1491900858094,21725,6387,21725,,903d185fccf839df
1491900858274,21301,6379,21301,,903d185fccf839df
1491900858274,21301,6379,21301,,903d185fccf839df
1491900858274,21301,6379,21301,,903d185fccf839df
1491900858457,21794,6324,21794,,903d185fccf839df
1491900858457,21794,6324,21794,,903d185fccf839df
1491900858457,21794,6324,21794,,903d185fccf839df
1491900858457,21794,6324,21794,,903d185fccf839df
1491900858644,21399,6328,21399,,903d185fccf839df
1491900858644,21399,6328,21399,,903d185fccf839df
1491900858644,21399,6328,21399,,903d185fccf839df
1491900858815,20610,6385,20610,,903d185fccf839df
1491900858815,20610,6385,20610,,903d185fccf839df
1491900858815,20610,6385,20610,,903d185fccf839df
1491900858815,20610,6385,20610,,903d185fccf839df
1491900858996,20300,6387,20300,,903d185fccf839df
1491900858996,20300,6387,20300,,903d185fccf839df
1491900859178,20989,6318,20989,,903d185fccf839df
1491900859178,20989,6318,20989,,903d185fccf839df
1491900859356,20173,6395,20173,,903d185fccf839df
1491900859356,20173,6395,20173,,903d185fccf839df
1491900859356,20173,6395,20173,,903d185fccf839df
1491900859356,20173,6395,20173,,903d185fccf839df
1491900859534,20382,6319,20382,,903d185fccf839df
1491900859534,20382,6319,20382,,903d185fccf839df
1491900859534,20382,6319,20382,,903d185fccf839df
1491900859534,20382,6319,20382,,903d185fccf839df
1491900859715,20171,6330,20171,,903d185fccf839df
1491900859715,20171,6330,20171,,903d185fccf839df
1491900859715,20171,6330,20171,,903d185fccf839df
1491900859715,20171,6330,20171,,903d185fccf839df
1491900859896,19860,6331,19860,,903d185fccf839df
1491900859896,19860,6331,19860,,903d185fccf839df
1491900859896,19860,6331,19860,,903d185fccf839df
1491900859896,19860,6331,19860,,903d185fccf839df
1491900860074,19732,6306,19732,,903d185fccf839df
1491900860074,19732,6306,19732,,903d185fccf839df
1491900860254,19407,6273,19407,,903d185fccf839df
1491900860254,19407,6273,19407,,903d185fccf839df
1491900860254,19407,6273,19407,,903d185fccf839df
1491900860254,19407,6273,19407,,903d185fccf839df
1491900860439,18999,6329,18999,,903d185fccf839df
1491900860439,18999,6329,18999,,903d185fccf839df
1491900860439,18999,6329,18999,,903d185fccf839df
1491900860439,18999,6329,18999,,903d185fccf839df
1491900860614,19097,6306,19097,,903d185fccf839df
1491900860614,19097,6306,19097,,903d185fccf839df
1491900860614,19097,6306,19097,,903d185fccf839df
1491900860614,19097,6306,19097,,903d185fccf839df
1491900860794,18900,6318,18900,,903d185fccf839df
1491900860794,18900,6318,18900,,903d185fccf839df
1491900860794,18900,6318,18900,,903d185fccf839df
1491900860794,18900,6318,18900,,903d185fccf839df
1491900860976,18349,6315,18349,,903d185fccf839df
1491900860976,18349,6315,18349,,903d185fccf839df
1491900860976,18349,6315,18349,,903d185fccf839df
1491900861154,17827,6291,17827,,903d185fccf839df
1491900861154,17827,6291,17827,,903d185fccf839df
1491900861154,17827,6291,17827,,903d185fccf839df
1491900861334,17418,6316,17418,,903d185fccf839df
1491900861515,16770,6378,16770,,903d185fccf839df
1491900861515,16770,6378,16770,,903d185fccf839df
1491900861515,16770,6378,16770,,903d185fccf839df
1491900861515,16770,6378,16770,,903d185fccf839df
1491900861695,15977,6292,15977,,903d185fccf839df
1491900861695,15977,6292,15977,,903d185fccf839df
1491900861877,15230,6302,15230,,903d185fccf839df
1491900861877,15230,6302,15230,,903d185fccf839df
1491900861877,15230,6302,15230,,903d185fccf839df
1491900861877,15230,6302,15230,,903d185fccf839df
1491900861877,15230,6302,15230,,903d185fccf839df
1491900862055,14947,6278,14947,,903d185fccf839df
1491900862055,14947,6278,14947,,903d185fccf839df
1491900862055,14947,6278,14947,,903d185fccf839df
1491900862235,14777,6268,14777,,903d185fccf839df
1491900862235,14777,6268,14777,,903d185fccf839df
1491900862235,14777,6268,14777,,903d185fccf839df
1491900862235,14777,6268,14777,,903d185fccf839df
1491900862414,14847,6221,14847,,903d185fccf839df
1491900862414,14847,6221,14847,,903d185fccf839df
1491900862598,14565,6239,14565,,903d185fccf839df
1491900862598,14565,6239,14565,,903d185fccf839df
1491900862598,14565,6239,14565,,903d185fccf839df
1491900862598,14565,6239,14565,,903d185fccf839df
1491900862776,14565,6239,14565,,903d185fccf839df
1491900862776,14565,6239,14565,,903d185fccf839df
1491900862776,14565,6239,14565,,903d185fccf839df
1491900862959,14536,6220,14536,,903d185fccf839df
1491900862959,14536,6220,14536,,903d185fccf839df
1491900862959,14536,6220,14536,,903d185fccf839df
1491900862959,14536,6220,14536,,903d185fccf839df
1491900863150,14226,6218,14226,,903d185fccf839df
1491900863150,14226,6218,14226,,903d185fccf839df
1491900863150,14226,6218,14226,,903d185fccf839df
1491900863314,13773,6181,13773,,903d185fccf839df
1491900863314,13773,6181,13773,,903d185fccf839df
1491900863314,13773,6181,13773,,903d185fccf839df
1491900863314,13773,6181,13773,,903d185fccf839df
1491900863494,14183,6198,14183,,903d185fccf839df
1491900863494,14183,6198,14183,,903d185fccf839df
1491900863494,14183,6198,14183,,903d185fccf839df
1491900863675,13773,6181,13773,,903d185fccf839df
1491900863675,13773,6181,13773,,903d185fccf839df
1491900863675,13773,6181,13773,,903d185fccf839df
1491900863675,13773,6181,13773,,903d185fccf839df
1491900863854,13492,6199,13492,,903d185fccf839df
1491900863854,13492,6199,13492,,903d185fccf839df
1491900863854,13492,6199,13492,,903d185fccf839df
1491900863854,13492,6199,13492,,903d185fccf839df
1491900864036,12885,6244,12885,,903d185fccf839df
1491900864036,12885,6244,12885,,903d185fccf839df
1491900864036,12885,6244,12885,,903d185fccf839df
1491900864220,12364,6259,12364,,903d185fccf839df
1491900864220,12364,6259,12364,,903d185fccf839df
1491900864220,12364,6259,12364,,903d185fccf839df
1491900864394,11108,6288,11108,,903d185fccf839df
1491900864394,11108,6288,11108,,903d185fccf839df
1491900864575,11037,6294,11037,,903d185fccf839df
1491900864575,11037,6294,11037,,903d185fccf839df
1491900864575,11037,6294,11037,,903d185fccf839df
1491900864575,11037,6294,11037,,903d185fccf839df
1491900864754,10021,6273,10021,,903d185fccf839df
1491900864754,10021,6273,10021,,903d185fccf839df
