timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1491900855369,-17,-23.600000381469727,0.5,29.089689272535317,,903d185fccf839df
1491900855538,-17.5,-23.80000114440918,0.6000000238418579,29.547420589467155,,903d185fccf839df
1491900855648,-17.700000762939453,-24.200000762939453,0.30000001192092896,29.98366311367765,,903d185fccf839df
1491900855798,-18.399999618530273,-25.30000114440918,-1.3000000715255737,31.310383032241052,,903d185fccf839df
1491900855901,-19,-25.100000381469727,-1.5,31.51602782340479,,903d185fccf839df
1491900856002,-18.899999618530273,-23.80000114440918,-0.5,30.395724287005248,,903d185fccf839df
1491900856118,-18.30000114440918,-21.5,0.30000001192092896,28.235262442017284,,903d185fccf839df
1491900856208,-17.700000762939453,-20.600000381469727,0.20000000298023224,27.160450197566163,,903d185fccf839df
1491900856298,-17.30000114440918,-20.399999618530273,0.10000000149011612,26.748084271733163,,903d185fccf839df
1491900856398,-17,-20.600000381469727,0,26.708800345001283,,903d185fccf839df
1491900856538,-16.600000381469727,-21.100000381469727,0.4000000059604645,26.850140028360652,,903d185fccf839df
1491900856600,-16.30000114440918,-21.100000381469727,0.5,26.66739685330461,,903d185fccf839df
1491900856729,-16.200000762939453,-20.700000762939453,0.5,26.290303416106433,,903d185fccf839df
1491900856828,-16.600000381469727,-19.30000114440918,0.4000000059604645,25.459969537284405,,903d185fccf839df
1491900856888,-17.100000381469727,-17.899999618530273,0.10000000149011612,24.75540298212389,,903d185fccf839df
1491900856968,-17.600000381469727,-16.100000381469727,0.10000000149011612,23.853302323556566,,903d185fccf839df
1491900857069,-18,-14.300000190734863,-0.5,22.994347250860677,,903d185fccf839df
1491900857118,-17.899999618530273,-13.699999809265137,-0.800000011920929,22.555264582186748,,903d185fccf839df
1491900857230,-17.899999618530273,-13.300000190734863,-1.3000000715255737,22.33808346100017,,903d185fccf839df
1491900857358,-18,-13.199999809265137,-1.399999976158142,22.36515124369412,,903d185fccf839df
1491900857448,-18,-13.600000381469727,-1.8000000715255737,22.63183613765844,,903d185fccf839df
1491900857538,-18.100000381469727,-13.699999809265137,-2.1000001430511475,22.797149029052825,,903d185fccf839df
1491900857588,-18.100000381469727,-14,-2.299999952316284,22.997826328394467,,903d185fccf839df
1491900857709,-18.399999618530273,-14.40000057220459,-2.6000001430511475,23.509147456542387,,903d185fccf839df
1491900857748,-18.600000381469727,-14.40000057220459,-2.6000001430511475,23.666010194950815,,903d185fccf839df
1491900857798,-18.80000114440918,-14.40000057220459,-2.6000001430511475,23.82351883189895,,903d185fccf839df
1491900857908,-19.399999618530273,-14.100000381469727,-2.9000000953674316,24.157400501089345,,903d185fccf839df
1491900857968,-19.80000114440918,-13.90000057220459,-3.1000001430511475,24.38975321001645,,903d185fccf839df
1491900858040,-19.700000762939453,-14.199999809265137,-3.299999952316284,24.50755038013317,,903d185fccf839df
1491900858138,-19.399999618530273,-15.300000190734863,-3.700000047683716,24.982794028737054,,903d185fccf839df
1491900858218,-18.80000114440918,-16.600000381469727,-3.799999952316284,25.36611972884228,,903d185fccf839df
1491900858308,-18.30000114440918,-17.80000114440918,-4.099999904632568,25.85614185232257,,903d185fccf839df
1491900858358,-18.100000381469727,-18.30000114440918,-4.5,26.12948642884426,,903d185fccf839df
1491900858499,-18.30000114440918,-18.200000762939453,-5.200000286102295,26.32812315264506,,903d185fccf839df
1491900858568,-18.700000762939453,-18.100000381469727,-5.200000286102295,26.539405638615968,,903d185fccf839df
1491900858629,-19.30000114440918,-17.80000114440918,-5.200000286102295,26.76509071435918,,903d185fccf839df
1491900858728,-20.5,-17.600000381469727,-4.300000190734863,27.358728249757732,,903d185fccf839df
1491900858818,-21.30000114440918,-17.700000762939453,-3.200000047683716,27.8786675302794,,903d185fccf839df
1491900858878,-21.80000114440918,-17.80000114440918,-2.6000001430511475,28.26375910650809,,903d185fccf839df
1491900858948,-22.200000762939453,-18.100000381469727,-1.899999976158142,28.706446011648765,,903d185fccf839df
1491900859049,-22,-17.899999618530273,-1.7000000476837158,28.41302471137903,,903d185fccf839df
