timestamp, light1, light2, light3, UUID 
1491901470823,16741,6490,16741,,903d185fccf839df
1491901470823,16741,6490,16741,,903d185fccf839df
1491901470988,17706,6461,17706,,903d185fccf839df
1491901470988,17706,6461,17706,,903d185fccf839df
1491901470988,17706,6461,17706,,903d185fccf839df
1491901470988,17706,6461,17706,,903d185fccf839df
1491901471170,18111,6437,18111,,903d185fccf839df
1491901471170,18111,6437,18111,,903d185fccf839df
1491901471170,18111,6437,18111,,903d185fccf839df
1491901471363,19103,6376,19103,,903d185fccf839df
1491901471363,19103,6376,19103,,903d185fccf839df
1491901471530,19386,6365,19386,,903d185fccf839df
1491901471530,19386,6365,19386,,903d185fccf839df
1491901471530,19386,6365,19386,,903d185fccf839df
1491901471530,19386,6365,19386,,903d185fccf839df
1491901471709,18728,6400,18728,,903d185fccf839df
1491901471709,18728,6400,18728,,903d185fccf839df
1491901471709,18728,6400,18728,,903d185fccf839df
1491901471709,18728,6400,18728,,903d185fccf839df
1491901471889,18497,6419,18497,,903d185fccf839df
1491901471889,18497,6419,18497,,903d185fccf839df
1491901471889,18497,6419,18497,,903d185fccf839df
1491901471889,18497,6419,18497,,903d185fccf839df
1491901472076,19019,6396,19019,,903d185fccf839df
1491901472076,19019,6396,19019,,903d185fccf839df
1491901472076,19019,6396,19019,,903d185fccf839df
1491901472076,19019,6396,19019,,903d185fccf839df
1491901472249,19027,6398,19027,,903d185fccf839df
1491901472249,19027,6398,19027,,903d185fccf839df
1491901472249,19027,6398,19027,,903d185fccf839df
1491901472249,19027,6398,19027,,903d185fccf839df
1491901472432,18179,6436,18179,,903d185fccf839df
1491901472432,18179,6436,18179,,903d185fccf839df
1491901472610,18299,6434,18299,,903d185fccf839df
1491901472610,18299,6434,18299,,903d185fccf839df
1491901472610,18299,6434,18299,,903d185fccf839df
1491901472610,18299,6434,18299,,903d185fccf839df
1491901472788,18916,6411,18916,,903d185fccf839df
1491901472788,18916,6411,18916,,903d185fccf839df
1491901472788,18916,6411,18916,,903d185fccf839df
1491901472788,18916,6411,18916,,903d185fccf839df
1491901472969,18692,6421,18692,,903d185fccf839df
1491901472969,18692,6421,18692,,903d185fccf839df
1491901472969,18692,6421,18692,,903d185fccf839df
1491901472969,18692,6421,18692,,903d185fccf839df
1491901473149,19237,6394,19237,,903d185fccf839df
1491901473149,19237,6394,19237,,903d185fccf839df
1491901473149,19237,6394,19237,,903d185fccf839df
1491901473149,19237,6394,19237,,903d185fccf839df
1491901473328,19266,6388,19266,,903d185fccf839df
1491901473328,19266,6388,19266,,903d185fccf839df
1491901473508,20580,6327,20580,,903d185fccf839df
1491901473508,20580,6327,20580,,903d185fccf839df
1491901473508,20580,6327,20580,,903d185fccf839df
1491901473508,20580,6327,20580,,903d185fccf839df
1491901473690,20819,6311,20819,,903d185fccf839df
1491901473690,20819,6311,20819,,903d185fccf839df
1491901473690,20819,6311,20819,,903d185fccf839df
1491901473690,20819,6311,20819,,903d185fccf839df
1491901473869,20918,6291,20918,,903d185fccf839df
1491901473869,20918,6291,20918,,903d185fccf839df
1491901473869,20918,6291,20918,,903d185fccf839df
1491901473869,20918,6291,20918,,903d185fccf839df
1491901474050,20945,6274,20945,,903d185fccf839df
1491901474050,20945,6274,20945,,903d185fccf839df
1491901474050,20945,6274,20945,,903d185fccf839df
1491901474050,20945,6274,20945,,903d185fccf839df
1491901474228,20508,6281,20508,,903d185fccf839df
1491901474228,20508,6281,20508,,903d185fccf839df
1491901474228,20508,6281,20508,,903d185fccf839df
1491901474228,20508,6281,20508,,903d185fccf839df
1491901474409,20141,6284,20141,,903d185fccf839df
1491901474409,20141,6284,20141,,903d185fccf839df
1491901474590,19379,6291,19379,,903d185fccf839df
1491901474590,19379,6291,19379,,903d185fccf839df
1491901474590,19379,6291,19379,,903d185fccf839df
1491901474590,19379,6291,19379,,903d185fccf839df
1491901474777,19309,6295,19309,,903d185fccf839df
1491901474777,19309,6295,19309,,903d185fccf839df
1491901474777,19309,6295,19309,,903d185fccf839df
1491901474777,19309,6295,19309,,903d185fccf839df
1491901474952,18279,6319,18279,,903d185fccf839df
1491901474952,18279,6319,18279,,903d185fccf839df
1491901474952,18279,6319,18279,,903d185fccf839df
1491901474952,18279,6319,18279,,903d185fccf839df
1491901475128,18689,6330,18689,,903d185fccf839df
1491901475128,18689,6330,18689,,903d185fccf839df
1491901475309,18660,6314,18660,,903d185fccf839df
1491901475309,18660,6314,18660,,903d185fccf839df
1491901475309,18660,6314,18660,,903d185fccf839df
1491901475309,18660,6314,18660,,903d185fccf839df
1491901475489,18279,6319,18279,,903d185fccf839df
1491901475489,18279,6319,18279,,903d185fccf839df
1491901475489,18279,6319,18279,,903d185fccf839df
1491901475489,18279,6319,18279,,903d185fccf839df
1491901475669,18250,6303,18250,,903d185fccf839df
1491901475669,18250,6303,18250,,903d185fccf839df
1491901475669,18250,6303,18250,,903d185fccf839df
1491901475669,18250,6303,18250,,903d185fccf839df
1491901475849,18039,6315,18039,,903d185fccf839df
1491901475849,18039,6315,18039,,903d185fccf839df
1491901475849,18039,6315,18039,,903d185fccf839df
1491901475849,18039,6315,18039,,903d185fccf839df
1491901476028,18856,6269,18856,,903d185fccf839df
1491901476028,18856,6269,18856,,903d185fccf839df
1491901476208,18137,6291,18137,,903d185fccf839df
1491901476208,18137,6291,18137,,903d185fccf839df
1491901476208,18137,6291,18137,,903d185fccf839df
1491901476208,18137,6291,18137,,903d185fccf839df
1491901476389,17756,6296,17756,,903d185fccf839df
1491901476389,17756,6296,17756,,903d185fccf839df
1491901476389,17756,6296,17756,,903d185fccf839df
1491901476389,17756,6296,17756,,903d185fccf839df
1491901476569,17911,6288,17911,,903d185fccf839df
1491901476569,17911,6288,17911,,903d185fccf839df
1491901476569,17911,6288,17911,,903d185fccf839df
1491901476748,17150,6333,17150,,903d185fccf839df
1491901476748,17150,6333,17150,,903d185fccf839df
1491901476748,17150,6333,17150,,903d185fccf839df
1491901476748,17150,6333,17150,,903d185fccf839df
1491901476748,17150,6333,17150,,903d185fccf839df
1491901476929,16768,6300,16768,,903d185fccf839df
1491901476929,16768,6300,16768,,903d185fccf839df
1491901476929,16768,6300,16768,,903d185fccf839df
1491901477108,16049,6328,16049,,903d185fccf839df
1491901477108,16049,6328,16049,,903d185fccf839df
1491901477108,16049,6328,16049,,903d185fccf839df
1491901477291,16104,6283,16104,,903d185fccf839df
1491901477291,16104,6283,16104,,903d185fccf839df
1491901477291,16104,6283,16104,,903d185fccf839df
1491901477291,16104,6283,16104,,903d185fccf839df
1491901477468,16937,6271,16937,,903d185fccf839df
1491901477468,16937,6271,16937,,903d185fccf839df
1491901477468,16937,6271,16937,,903d185fccf839df
1491901477468,16937,6271,16937,,903d185fccf839df
1491901477649,16020,6310,16020,,903d185fccf839df
1491901477649,16020,6310,16020,,903d185fccf839df
1491901477649,16020,6310,16020,,903d185fccf839df
1491901477828,16527,6257,16527,,903d185fccf839df
1491901477828,16527,6257,16527,,903d185fccf839df
1491901477828,16527,6257,16527,,903d185fccf839df
1491901477828,16527,6257,16527,,903d185fccf839df
1491901478008,16964,6213,16964,,903d185fccf839df
1491901478008,16964,6213,16964,,903d185fccf839df
1491901478008,16964,6213,16964,,903d185fccf839df
1491901478188,16724,6245,16724,,903d185fccf839df
1491901478188,16724,6245,16724,,903d185fccf839df
1491901478188,16724,6245,16724,,903d185fccf839df
1491901478188,16724,6245,16724,,903d185fccf839df
1491901478369,15737,6288,15737,,903d185fccf839df
1491901478369,15737,6288,15737,,903d185fccf839df
1491901478369,15737,6288,15737,,903d185fccf839df
1491901478549,16075,6226,16075,,903d185fccf839df
1491901478549,16075,6226,16075,,903d185fccf839df
1491901478549,16075,6226,16075,,903d185fccf839df
1491901478729,16144,6183,16144,,903d185fccf839df
1491901478729,16144,6183,16144,,903d185fccf839df
1491901478729,16144,6183,16144,,903d185fccf839df
1491901478729,16144,6183,16144,,903d185fccf839df
1491901478729,16144,6183,16144,,903d185fccf839df
1491901478910,15356,6292,15356,,903d185fccf839df
1491901478910,15356,6292,15356,,903d185fccf839df
1491901478910,15356,6292,15356,,903d185fccf839df
1491901479091,15271,6278,15271,,903d185fccf839df
1491901479091,15271,6278,15271,,903d185fccf839df
1491901479091,15271,6278,15271,,903d185fccf839df
1491901479091,15271,6278,15271,,903d185fccf839df
1491901479269,15270,6237,15270,,903d185fccf839df
1491901479269,15270,6237,15270,,903d185fccf839df
1491901479269,15270,6237,15270,,903d185fccf839df
1491901479269,15270,6237,15270,,903d185fccf839df
1491901479452,15284,6214,15284,,903d185fccf839df
1491901479452,15284,6214,15284,,903d185fccf839df
1491901479452,15284,6214,15284,,903d185fccf839df
1491901479629,15058,6208,15058,,903d185fccf839df
1491901479629,15058,6208,15058,,903d185fccf839df
1491901479629,15058,6208,15058,,903d185fccf839df
1491901479629,15058,6208,15058,,903d185fccf839df
1491901479810,14295,6170,14295,,903d185fccf839df
1491901479810,14295,6170,14295,,903d185fccf839df
1491901479810,14295,6170,14295,,903d185fccf839df
1491901479989,13363,6116,13363,,903d185fccf839df
1491901479989,13363,6116,13363,,903d185fccf839df
1491901479989,13363,6116,13363,,903d185fccf839df
1491901479989,13363,6116,13363,,903d185fccf839df
1491901480169,13264,6145,13264,,903d185fccf839df
1491901480169,13264,6145,13264,,903d185fccf839df
1491901480169,13264,6145,13264,,903d185fccf839df
1491901480169,13264,6145,13264,,903d185fccf839df
1491901480349,13067,6159,13067,,903d185fccf839df
1491901480349,13067,6159,13067,,903d185fccf839df
1491901480349,13067,6159,13067,,903d185fccf839df
1491901480349,13067,6159,13067,,903d185fccf839df
1491901480543,13194,6150,13194,,903d185fccf839df
1491901480543,13194,6150,13194,,903d185fccf839df
1491901480712,13264,6145,13264,,903d185fccf839df
1491901480712,13264,6145,13264,,903d185fccf839df
1491901480712,13264,6145,13264,,903d185fccf839df
1491901480712,13264,6145,13264,,903d185fccf839df
1491901480889,12954,6142,12954,,903d185fccf839df
1491901480889,12954,6142,12954,,903d185fccf839df
1491901480889,12954,6142,12954,,903d185fccf839df
1491901480889,12954,6142,12954,,903d185fccf839df
1491901481070,12530,6121,12530,,903d185fccf839df
1491901481070,12530,6121,12530,,903d185fccf839df
1491901481070,12530,6121,12530,,903d185fccf839df
1491901481070,12530,6121,12530,,903d185fccf839df
1491901481253,12601,6116,12601,,903d185fccf839df
1491901481253,12601,6116,12601,,903d185fccf839df
1491901481253,12601,6116,12601,,903d185fccf839df
1491901481253,12601,6116,12601,,903d185fccf839df
1491901481428,13292,6120,13292,,903d185fccf839df
1491901481428,13292,6120,13292,,903d185fccf839df
1491901481608,12925,6120,12925,,903d185fccf839df
1491901481608,12925,6120,12925,,903d185fccf839df
1491901481608,12925,6120,12925,,903d185fccf839df
1491901481608,12925,6120,12925,,903d185fccf839df
