timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1496199651665,30,-17,-32.20000076293945,47.17880973372076,,903d185fccf839df
1496199655144,23.5,-15,-36.79999923706055,46.168062448345985,,903d185fccf839df
1496199655235,23.200000762939453,-14.90000057220459,-37.60000228881836,46.62628221154989,,903d185fccf839df
1496199655543,23.600000381469727,-15.5,-38.5,47.74369091275471,,903d185fccf839df
1496199655593,23.700000762939453,-16.100000381469727,-38.900001525878906,48.31262949226663,,903d185fccf839df
1496199655656,23.5,-17.100000381469727,-39.5,49.03988176639611,,903d185fccf839df
1496199655689,23.30000114440918,-17.399999618530273,-39.70000076293945,49.21117904320385,,903d185fccf839df
1496199655724,22.80000114440918,-17.80000114440918,-40.29999923706055,49.60614900928362,,903d185fccf839df
1496199655793,21.5,-18.399999618530273,-40.79999923706055,49.653296870769005,,903d185fccf839df
1496199655843,20.600000381469727,-18.30000114440918,-40.79999923706055,49.233016905459706,,903d185fccf839df
1496199655897,19.899999618530273,-18.200000762939453,-40.60000228881836,48.74023214442241,,903d185fccf839df
1496199655913,19.700000762939453,-18,-40.29999923706055,48.334045895991174,,903d185fccf839df
1496199655953,19.30000114440918,-17.5,-39.70000076293945,47.48505174431377,,903d185fccf839df
1496199656005,19.100000381469727,-17.100000381469727,-39.10000228881836,46.75500200408876,,903d185fccf839df
1496199656043,19.100000381469727,-16.600000381469727,-38.400001525878906,45.98836901031081,,903d185fccf839df
1496199656076,19.200000762939453,-16.30000114440918,-37.900001525878906,45.50538653673235,,903d185fccf839df
1496199656094,19.30000114440918,-16.100000381469727,-37.70000076293945,45.309933925185625,,903d185fccf839df
1496199656194,20.5,-15.5,-37.29999923706055,45.296687704424784,,903d185fccf839df
1496199656423,22.5,-14.40000057220459,-35.5,44.428144411725555,,903d185fccf839df
1496199656454,22.399999618530273,-14.300000190734863,-35.29999923706055,44.18529111097406,,903d185fccf839df
1496199656507,22.30000114440918,-13.800000190734863,-35.29999923706055,43.97522037834738,,903d185fccf839df
1496199656614,21.80000114440918,-12.699999809265137,-35.60000228881836,43.63358972142378,,903d185fccf839df
1496199656673,21.399999618530273,-11.90000057220459,-36,43.53814427974875,,903d185fccf839df
1496199656704,21.200000762939453,-11.40000057220459,-36.20000076293945,43.47229121117743,,903d185fccf839df
1496199656818,20.5,-10.300000190734863,-36.79999923706055,43.365654545984434,,903d185fccf839df
1496199656954,19.100000381469727,-9.600000381469727,-36.900001525878906,42.64481374282406,,903d185fccf839df
1496199656993,18.700000762939453,-9.5,-36.900001525878906,42.444671519295085,,903d185fccf839df
1496199657067,18,-9.199999809265137,-37,42.162068253225534,,903d185fccf839df
1496199657123,17.600000381469727,-8.800000190734863,-37.10000228881836,41.995358891870794,,903d185fccf839df
1496199657163,17.5,-8.699999809265137,-37.400001525878906,42.19834270025245,,903d185fccf839df
1496199657203,17.30000114440918,-8.699999809265137,-37.70000076293945,42.38242646353571,,903d185fccf839df
1496199657253,17.600000381469727,-8.90000057220459,-37.79999923706055,42.63578288597272,,903d185fccf839df
1496199657286,17.80000114440918,-9,-37.70000076293945,42.65126101204944,,903d185fccf839df
1496199657325,18,-9.40000057220459,-37.70000076293945,42.821140191525096,,903d185fccf839df
1496199657353,18.200000762939453,-9.699999809265137,-37.60000228881836,42.8846143613975,,903d185fccf839df
1496199657399,18.5,-10,-37.400001525878906,42.906993973429756,,903d185fccf839df
1496199657455,19,-10.100000381469727,-37,42.80198604931347,,903d185fccf839df
1496199657474,19,-10.199999809265137,-36.79999923706055,42.65301845732032,,903d185fccf839df
1496199657528,19.30000114440918,-10.300000190734863,-36.400001525878906,42.46810730706784,,903d185fccf839df
1496199657553,19.399999618530273,-10.300000190734863,-36.29999923706055,42.42805593855436,,903d185fccf839df
