timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1508506891123,-33.400001525878906,-3.700000047683716,-35.20000076293945,48.66508089164455,,b152918cb29dbf4
1508506891175,-33.70000076293945,-3.5,-35.29999923706055,48.92882615899215,,b152918cb29dbf4
1508506891334,-34.70000076293945,-3.299999952316284,-36,50.109680574518464,,b152918cb29dbf4
1508506891484,-34.900001525878906,-3.299999952316284,-37,50.96960006931177,,b152918cb29dbf4
1508506891571,-35,-3.4000000953674316,-37,51.0446863093468,,b152918cb29dbf4
1508506891661,-35.10000228881836,-3.700000047683716,-36.900001525878906,51.061827618994116,,b152918cb29dbf4
1508506891713,-35.70000076293945,-4.400000095367432,-36.70000076293945,51.38813216651756,,b152918cb29dbf4
1508506891774,-36.20000076293945,-5.700000286102295,-36.20000076293945,51.510873887283175,,b152918cb29dbf4
1508506891846,-36.60000228881836,-6.700000286102295,-36.20000076293945,51.91233232426541,,b152918cb29dbf4
1508506891956,-37.10000228881836,-7.400000095367432,-36.20000076293945,52.36038790787166,,b152918cb29dbf4
1508506892029,-37.20000076293945,-8.800000190734863,-35.400001525878906,52.1002902734911,,b152918cb29dbf4
1508506892114,-36.10000228881836,-12.300000190734863,-35.10000228881836,51.83155742845264,,b152918cb29dbf4
1508506892203,-35.400001525878906,-14,-34.70000076293945,51.50971019274545,,b152918cb29dbf4
1508506892264,-35.10000228881836,-15.5,-34.5,51.59951677909336,,b152918cb29dbf4
1508506892295,-34.900001525878906,-16.399999618530273,-34.29999923706055,51.608721293260025,,b152918cb29dbf4
1508506892378,-34.70000076293945,-18.100000381469727,-34,51.84303331943228,,b152918cb29dbf4
1508506892484,-34.70000076293945,-19.200000762939453,-33.5,51.91319776838124,,b152918cb29dbf4
1508506892595,-35,-18.700000762939453,-33.5,51.93207133322321,,b152918cb29dbf4
1508506892660,-35,-18.700000762939453,-33.60000228881836,51.996636795441965,,b152918cb29dbf4
1508506892695,-34.79999923706055,-18.80000114440918,-33.60000228881836,51.89836370281145,,b152918cb29dbf4
1508506892734,-34.60000228881836,-19.200000762939453,-33.5,51.846409431111404,,b152918cb29dbf4
1508506892760,-34.5,-19.600000381469727,-33.400001525878906,51.86492130771876,,b152918cb29dbf4
1508506892836,-34.400001525878906,-20.80000114440918,-32.70000076293945,51.81978571598295,,b152918cb29dbf4
1508506892887,-35.79999923706055,-19.100000381469727,-32.79999923706055,52.17556790754279,,b152918cb29dbf4
1508506892934,-37.5,-13.90000057220459,-35,53.14564913492596,,b152918cb29dbf4
1508506892965,-39,-11.40000057220459,-33.900001525878906,52.9166333936852,,b152918cb29dbf4
1508506893015,-40.60000228881836,-9.699999809265137,-33.5,53.522894408188336,,b152918cb29dbf4
1508506893048,-40.400001525878906,-8,-31.200000762939453,51.668174147404926,,b152918cb29dbf4
1508506893103,-41.10000228881836,-8.300000190734863,-32.29999923706055,52.92816000448118,,b152918cb29dbf4
1508506893163,-40.70000076293945,-8.5,-32.400001525878906,52.71148114159405,,b152918cb29dbf4
1508506893234,-41.400001525878906,-7.300000190734863,-32.29999923706055,53.01452631982603,,b152918cb29dbf4
1508506893283,-41.400001525878906,-7.099999904632568,-32.20000076293945,52.926460024697,,b152918cb29dbf4
1508506893329,-41.20000076293945,-7.300000190734863,-32.29999923706055,52.858490154224775,,b152918cb29dbf4
1508506893384,-40.900001525878906,-8,-32.70000076293945,52.972636518551376,,b152918cb29dbf4
1508506893437,-40.400001525878906,-7.900000095367432,-33,52.75955037808237,,b152918cb29dbf4
1508506893483,-40,-7.400000095367432,-33.60000228881836,52.76097238692967,,b152918cb29dbf4
1508506893555,-39.70000076293945,-6.300000190734863,-34.10000228881836,52.71233509337348,,b152918cb29dbf4
1508506893615,-39.900001525878906,-4.5,-34.29999923706055,52.80861787691771,,b152918cb29dbf4
1508506893654,-39.900001525878906,-3.700000047683716,-34.400001525878906,52.811554036894904,,b152918cb29dbf4
1508506893699,-40.10000228881836,-2.4000000953674316,-34.400001525878906,52.88790258165561,,b152918cb29dbf4
1508506893736,-40.20000076293945,-1.5,-34.400001525878906,52.93061634332605,,b152918cb29dbf4
1508506893761,-40.20000076293945,-1.100000023841858,-34.29999923706055,52.8558419603266,,b152918cb29dbf4
1508506893824,-40.400001525878906,-0.6000000238418579,-34.10000228881836,52.870883640510186,,b152918cb29dbf4
1508506893874,-40.60000228881836,-0.30000001192092896,-33.79999923706055,52.82887629793022,,b152918cb29dbf4
1508506893935,-40.900001525878906,0,-33.5,52.868328710713584,,b152918cb29dbf4
1508506893984,-41.20000076293945,-0.10000000149011612,-33,52.78683608133064,,b152918cb29dbf4
1508506894054,-41.60000228881836,-0.800000011920929,-32.70000076293945,52.91965816000574,,b152918cb29dbf4
1508506894074,-41.70000076293945,-1,-32.5,52.87854020912867,,b152918cb29dbf4
1508506894125,-41.79999923706055,-1.3000000715255737,-32,52.658617437327436,,b152918cb29dbf4
1508506894237,-42.10000228881836,-3.299999952316284,-31.30000114440918,52.56415336630288,,b152918cb29dbf4
1508506894313,-42.10000228881836,-4.900000095367432,-31.399999618530273,52.748271226803084,,b152918cb29dbf4
1508506894375,-42.29999923706055,-5.700000286102295,-31.30000114440918,52.92891442441661,,b152918cb29dbf4
1508506894424,-42.400001525878906,-6.700000286102295,-31.5,53.24378024746443,,b152918cb29dbf4
1508506894444,-42.29999923706055,-7.200000286102295,-31.600000381469727,53.288741010818285,,b152918cb29dbf4
1508506894504,-42.400001525878906,-8.90000057220459,-31.600000381469727,53.623969790648644,,b152918cb29dbf4
1508506894547,-41.70000076293945,-11.300000190734863,-31.30000114440918,53.35044592659377,,b152918cb29dbf4
1508506894583,-40.70000076293945,-13.100000381469727,-30.700000762939453,52.63639595796201,,b152918cb29dbf4
1508506894626,-40,-15.100000381469727,-31.5,53.10612026655332,,b152918cb29dbf4
1508506894684,-40.10000228881836,-15.600000381469727,-31.100000381469727,53.09030203038719,,b152918cb29dbf4
1508506894745,-39.79999923706055,-16.700000762939453,-31.100000381469727,53.19905970610083,,b152918cb29dbf4
1508506894816,-38.900001525878906,-17.899999618530273,-31,52.86416608774174,,b152918cb29dbf4
1508506894864,-38.79999923706055,-18.399999618530273,-31,52.96225013124767,,b152918cb29dbf4
1508506894906,-38.79999923706055,-18.30000114440918,-31,52.92759192115456,,b152918cb29dbf4
1508506894934,-38.79999923706055,-18.200000762939453,-31,52.89309938128227,,b152918cb29dbf4
1508506894965,-38.900001525878906,-18,-30.899999618530273,52.83956926931186,,b152918cb29dbf4
1508506895034,-38.900001525878906,-18.100000381469727,-30.600000381469727,52.69895772464264,,b152918cb29dbf4
1508506895096,-39.10000228881836,-18.200000762939453,-30.200000762939453,52.65064330545749,,b152918cb29dbf4
1508506895133,-39.29999923706055,-18.100000381469727,-29.899999618530273,52.593820500454086,,b152918cb29dbf4
1508506895163,-39.5,-18.100000381469727,-29.600000381469727,52.573948396984875,,b152918cb29dbf4
1508506895224,-39.70000076293945,-18.5,-29.100000381469727,52.58469440292697,,b152918cb29dbf4
1508506895284,-40.29999923706055,-18.80000114440918,-28.600000381469727,52.87239374902514,,b152918cb29dbf4
1508506895314,-40.60000228881836,-18.700000762939453,-28.399999618530273,52.958571166618206,,b152918cb29dbf4
1508506895368,-41.10000228881836,-18.200000762939453,-28,52.95706020758779,,b152918cb29dbf4
1508506895418,-41.60000228881836,-18,-27.700000762939453,53.121090159432555,,b152918cb29dbf4
1508506895454,-41.900001525878906,-18.100000381469727,-27.399999618530273,53.2351394477509,,b152918cb29dbf4
1508506895494,-42.20000076293945,-18.100000381469727,-27.200000762939453,53.36937446340583,,b152918cb29dbf4
1508506895583,-42.70000076293945,-17.899999618530273,-26.200000762939453,53.19906085339847,,b152918cb29dbf4
1508506895637,-43.10000228881836,-17.600000381469727,-25.700000762939453,53.17762960613555,,b152918cb29dbf4
1508506895685,-43.60000228881836,-17.399999618530273,-25.30000114440918,53.32738763728069,,b152918cb29dbf4
1508506895724,-43.79999923706055,-17.30000114440918,-25.100000381469727,53.36422013141741,,b152918cb29dbf4
1508506895778,-44.29999923706055,-17.30000114440918,-24.100000381469727,53.31594533397555,,b152918cb29dbf4
1508506895824,-44.79999923706055,-17.399999618530273,-23.399999618530273,53.45427853594909,,b152918cb29dbf4
1508506895901,-45,-17.5,-23,53.48130514488217,,b152918cb29dbf4
1508506895935,-44.900001525878906,-17.80000114440918,-23.100000381469727,53.5393332520879,,b152918cb29dbf4
1508506895958,-44.70000076293945,-17.899999618530273,-23.200000762939453,53.448480916717244,,b152918cb29dbf4
1508506896025,-44.20000076293945,-17.600000381469727,-23.80000114440918,53.19624129476278,,b152918cb29dbf4
1508506896116,-43.5,-15.800000190734863,-25.700000762939453,52.937510809058445,,b152918cb29dbf4
1508506896156,-43.400001525878906,-15.199999809265137,-26.399999618530273,53.0241467153192,,b152918cb29dbf4
1508506896216,-43.5,-14.100000381469727,-26.899999618530273,53.05346358315303,,b152918cb29dbf4
1508506896266,-43.60000228881836,-13.199999809265137,-27,52.954699463904994,,b152918cb29dbf4
1508506896288,-43.70000076293945,-12.90000057220459,-26.899999618530273,52.91228654810736,,b152918cb29dbf4
1508506896324,-43.79999923706055,-12.699999809265137,-26.899999618530273,52.94657609368093,,b152918cb29dbf4
1508506896374,-43.79999923706055,-13.100000381469727,-26.399999618530273,52.792138791802046,,b152918cb29dbf4
1508506896404,-43.900001525878906,-13.40000057220459,-26.100000381469727,52.80132685641386,,b152918cb29dbf4
1508506896501,-44.10000228881836,-13.300000190734863,-25,52.40897041589074,,b152918cb29dbf4
1508506896556,-44.60000228881836,-12.699999809265137,-24.700000762939453,52.54084293567816,,b152918cb29dbf4
1508506896615,-45.29999923706055,-11.300000190734863,-24.200000762939453,52.58725949162823,,b152918cb29dbf4
1508506896645,-45.70000076293945,-10.800000190734863,-24.200000762939453,52.82773903832962,,b152918cb29dbf4
1508506896704,-46.29999923706055,-9.699999809265137,-23.700000762939453,52.91001796655056,,b152918cb29dbf4
1508506896744,-46.900001525878906,-9,-23.399999618530273,53.18054254123842,,b152918cb29dbf4
1508506896763,-47.10000228881836,-8.90000057220459,-23.399999618530273,53.34023022562296,,b152918cb29dbf4
1508506896814,-47.29999923706055,-8.800000190734863,-23.200000762939453,53.413201484028626,,b152918cb29dbf4
1508506896844,-47.400001525878906,-8.90000057220459,-23,53.4319217380408,,b152918cb29dbf4
1508506896888,-47.400001525878906,-9.100000381469727,-22.899999618530273,53.42265654419265,,b152918cb29dbf4
1508506896914,-47.29999923706055,-9.199999809265137,-22.80000114440918,53.30825513283676,,b152918cb29dbf4
1508506896968,-47.20000076293945,-9.600000381469727,-22.80000114440918,53.2901502944794,,b152918cb29dbf4
1508506897063,-46.70000076293945,-9.90000057220459,-22.80000114440918,52.903120638955166,,b152918cb29dbf4
1508506897074,-46.70000076293945,-9.90000057220459,-22.80000114440918,52.903120638955166,,b152918cb29dbf4
1508506897114,-46.60000228881836,-10.199999809265137,-22.200000762939453,52.6159702265004,,b152918cb29dbf4
1508506897158,-46.70000076293945,-10.600000381469727,-21.5,52.49285803762733,,b152918cb29dbf4
1508506897225,-46.79999923706055,-11.600000381469727,-20.600000381469727,52.43243289149282,,b152918cb29dbf4
1508506897254,-46.70000076293945,-11.90000057220459,-20.100000381469727,52.21599527303406,,b152918cb29dbf4
1508506897334,-46.5,-12.90000057220459,-20,52.23657740435239,,b152918cb29dbf4
1508506897364,-46.29999923706055,-13.100000381469727,-20.200000762939453,52.18563017093777,,b152918cb29dbf4
1508506897429,-45.60000228881836,-12.699999809265137,-21.100000381469727,51.825284588515906,,b152918cb29dbf4
1508506897495,-44.900001525878906,-11.800000190734863,-22.700000762939453,51.67726943629667,,b152918cb29dbf4
1508506897534,-44.60000228881836,-11.100000381469727,-23.30000114440918,51.52921733004938,,b152918cb29dbf4
1508506897566,-44.29999923706055,-10.40000057220459,-23.80000114440918,51.352605240653965,,b152918cb29dbf4
1508506897615,-43.900001525878906,-9.300000190734863,-24.399999618530273,51.07895920878321,,b152918cb29dbf4
1508506897635,-43.79999923706055,-9,-24.700000762939453,51.08355868830713,,b152918cb29dbf4
1508506897698,-43.5,-8.40000057220459,-24.899999618530273,50.821452385611806,,b152918cb29dbf4
1508506897723,-43.29999923706055,-8.300000190734863,-25,50.68313222333219,,b152918cb29dbf4
1508506897769,-43,-8.300000190734863,-25.100000381469727,50.476727401400275,,b152918cb29dbf4
1508506897834,-42.60000228881836,-8.5,-25.100000381469727,50.1699139292851,,b152918cb29dbf4
1508506897904,-42.400001525878906,-8.5,-25,49.95007639469571,,b152918cb29dbf4
1508506897956,-42.29999923706055,-8.100000381469727,-25.100000381469727,49.848870950078286,,b152918cb29dbf4
1508506898034,-42.70000076293945,-7.200000286102295,-25.399999618530273,50.20249013917852,,b152918cb29dbf4
1508506898089,-43.10000228881836,-6.300000190734863,-25.399999618530273,50.422814331194616,,b152918cb29dbf4
1508506898135,-43.400001525878906,-5.300000190734863,-25.5,50.61521690879136,,b152918cb29dbf4
1508506898186,-43.60000228881836,-4.700000286102295,-25.5,50.72770650382355,,b152918cb29dbf4
1508506898227,-43.79999923706055,-4.400000095367432,-25.80000114440918,51.02391613449712,,b152918cb29dbf4
1508506898284,-44,-4.300000190734863,-26.100000381469727,51.339069173984086,,b152918cb29dbf4
1508506898340,-44,-4.200000286102295,-26.100000381469727,51.33079022552645,,b152918cb29dbf4
1508506898367,-44,-4.099999904632568,-26.30000114440918,51.424702847391394,,b152918cb29dbf4
1508506898416,-44.20000076293945,-4.200000286102295,-26.100000381469727,51.50233043101486,,b152918cb29dbf4
1508506898444,-44.29999923706055,-4.5,-25.80000114440918,51.46241410892001,,b152918cb29dbf4
1508506898505,-44.79999923706055,-5.400000095367432,-24.899999618530273,51.53843156822463,,b152918cb29dbf4
1508506898584,-45.900001525878906,-9.40000057220459,-22.899999618530273,52.14959290328188,,b152918cb29dbf4
1508506898645,-45.400001525878906,-10.300000190734863,-22.30000114440918,51.61918441122239,,b152918cb29dbf4
1508506898693,-45.29999923706055,-10.800000190734863,-22.5,51.72020737360827,,b152918cb29dbf4
1508506898734,-45.29999923706055,-11.800000190734863,-22.5,51.938231094668254,,b152918cb29dbf4
1508506898789,-44.70000076293945,-12.800000190734863,-23,51.87417565115907,,b152918cb29dbf4
1508506898866,-43.400001525878906,-13.40000057220459,-24.200000762939453,51.46610737300698,,b152918cb29dbf4
1508506898955,-42.400001525878906,-13.40000057220459,-25.399999618530273,51.21015639302278,,b152918cb29dbf4
1508506899015,-42.10000228881836,-13.300000190734863,-25.80000114440918,51.13648630208417,,b152918cb29dbf4
1508506899055,-41.79999923706055,-13.40000057220459,-25.899999618530273,50.96675387554471,,b152918cb29dbf4
1508506899093,-41.60000228881836,-13.5,-25.899999618530273,50.82932399926893,,b152918cb29dbf4
1508506899144,-41.400001525878906,-13.699999809265137,-25.899999618530273,50.719424954833855,,b152918cb29dbf4
1508506899174,-41.29999923706055,-14,-25.899999618530273,50.719818009973615,,b152918cb29dbf4
1508506899214,-41.29999923706055,-14.300000190734863,-25.600000381469727,50.6511598414699,,b152918cb29dbf4
1508506899265,-41.5,-14.40000057220459,-25.200000762939453,50.64237410441616,,b152918cb29dbf4
1508506899336,-41.900001525878906,-14.40000057220459,-24.700000762939453,50.72534031572863,,b152918cb29dbf4
1508506899397,-42.29999923706055,-14.300000190734863,-24.30000114440918,50.8357155330274,,b152918cb29dbf4
1508506899464,-42.79999923706055,-14.199999809265137,-23.5,50.85007340417476,,b152918cb29dbf4
1508506899498,-43,-14.100000381469727,-23.5,50.990783606622315,,b152918cb29dbf4
1508506899534,-43,-14.199999809265137,-23.5,51.01852604093584,,b152918cb29dbf4
1508506899565,-43.10000228881836,-14.40000057220459,-23.5,51.15877486180966,,b152918cb29dbf4
1508506899604,-43,-14.699999809265137,-23.5,51.159945233921924,,b152918cb29dbf4
1508506899653,-42.900001525878906,-15,-23.30000114440918,51.071520752113834,,b152918cb29dbf4
1508506899705,-42.900001525878906,-15.199999809265137,-23.30000114440918,51.13061925323931,,b152918cb29dbf4
1508506899776,-42.79999923706055,-15.300000190734863,-23.30000114440918,51.07660964767127,,b152918cb29dbf4
1508506899827,-42.900001525878906,-15.5,-22.700000762939453,50.950468057835344,,b152918cb29dbf4
1508506899884,-43.10000228881836,-15.800000190734863,-21.700000762939453,50.77539043717785,,b152918cb29dbf4
1508506899954,-43.29999923706055,-16.399999618530273,-20.80000114440918,50.75913641108583,,b152918cb29dbf4
1508506900084,-42.60000228881836,-18.30000114440918,-19.600000381469727,50.336967556005746,,b152918cb29dbf4
1508506900158,-41.79999923706055,-18.80000114440918,-19.700000762939453,49.88757410466887,,b152918cb29dbf4
1508506900224,-41,-19.100000381469727,-20.399999618530273,49.618242625275464,,b152918cb29dbf4
1508506900256,-40.70000076293945,-19.200000762939453,-20.700000762939453,49.53403019849161,,b152918cb29dbf4
1508506900294,-40.400001525878906,-19.100000381469727,-21,49.3758056574895,,b152918cb29dbf4
1508506900324,-40.20000076293945,-19,-20.899999618530273,49.1309478498135,,b152918cb29dbf4
1508506900365,-40,-19,-21,49.01020301937138,,b152918cb29dbf4
