timestamp, light1, light2, light3, UUID 
1496112964990,6,5366,6,,903d185fccf839df
1496112965205,6,5366,6,,903d185fccf839df
1496112965350,5,5366,5,,903d185fccf839df
1496112965350,5,5366,5,,903d185fccf839df
1496112965532,6,5366,6,,903d185fccf839df
1496112965532,6,5366,6,,903d185fccf839df
1496112965754,5,5366,5,,903d185fccf839df
1496112965754,5,5366,5,,903d185fccf839df
1496112965890,5,5366,5,,903d185fccf839df
1496112965890,5,5366,5,,903d185fccf839df
1496112966072,3,6595,3,,903d185fccf839df
1496112966072,3,6595,3,,903d185fccf839df
1496112966249,2,7210,2,,903d185fccf839df
1496112966453,2,7210,2,,903d185fccf839df
1496112966453,2,7210,2,,903d185fccf839df
1496112966610,3,6595,3,,903d185fccf839df
1496112966610,3,6595,3,,903d185fccf839df
1496112966800,5,5366,5,,903d185fccf839df
1496112966800,5,5366,5,,903d185fccf839df
1496112966971,4,5366,4,,903d185fccf839df
1496112967152,5,5366,5,,903d185fccf839df
1496112967152,5,5366,5,,903d185fccf839df
1496112967330,3,6595,3,,903d185fccf839df
1496112967330,3,6595,3,,903d185fccf839df
1496112967515,2,7210,2,,903d185fccf839df
1496112967515,2,7210,2,,903d185fccf839df
1496112967690,3,6595,3,,903d185fccf839df
1496112967690,3,6595,3,,903d185fccf839df
1496112967876,4,5366,4,,903d185fccf839df
1496112967876,4,5366,4,,903d185fccf839df
1496112968053,5,6103,5,,903d185fccf839df
1496112968230,4,7824,4,,903d185fccf839df
1496112968230,4,7824,4,,903d185fccf839df
1496112968413,4,7824,4,,903d185fccf839df
1496112968413,4,7824,4,,903d185fccf839df
1496112968596,4,7824,4,,903d185fccf839df
1496112968596,4,7824,4,,903d185fccf839df
1496112968772,6,6841,6,,903d185fccf839df
1496112968950,6,6841,6,,903d185fccf839df
1496112968950,6,6841,6,,903d185fccf839df
1496112969137,5,7210,5,,903d185fccf839df
1496112969137,5,7210,5,,903d185fccf839df
1496112969311,4,7824,4,,903d185fccf839df
1496112969311,4,7824,4,,903d185fccf839df
1496112969494,3,6595,3,,903d185fccf839df
1496112969494,3,6595,3,,903d185fccf839df
1496112969681,3,6595,3,,903d185fccf839df
1496112969681,3,6595,3,,903d185fccf839df
1496112969865,3,5366,3,,903d185fccf839df
1496112970030,3,5366,3,,903d185fccf839df
1496112970030,3,5366,3,,903d185fccf839df
1496112970212,4,5366,4,,903d185fccf839df
1496112970212,4,5366,4,,903d185fccf839df
1496112970390,3,6595,3,,903d185fccf839df
1496112970390,3,6595,3,,903d185fccf839df
1496112970570,3,6595,3,,903d185fccf839df
1496112970570,3,6595,3,,903d185fccf839df
1496112970750,3,6595,3,,903d185fccf839df
1496112970750,3,6595,3,,903d185fccf839df
1496112970930,3,6595,3,,903d185fccf839df
1496112971110,3,6595,3,,903d185fccf839df
1496112971110,3,6595,3,,903d185fccf839df
1496112971290,3,6595,3,,903d185fccf839df
1496112971290,3,6595,3,,903d185fccf839df
1496112971470,3,6595,3,,903d185fccf839df
1496112971470,3,6595,3,,903d185fccf839df
1496112971650,3,6595,3,,903d185fccf839df
1496112971831,3,6595,3,,903d185fccf839df
1496112971831,3,6595,3,,903d185fccf839df
1496112972011,4,6288,4,,903d185fccf839df
1496112972011,4,6288,4,,903d185fccf839df
1496112972190,3,6595,3,,903d185fccf839df
1496112972190,3,6595,3,,903d185fccf839df
1496112972371,3,6595,3,,903d185fccf839df
1496112972550,4,6288,4,,903d185fccf839df
1496112972550,4,6288,4,,903d185fccf839df
1496112972550,4,6288,4,,903d185fccf839df
1496112972730,5,7210,5,,903d185fccf839df
1496112972910,5,7210,5,,903d185fccf839df
1496112972910,5,7210,5,,903d185fccf839df
1496112973090,4,6288,4,,903d185fccf839df
1496112973090,4,6288,4,,903d185fccf839df
1496112973270,6,6841,6,,903d185fccf839df
1496112973270,6,6841,6,,903d185fccf839df
1496112973450,5,7210,5,,903d185fccf839df
1496112973630,6,7578,6,,903d185fccf839df
1496112973630,6,7578,6,,903d185fccf839df
1496112973810,6,6841,6,,903d185fccf839df
1496112973810,6,6841,6,,903d185fccf839df
1496112973998,7,6595,7,,903d185fccf839df
1496112973998,7,6595,7,,903d185fccf839df
1496112974175,7,7210,7,,903d185fccf839df
1496112974175,7,7210,7,,903d185fccf839df
1496112974360,7,7578,7,,903d185fccf839df
1496112974531,8,7210,8,,903d185fccf839df
1496112974531,8,7210,8,,903d185fccf839df
1496112974710,7,7578,7,,903d185fccf839df
1496112974710,7,7578,7,,903d185fccf839df
1496112974890,6,6841,6,,903d185fccf839df
1496112974890,6,6841,6,,903d185fccf839df
1496112975072,6,7578,6,,903d185fccf839df
1496112975072,6,7578,6,,903d185fccf839df
1496112975250,6,6841,6,,903d185fccf839df
1496112975430,7,6595,7,,903d185fccf839df
1496112975430,7,6595,7,,903d185fccf839df
1496112975680,7,7210,7,,903d185fccf839df
1496112975680,7,7210,7,,903d185fccf839df
1496112975790,7,6595,7,,903d185fccf839df
1496112975790,7,6595,7,,903d185fccf839df
1496112975970,7,6595,7,,903d185fccf839df
1496112975970,7,6595,7,,903d185fccf839df
1496112976150,6,6841,6,,903d185fccf839df
1496112976331,5,6103,5,,903d185fccf839df
1496112976331,5,6103,5,,903d185fccf839df
1496112976510,6,6841,6,,903d185fccf839df
1496112976510,6,6841,6,,903d185fccf839df
1496112976690,5,7210,5,,903d185fccf839df
1496112976690,5,7210,5,,903d185fccf839df
1496112976870,5,6103,5,,903d185fccf839df
1496112976870,5,6103,5,,903d185fccf839df
1496112977050,4,6288,4,,903d185fccf839df
1496112977230,5,7210,5,,903d185fccf839df
1496112977230,5,7210,5,,903d185fccf839df
1496112977410,5,7210,5,,903d185fccf839df
1496112977410,5,7210,5,,903d185fccf839df
1496112977591,5,7210,5,,903d185fccf839df
1496112977591,5,7210,5,,903d185fccf839df
1496112977770,5,7210,5,,903d185fccf839df
1496112977770,5,7210,5,,903d185fccf839df
1496112977951,6,6841,6,,903d185fccf839df
1496112977951,6,6841,6,,903d185fccf839df
1496112978130,6,6841,6,,903d185fccf839df
1496112978310,6,6841,6,,903d185fccf839df
1496112978310,6,6841,6,,903d185fccf839df
1496112978490,6,6841,6,,903d185fccf839df
1496112978490,6,6841,6,,903d185fccf839df
1496112978670,6,7578,6,,903d185fccf839df
1496112978670,6,7578,6,,903d185fccf839df
1496112978850,6,6841,6,,903d185fccf839df
1496112978850,6,6841,6,,903d185fccf839df
1496112979029,6,6841,6,,903d185fccf839df
1496112979209,6,6841,6,,903d185fccf839df
1496112979209,6,6841,6,,903d185fccf839df
1496112979389,6,6841,6,,903d185fccf839df
1496112979389,6,6841,6,,903d185fccf839df
1496112979570,6,6841,6,,903d185fccf839df
1496112979570,6,6841,6,,903d185fccf839df
1496112979750,6,6841,6,,903d185fccf839df
1496112979750,6,6841,6,,903d185fccf839df
1496112979932,6,6841,6,,903d185fccf839df
1496112980110,6,5980,6,,903d185fccf839df
1496112980110,6,5980,6,,903d185fccf839df
1496112980290,6,6841,6,,903d185fccf839df
1496112980290,6,6841,6,,903d185fccf839df
1496112980470,6,6841,6,,903d185fccf839df
