timestamp, light1, light2, light3, UUID 
1494605770917,3211,6801,3211,,903d185fccf839df
1494605772156,4873,6838,4873,,903d185fccf839df
1494605772520,4775,6836,4775,,903d185fccf839df
1494605772520,4775,6836,4775,,903d185fccf839df
1494605772707,4643,6851,4643,,903d185fccf839df
1494605772707,4643,6851,4643,,903d185fccf839df
1494605772890,4554,6847,4554,,903d185fccf839df
1494605773058,4478,6847,4478,,903d185fccf839df
1494605773058,4478,6847,4478,,903d185fccf839df
1494605773236,4354,6856,4354,,903d185fccf839df
1494605773236,4354,6856,4354,,903d185fccf839df
1494605773417,4239,6855,4239,,903d185fccf839df
1494605773417,4239,6855,4239,,903d185fccf839df
1494605773600,4244,6853,4244,,903d185fccf839df
1494605773777,4064,6854,4064,,903d185fccf839df
1494605773955,3995,6873,3995,,903d185fccf839df
1494605773955,3995,6873,3995,,903d185fccf839df
1494605774137,3997,6885,3997,,903d185fccf839df
1494605774137,3997,6885,3997,,903d185fccf839df
1494605774316,3884,6902,3884,,903d185fccf839df
1494605774316,3884,6902,3884,,903d185fccf839df
1494605774497,3391,6872,3391,,903d185fccf839df
1494605774497,3391,6872,3391,,903d185fccf839df
1494605774680,3956,6928,3956,,903d185fccf839df
1494605774856,4335,6881,4335,,903d185fccf839df
1494605774856,4335,6881,4335,,903d185fccf839df
1494605775036,4242,6861,4242,,903d185fccf839df
1494605775036,4242,6861,4242,,903d185fccf839df
1494605775218,4132,6904,4132,,903d185fccf839df
1494605775218,4132,6904,4132,,903d185fccf839df
1494605775395,3870,6910,3870,,903d185fccf839df
1494605775395,3870,6910,3870,,903d185fccf839df
1494605775575,3841,6876,3841,,903d185fccf839df
1494605775755,3711,6890,3711,,903d185fccf839df
1494605775755,3711,6890,3711,,903d185fccf839df
1494605775935,3582,6905,3582,,903d185fccf839df
1494605775935,3582,6905,3582,,903d185fccf839df
1494605776115,4035,6918,4035,,903d185fccf839df
1494605776115,4035,6918,4035,,903d185fccf839df
1494605776299,4392,6875,4392,,903d185fccf839df
1494605776299,4392,6875,4392,,903d185fccf839df
1494605776478,4432,6849,4432,,903d185fccf839df
1494605776656,3908,6861,3908,,903d185fccf839df
1494605776656,3908,6861,3908,,903d185fccf839df
1494605776839,4163,6866,4163,,903d185fccf839df
1494605776839,4163,6866,4163,,903d185fccf839df
1494605777020,4728,6800,4728,,903d185fccf839df
1494605777020,4728,6800,4728,,903d185fccf839df
1494605777197,4061,6843,4061,,903d185fccf839df
1494605777197,4061,6843,4061,,903d185fccf839df
1494605777378,4348,6820,4348,,903d185fccf839df
1494605777558,5353,6735,5353,,903d185fccf839df
1494605777558,5353,6735,5353,,903d185fccf839df
1494605777737,4849,6752,4849,,903d185fccf839df
1494605777737,4849,6752,4849,,903d185fccf839df
1494605777917,4317,6813,4317,,903d185fccf839df
1494605777917,4317,6813,4317,,903d185fccf839df
1494605778097,4901,6744,4901,,903d185fccf839df
1494605778097,4901,6744,4901,,903d185fccf839df
1494605778276,5064,6691,5064,,903d185fccf839df
1494605778456,5001,6693,5001,,903d185fccf839df
1494605778456,5001,6693,5001,,903d185fccf839df
1494605778636,5702,6624,5702,,903d185fccf839df
1494605778636,5702,6624,5702,,903d185fccf839df
1494605778816,5660,6612,5660,,903d185fccf839df
1494605778816,5660,6612,5660,,903d185fccf839df
1494605778998,5174,6655,5174,,903d185fccf839df
1494605778998,5174,6655,5174,,903d185fccf839df
1494605779175,5421,6597,5421,,903d185fccf839df
1494605779361,5713,6541,5713,,903d185fccf839df
1494605779361,5713,6541,5713,,903d185fccf839df
1494605779536,5576,6541,5576,,903d185fccf839df
1494605779536,5576,6541,5576,,903d185fccf839df
1494605779716,6464,6505,6464,,903d185fccf839df
1494605779716,6464,6505,6464,,903d185fccf839df
1494605779898,6242,6504,6242,,903d185fccf839df
1494605779898,6242,6504,6242,,903d185fccf839df
1494605780084,5565,6587,5565,,903d185fccf839df
1494605780260,5720,6567,5720,,903d185fccf839df
1494605780260,5720,6567,5720,,903d185fccf839df
1494605780438,6078,6519,6078,,903d185fccf839df
1494605780438,6078,6519,6078,,903d185fccf839df
1494605780616,5690,6514,5690,,903d185fccf839df
1494605780616,5690,6514,5690,,903d185fccf839df
1494605780796,6396,6506,6396,,903d185fccf839df
1494605780796,6396,6506,6396,,903d185fccf839df
1494605780981,6347,6506,6347,,903d185fccf839df
1494605781156,5782,6544,5782,,903d185fccf839df
1494605781156,5782,6544,5782,,903d185fccf839df
1494605781339,5690,6567,5690,,903d185fccf839df
1494605781339,5690,6567,5690,,903d185fccf839df
1494605781517,6051,6542,6051,,903d185fccf839df
1494605781517,6051,6542,6051,,903d185fccf839df
1494605781696,5527,6545,5527,,903d185fccf839df
1494605781696,5527,6545,5527,,903d185fccf839df
1494605781877,5996,6548,5996,,903d185fccf839df
1494605782060,6208,6546,6208,,903d185fccf839df
1494605782060,6208,6546,6208,,903d185fccf839df
1494605782236,5774,6542,5774,,903d185fccf839df
1494605782236,5774,6542,5774,,903d185fccf839df
1494605782416,5661,6555,5661,,903d185fccf839df
1494605782416,5661,6555,5661,,903d185fccf839df
1494605782598,6249,6533,6249,,903d185fccf839df
1494605782598,6249,6533,6249,,903d185fccf839df
1494605782785,6116,6528,6116,,903d185fccf839df
1494605782958,6368,6522,6368,,903d185fccf839df
1494605782958,6368,6522,6368,,903d185fccf839df
1494605783137,6672,6480,6672,,903d185fccf839df
1494605783137,6672,6480,6672,,903d185fccf839df
1494605783316,6158,6475,6158,,903d185fccf839df
1494605783316,6158,6475,6158,,903d185fccf839df
1494605783496,5778,6520,5778,,903d185fccf839df
1494605783496,5778,6520,5778,,903d185fccf839df
1494605783677,5636,6441,5636,,903d185fccf839df
1494605783857,5473,6402,5473,,903d185fccf839df
1494605783857,5473,6402,5473,,903d185fccf839df
1494605784036,5597,6492,5597,,903d185fccf839df
1494605784036,5597,6492,5597,,903d185fccf839df
1494605784216,5676,6346,5676,,903d185fccf839df
1494605784216,5676,6346,5676,,903d185fccf839df
1494605784398,5125,6295,5125,,903d185fccf839df
1494605784398,5125,6295,5125,,903d185fccf839df
1494605784576,4680,6416,4680,,903d185fccf839df
1494605784756,4068,6331,4068,,903d185fccf839df
1494605784756,4068,6331,4068,,903d185fccf839df
1494605784936,3329,6363,3329,,903d185fccf839df
1494605784936,3329,6363,3329,,903d185fccf839df
1494605785116,3288,6460,3288,,903d185fccf839df
1494605785116,3288,6460,3288,,903d185fccf839df
1494605785296,2760,6575,2760,,903d185fccf839df
1494605785296,2760,6575,2760,,903d185fccf839df
1494605785479,2279,6658,2279,,903d185fccf839df
1494605785656,1827,6677,1827,,903d185fccf839df
1494605785656,1827,6677,1827,,903d185fccf839df
1494605785837,1429,6704,1429,,903d185fccf839df
1494605785837,1429,6704,1429,,903d185fccf839df
1494605786016,1132,6611,1132,,903d185fccf839df
1494605786016,1132,6611,1132,,903d185fccf839df
1494605786197,1480,6666,1480,,903d185fccf839df
1494605786197,1480,6666,1480,,903d185fccf839df
1494605786379,1299,6609,1299,,903d185fccf839df
1494605786556,1086,6516,1086,,903d185fccf839df
1494605786556,1086,6516,1086,,903d185fccf839df
1494605786740,1057,6451,1057,,903d185fccf839df
1494605786740,1057,6451,1057,,903d185fccf839df
1494605786917,868,6293,868,,903d185fccf839df
1494605786917,868,6293,868,,903d185fccf839df
1494605787097,662,5878,662,,903d185fccf839df
1494605787097,662,5878,662,,903d185fccf839df
1494605787281,745,6117,745,,903d185fccf839df
1494605787456,695,6038,695,,903d185fccf839df
1494605787456,695,6038,695,,903d185fccf839df
1494605787636,635,5931,635,,903d185fccf839df
1494605787636,635,5931,635,,903d185fccf839df
1494605787816,596,5909,596,,903d185fccf839df
1494605787816,596,5909,596,,903d185fccf839df
1494605787998,572,5775,572,,903d185fccf839df
1494605787998,572,5775,572,,903d185fccf839df
1494605788176,547,5483,547,,903d185fccf839df
1494605788363,520,5520,520,,903d185fccf839df
1494605788363,520,5520,520,,903d185fccf839df
1494605788536,567,5625,567,,903d185fccf839df
1494605788536,567,5625,567,,903d185fccf839df
1494605788716,565,5656,565,,903d185fccf839df
1494605788716,565,5656,565,,903d185fccf839df
1494605788897,514,5620,514,,903d185fccf839df
1494605788897,514,5620,514,,903d185fccf839df
1494605789079,497,5665,497,,903d185fccf839df
1494605789262,545,5731,545,,903d185fccf839df
1494605789262,545,5731,545,,903d185fccf839df
1494605789441,533,5675,533,,903d185fccf839df
1494605789441,533,5675,533,,903d185fccf839df
1494605789617,586,5675,586,,903d185fccf839df
1494605789617,586,5675,586,,903d185fccf839df
1494605789796,593,5643,593,,903d185fccf839df
1494605789796,593,5643,593,,903d185fccf839df
