timestamp, light1, light2, light3, UUID 
1508336896366,1376,7254,1376,,b152918cb29dbf4
1508336896366,1376,7254,1376,,b152918cb29dbf4
1508336896564,1577,7699,1577,,b152918cb29dbf4
1508336896564,1577,7699,1577,,b152918cb29dbf4
1508336896724,1568,7712,1568,,b152918cb29dbf4
1508336896724,1568,7712,1568,,b152918cb29dbf4
1508336896904,1552,7791,1552,,b152918cb29dbf4
1508336896904,1552,7791,1552,,b152918cb29dbf4
1508336897083,1524,7857,1524,,b152918cb29dbf4
1508336897083,1524,7857,1524,,b152918cb29dbf4
1508336897083,1524,7857,1524,,b152918cb29dbf4
1508336897263,1582,7902,1582,,b152918cb29dbf4
1508336897263,1582,7902,1582,,b152918cb29dbf4
1508336897263,1582,7902,1582,,b152918cb29dbf4
1508336897263,1582,7902,1582,,b152918cb29dbf4
1508336897263,1582,7902,1582,,b152918cb29dbf4
1508336897447,1618,7999,1618,,b152918cb29dbf4
1508336897447,1618,7999,1618,,b152918cb29dbf4
1508336897631,1499,7921,1499,,b152918cb29dbf4
1508336897631,1499,7921,1499,,b152918cb29dbf4
1508336897631,1499,7921,1499,,b152918cb29dbf4
1508336897802,1435,7912,1435,,b152918cb29dbf4
1508336897802,1435,7912,1435,,b152918cb29dbf4
1508336897802,1435,7912,1435,,b152918cb29dbf4
1508336897802,1435,7912,1435,,b152918cb29dbf4
1508336897985,1457,8046,1457,,b152918cb29dbf4
1508336897985,1457,8046,1457,,b152918cb29dbf4
1508336898162,1479,7975,1479,,b152918cb29dbf4
1508336898162,1479,7975,1479,,b152918cb29dbf4
1508336898162,1479,7975,1479,,b152918cb29dbf4
1508336898342,1525,8116,1525,,b152918cb29dbf4
1508336898342,1525,8116,1525,,b152918cb29dbf4
1508336898342,1525,8116,1525,,b152918cb29dbf4
1508336898524,1542,8110,1542,,b152918cb29dbf4
1508336898524,1542,8110,1542,,b152918cb29dbf4
1508336898524,1542,8110,1542,,b152918cb29dbf4
1508336898524,1542,8110,1542,,b152918cb29dbf4
1508336899243,1535,7828,1535,,b152918cb29dbf4
1508336899425,1563,7981,1563,,b152918cb29dbf4
1508336899425,1563,7981,1563,,b152918cb29dbf4
1508336899425,1563,7981,1563,,b152918cb29dbf4
1508336899425,1563,7981,1563,,b152918cb29dbf4
1508336899603,1504,7969,1504,,b152918cb29dbf4
1508336899603,1504,7969,1504,,b152918cb29dbf4
1508336899603,1504,7969,1504,,b152918cb29dbf4
1508336899603,1504,7969,1504,,b152918cb29dbf4
1508336901946,1578,7502,1578,,b152918cb29dbf4
1508336901946,1578,7502,1578,,b152918cb29dbf4
1508336902844,1443,7570,1443,,b152918cb29dbf4
1508336903025,1423,7457,1423,,b152918cb29dbf4
1508336903204,1410,7353,1410,,b152918cb29dbf4
1508336903924,1053,6808,1053,,b152918cb29dbf4
1508336903924,1053,6808,1053,,b152918cb29dbf4
1508336904289,960,6498,960,,b152918cb29dbf4
1508336905005,1456,8207,1456,,b152918cb29dbf4
1508336905005,1456,8207,1456,,b152918cb29dbf4
1508336905183,1361,8009,1361,,b152918cb29dbf4
1508336905905,1270,7808,1270,,b152918cb29dbf4
1508336905905,1270,7808,1270,,b152918cb29dbf4
1508336906083,1246,7768,1246,,b152918cb29dbf4
1508336906083,1246,7768,1246,,b152918cb29dbf4
1508336906083,1246,7768,1246,,b152918cb29dbf4
1508336906266,1299,7815,1299,,b152918cb29dbf4
1508336906266,1299,7815,1299,,b152918cb29dbf4
1508336906266,1299,7815,1299,,b152918cb29dbf4
1508336906266,1299,7815,1299,,b152918cb29dbf4
1508336906443,1347,7935,1347,,b152918cb29dbf4
1508336906443,1347,7935,1347,,b152918cb29dbf4
1508336906443,1347,7935,1347,,b152918cb29dbf4
1508336906443,1347,7935,1347,,b152918cb29dbf4
1508336906621,1403,7996,1403,,b152918cb29dbf4
1508336906621,1403,7996,1403,,b152918cb29dbf4
1508336908965,336,6337,336,,b152918cb29dbf4
1508336908965,336,6337,336,,b152918cb29dbf4
1508336909144,262,5249,262,,b152918cb29dbf4
