timestamp, light1, light2, light3, UUID 
1508508310278,2480,7267,2480,,b152918cb29dbf4
1508508310463,2444,7288,2444,,b152918cb29dbf4
1508508310638,2344,7282,2344,,b152918cb29dbf4
1508508310638,2344,7282,2344,,b152918cb29dbf4
1508508310868,2304,7278,2304,,b152918cb29dbf4
1508508310868,2304,7278,2304,,b152918cb29dbf4
1508508310868,2304,7278,2304,,b152918cb29dbf4
1508508311099,2395,7279,2395,,b152918cb29dbf4
1508508311187,2502,7295,2502,,b152918cb29dbf4
1508508311357,2570,7246,2570,,b152918cb29dbf4
1508508311357,2570,7246,2570,,b152918cb29dbf4
1508508311536,2634,7220,2634,,b152918cb29dbf4
1508508311536,2634,7220,2634,,b152918cb29dbf4
1508508311716,2422,7194,2422,,b152918cb29dbf4
1508508311896,2340,7123,2340,,b152918cb29dbf4
1508508312080,2242,7094,2242,,b152918cb29dbf4
1508508312080,2242,7094,2242,,b152918cb29dbf4
1508508312261,2270,7128,2270,,b152918cb29dbf4
1508508312261,2270,7128,2270,,b152918cb29dbf4
1508508312441,2345,7168,2345,,b152918cb29dbf4
1508508312441,2345,7168,2345,,b152918cb29dbf4
1508508312618,2388,7177,2388,,b152918cb29dbf4
1508508312618,2388,7177,2388,,b152918cb29dbf4
1508508312797,2413,7171,2413,,b152918cb29dbf4
1508508312981,2363,7152,2363,,b152918cb29dbf4
1508508312981,2363,7152,2363,,b152918cb29dbf4
1508508313160,2310,7086,2310,,b152918cb29dbf4
1508508313160,2310,7086,2310,,b152918cb29dbf4
1508508313336,2294,7064,2294,,b152918cb29dbf4
1508508313336,2294,7064,2294,,b152918cb29dbf4
1508508313518,2273,7065,2273,,b152918cb29dbf4
1508508313518,2273,7065,2273,,b152918cb29dbf4
1508508313703,2241,7079,2241,,b152918cb29dbf4
1508508313876,2223,7078,2223,,b152918cb29dbf4
1508508313876,2223,7078,2223,,b152918cb29dbf4
1508508314057,2248,7074,2248,,b152918cb29dbf4
1508508314057,2248,7074,2248,,b152918cb29dbf4
1508508314236,2250,7094,2250,,b152918cb29dbf4
1508508314236,2250,7094,2250,,b152918cb29dbf4
1508508314417,2264,7088,2264,,b152918cb29dbf4
1508508314417,2264,7088,2264,,b152918cb29dbf4
1508508314602,2272,7034,2272,,b152918cb29dbf4
1508508314776,2187,7023,2187,,b152918cb29dbf4
1508508314776,2187,7023,2187,,b152918cb29dbf4
1508508314959,2215,7120,2215,,b152918cb29dbf4
1508508314959,2215,7120,2215,,b152918cb29dbf4
1508508315141,2263,7248,2263,,b152918cb29dbf4
1508508315141,2263,7248,2263,,b152918cb29dbf4
1508508315316,2286,7156,2286,,b152918cb29dbf4
1508508315497,2326,7239,2326,,b152918cb29dbf4
1508508315497,2326,7239,2326,,b152918cb29dbf4
1508508315683,2283,7268,2283,,b152918cb29dbf4
1508508315683,2283,7268,2283,,b152918cb29dbf4
