timestamp, light1, light2, light3, UUID 
1494341468432,2716,6144,2716,,903d185fccf839df
1494341468622,3119,6251,3119,,903d185fccf839df
1494341468622,3119,6251,3119,,903d185fccf839df
1494341468622,3119,6251,3119,,903d185fccf839df
1494341468794,4066,6440,4066,,903d185fccf839df
1494341468794,4066,6440,4066,,903d185fccf839df
1494341468972,5426,6567,5426,,903d185fccf839df
1494341468972,5426,6567,5426,,903d185fccf839df
1494341468972,5426,6567,5426,,903d185fccf839df
1494341468972,5426,6567,5426,,903d185fccf839df
1494341468972,5426,6567,5426,,903d185fccf839df
1494341469152,5386,6601,5386,,903d185fccf839df
1494341469152,5386,6601,5386,,903d185fccf839df
1494341469152,5386,6601,5386,,903d185fccf839df
1494341469152,5386,6601,5386,,903d185fccf839df
1494341469152,5386,6601,5386,,903d185fccf839df
1494341469331,5234,6592,5234,,903d185fccf839df
1494341469331,5234,6592,5234,,903d185fccf839df
1494341469331,5234,6592,5234,,903d185fccf839df
1494341469512,4628,6546,4628,,903d185fccf839df
1494341469512,4628,6546,4628,,903d185fccf839df
1494341469512,4628,6546,4628,,903d185fccf839df
1494341469691,3656,6466,3656,,903d185fccf839df
1494341469691,3656,6466,3656,,903d185fccf839df
1494341469691,3656,6466,3656,,903d185fccf839df
1494341469691,3656,6466,3656,,903d185fccf839df
1494341469872,3369,6505,3369,,903d185fccf839df
1494341469872,3369,6505,3369,,903d185fccf839df
1494341469872,3369,6505,3369,,903d185fccf839df
1494341469872,3369,6505,3369,,903d185fccf839df
1494341470052,6162,6577,6162,,903d185fccf839df
1494341470052,6162,6577,6162,,903d185fccf839df
1494341470052,6162,6577,6162,,903d185fccf839df
1494341470232,6845,6549,6845,,903d185fccf839df
1494341470232,6845,6549,6845,,903d185fccf839df
1494341470232,6845,6549,6845,,903d185fccf839df
1494341470232,6845,6549,6845,,903d185fccf839df
1494341470411,8118,6518,8118,,903d185fccf839df
1494341470411,8118,6518,8118,,903d185fccf839df
1494341470411,8118,6518,8118,,903d185fccf839df
1494341470592,7444,6505,7444,,903d185fccf839df
1494341470592,7444,6505,7444,,903d185fccf839df
1494341470592,7444,6505,7444,,903d185fccf839df
1494341470592,7444,6505,7444,,903d185fccf839df
1494341470772,6708,6452,6708,,903d185fccf839df
1494341470772,6708,6452,6708,,903d185fccf839df
1494341470772,6708,6452,6708,,903d185fccf839df
1494341470772,6708,6452,6708,,903d185fccf839df
1494341470951,6230,6418,6230,,903d185fccf839df
1494341470951,6230,6418,6230,,903d185fccf839df
1494341470951,6230,6418,6230,,903d185fccf839df
1494341470951,6230,6418,6230,,903d185fccf839df
1494341471132,6082,6409,6082,,903d185fccf839df
1494341471132,6082,6409,6082,,903d185fccf839df
1494341471132,6082,6409,6082,,903d185fccf839df
1494341471312,5332,6438,5332,,903d185fccf839df
1494341471312,5332,6438,5332,,903d185fccf839df
1494341471312,5332,6438,5332,,903d185fccf839df
1494341471491,4677,6375,4677,,903d185fccf839df
1494341471491,4677,6375,4677,,903d185fccf839df
1494341471491,4677,6375,4677,,903d185fccf839df
1494341471491,4677,6375,4677,,903d185fccf839df
1494341471672,5048,6400,5048,,903d185fccf839df
1494341471672,5048,6400,5048,,903d185fccf839df
1494341471672,5048,6400,5048,,903d185fccf839df
1494341471672,5048,6400,5048,,903d185fccf839df
1494341471852,6058,6424,6058,,903d185fccf839df
1494341471852,6058,6424,6058,,903d185fccf839df
1494341471852,6058,6424,6058,,903d185fccf839df
1494341472031,6876,6398,6876,,903d185fccf839df
1494341472031,6876,6398,6876,,903d185fccf839df
1494341472031,6876,6398,6876,,903d185fccf839df
1494341472212,7803,6372,7803,,903d185fccf839df
1494341472212,7803,6372,7803,,903d185fccf839df
1494341472212,7803,6372,7803,,903d185fccf839df
1494341472212,7803,6372,7803,,903d185fccf839df
1494341472392,6209,6422,6209,,903d185fccf839df
1494341472392,6209,6422,6209,,903d185fccf839df
1494341472392,6209,6422,6209,,903d185fccf839df
1494341472392,6209,6422,6209,,903d185fccf839df
1494341472572,6353,6411,6353,,903d185fccf839df
1494341472572,6353,6411,6353,,903d185fccf839df
1494341472572,6353,6411,6353,,903d185fccf839df
1494341472572,6353,6411,6353,,903d185fccf839df
1494341472752,7556,6369,7556,,903d185fccf839df
1494341472752,7556,6369,7556,,903d185fccf839df
1494341472752,7556,6369,7556,,903d185fccf839df
1494341472752,7556,6369,7556,,903d185fccf839df
1494341472932,8190,6335,8190,,903d185fccf839df
1494341472932,8190,6335,8190,,903d185fccf839df
