timestamp, light1, light2, light3, UUID 
1508507508639,1073,7402,1073,,b152918cb29dbf4
1508507524848,1418,7622,1418,,b152918cb29dbf4
1508507525029,1570,7668,1570,,b152918cb29dbf4
1508507525029,1570,7668,1570,,b152918cb29dbf4
1508507525029,1570,7668,1570,,b152918cb29dbf4
1508507525243,1582,7627,1582,,b152918cb29dbf4
1508507525243,1582,7627,1582,,b152918cb29dbf4
1508507525445,1607,7576,1607,,b152918cb29dbf4
1508507525575,1777,7450,1777,,b152918cb29dbf4
1508507525575,1777,7450,1777,,b152918cb29dbf4
1508507525746,1520,7537,1520,,b152918cb29dbf4
1508507525746,1520,7537,1520,,b152918cb29dbf4
1508507525926,1387,7441,1387,,b152918cb29dbf4
1508507526107,1166,7220,1166,,b152918cb29dbf4
1508507526287,1371,7408,1371,,b152918cb29dbf4
1508507526287,1371,7408,1371,,b152918cb29dbf4
1508507526473,1630,7484,1630,,b152918cb29dbf4
1508507526473,1630,7484,1630,,b152918cb29dbf4
1508507526646,1716,7475,1716,,b152918cb29dbf4
1508507526646,1716,7475,1716,,b152918cb29dbf4
1508507526834,1836,7482,1836,,b152918cb29dbf4
1508507526834,1836,7482,1836,,b152918cb29dbf4
1508507527008,1913,7466,1913,,b152918cb29dbf4
1508507527188,1980,7457,1980,,b152918cb29dbf4
1508507527188,1980,7457,1980,,b152918cb29dbf4
1508507527367,2126,7461,2126,,b152918cb29dbf4
1508507527367,2126,7461,2126,,b152918cb29dbf4
1508507527547,2042,7349,2042,,b152918cb29dbf4
1508507527547,2042,7349,2042,,b152918cb29dbf4
1508507527728,1909,7260,1909,,b152918cb29dbf4
1508507527911,2063,7258,2063,,b152918cb29dbf4
1508507527911,2063,7258,2063,,b152918cb29dbf4
1508507528092,1866,7173,1866,,b152918cb29dbf4
1508507528092,1866,7173,1866,,b152918cb29dbf4
1508507528266,1812,7114,1812,,b152918cb29dbf4
1508507528266,1812,7114,1812,,b152918cb29dbf4
1508507528447,1975,7185,1975,,b152918cb29dbf4
1508507528447,1975,7185,1975,,b152918cb29dbf4
1508507528628,2363,7281,2363,,b152918cb29dbf4
1508507528808,2154,7422,2154,,b152918cb29dbf4
1508507528808,2154,7422,2154,,b152918cb29dbf4
1508507528987,2168,7444,2168,,b152918cb29dbf4
1508507528987,2168,7444,2168,,b152918cb29dbf4
1508507529168,2167,7330,2167,,b152918cb29dbf4
1508507529168,2167,7330,2167,,b152918cb29dbf4
1508507529346,2143,7355,2143,,b152918cb29dbf4
1508507529346,2143,7355,2143,,b152918cb29dbf4
1508507529536,2193,7464,2193,,b152918cb29dbf4
1508507529708,2467,7361,2467,,b152918cb29dbf4
1508507529708,2467,7361,2467,,b152918cb29dbf4
1508507529887,2731,7086,2731,,b152918cb29dbf4
1508507529887,2731,7086,2731,,b152918cb29dbf4
1508507530073,2749,7028,2749,,b152918cb29dbf4
1508507530073,2749,7028,2749,,b152918cb29dbf4
1508507530246,2608,7122,2608,,b152918cb29dbf4
1508507530246,2608,7122,2608,,b152918cb29dbf4
1508507530426,2334,7157,2334,,b152918cb29dbf4
1508507530606,2410,7045,2410,,b152918cb29dbf4
1508507530606,2410,7045,2410,,b152918cb29dbf4
1508507530789,2067,7173,2067,,b152918cb29dbf4
1508507530789,2067,7173,2067,,b152918cb29dbf4
1508507530968,2191,7206,2191,,b152918cb29dbf4
1508507530968,2191,7206,2191,,b152918cb29dbf4
1508507531156,2326,7115,2326,,b152918cb29dbf4
1508507531156,2326,7115,2326,,b152918cb29dbf4
1508507531336,2267,7191,2267,,b152918cb29dbf4
1508507531507,2212,7081,2212,,b152918cb29dbf4
1508507531507,2212,7081,2212,,b152918cb29dbf4
1508507531688,1998,7146,1998,,b152918cb29dbf4
1508507531688,1998,7146,1998,,b152918cb29dbf4
1508507531869,2039,7253,2039,,b152918cb29dbf4
1508507531869,2039,7253,2039,,b152918cb29dbf4
1508507532062,1639,7139,1639,,b152918cb29dbf4
1508507532062,1639,7139,1639,,b152918cb29dbf4
1508507532227,1791,7026,1791,,b152918cb29dbf4
1508507532412,1715,7155,1715,,b152918cb29dbf4
1508507532412,1715,7155,1715,,b152918cb29dbf4
1508507532589,1735,7192,1735,,b152918cb29dbf4
1508507532589,1735,7192,1735,,b152918cb29dbf4
1508507532766,1792,7159,1792,,b152918cb29dbf4
1508507532766,1792,7159,1792,,b152918cb29dbf4
1508507532954,1586,7328,1586,,b152918cb29dbf4
1508507532954,1586,7328,1586,,b152918cb29dbf4
1508507533126,1504,7431,1504,,b152918cb29dbf4
1508507533321,1903,7180,1903,,b152918cb29dbf4
1508507533321,1903,7180,1903,,b152918cb29dbf4
1508507533490,1736,7285,1736,,b152918cb29dbf4
1508507533490,1736,7285,1736,,b152918cb29dbf4
1508507533666,1816,7223,1816,,b152918cb29dbf4
1508507533666,1816,7223,1816,,b152918cb29dbf4
1508507533848,1855,7132,1855,,b152918cb29dbf4
1508507533848,1855,7132,1855,,b152918cb29dbf4
1508507534030,1947,7217,1947,,b152918cb29dbf4
1508507534208,1957,7154,1957,,b152918cb29dbf4
1508507534208,1957,7154,1957,,b152918cb29dbf4
1508507534388,2544,6673,2544,,b152918cb29dbf4
1508507534388,2544,6673,2544,,b152918cb29dbf4
1508507534569,2714,6498,2714,,b152918cb29dbf4
1508507534569,2714,6498,2714,,b152918cb29dbf4
1508507534747,2499,6692,2499,,b152918cb29dbf4
1508507534747,2499,6692,2499,,b152918cb29dbf4
1508507534927,2423,6675,2423,,b152918cb29dbf4
1508507534927,2423,6675,2423,,b152918cb29dbf4
1508507535111,2214,6785,2214,,b152918cb29dbf4
1508507535290,2158,6807,2158,,b152918cb29dbf4
1508507535290,2158,6807,2158,,b152918cb29dbf4
1508507535476,2331,6640,2331,,b152918cb29dbf4
1508507535476,2331,6640,2331,,b152918cb29dbf4
1508507535648,2525,6476,2525,,b152918cb29dbf4
1508507535648,2525,6476,2525,,b152918cb29dbf4
1508507535827,2394,6545,2394,,b152918cb29dbf4
1508507536007,2347,6559,2347,,b152918cb29dbf4
1508507536007,2347,6559,2347,,b152918cb29dbf4
1508507536188,2174,6564,2174,,b152918cb29dbf4
1508507536188,2174,6564,2174,,b152918cb29dbf4
1508507536382,2056,6584,2056,,b152918cb29dbf4
1508507536382,2056,6584,2056,,b152918cb29dbf4
1508507536558,2000,6571,2000,,b152918cb29dbf4
1508507536558,2000,6571,2000,,b152918cb29dbf4
1508507536766,2128,6450,2128,,b152918cb29dbf4
1508507536908,2008,6457,2008,,b152918cb29dbf4
1508507536908,2008,6457,2008,,b152918cb29dbf4
1508507537092,1748,6657,1748,,b152918cb29dbf4
1508507537092,1748,6657,1748,,b152918cb29dbf4
1508507537267,1781,6456,1781,,b152918cb29dbf4
1508507537267,1781,6456,1781,,b152918cb29dbf4
1508507537448,1535,6582,1535,,b152918cb29dbf4
1508507537448,1535,6582,1535,,b152918cb29dbf4
1508507537628,1514,6468,1514,,b152918cb29dbf4
1508507537628,1514,6468,1514,,b152918cb29dbf4
