timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1498640472229,-41.60000228881836,-2.799999952316284,-39.5,57.43387659160587,,903d185fccf839df
1498640472331,-41.5,-2.4000000953674316,-39.70000076293945,57.48130207397451,,903d185fccf839df
1498640472384,-41.5,-2.700000047683716,-40.10000228881836,57.771533926966384,,903d185fccf839df
1498640472456,-41.70000076293945,-3.200000047683716,-40.900001525878906,58.497352042953985,,903d185fccf839df
1498640472556,-42,-4.099999904632568,-42.29999923706055,59.750313107615845,,903d185fccf839df
1498640472625,-42.20000076293945,-4.599999904632568,-43,60.42350608610888,,903d185fccf839df
1498640472674,-42.20000076293945,-4.700000286102295,-43.29999923706055,60.64503262863898,,903d185fccf839df
1498640472706,-42.29999923706055,-4.800000190734863,-43.20000076293945,60.65121623028183,,903d185fccf839df
1498640472755,-42.400001525878906,-4.800000190734863,-43,60.578875301143256,,903d185fccf839df
1498640472805,-42.400001525878906,-4.5,-42.60000228881836,60.27246789158536,,903d185fccf839df
1498640472835,-42.400001525878906,-4.400000095367432,-42.5,60.19443605887748,,903d185fccf839df
1498640472875,-42.29999923706055,-4.200000286102295,-42.29999923706055,59.968490369432516,,903d185fccf839df
1498640472965,-42.20000076293945,-3.9000000953674316,-41.79999923706055,59.52554140129111,,903d185fccf839df
1498640473026,-42,-3.5,-41.400001525878906,59.07799999160273,,903d185fccf839df
1498640473095,-41.70000076293945,-3.299999952316284,-41.20000076293945,58.713031581708066,,903d185fccf839df
1498640473166,-41.29999923706055,-2.9000000953674316,-40.70000076293945,58.05678301897225,,903d185fccf839df
1498640473265,-40.900001525878906,-2,-40.400001525878906,57.52365023982799,,903d185fccf839df
1498640473366,-40.60000228881836,-0.699999988079071,-40.20000076293945,57.139218305244796,,903d185fccf839df
1498640473427,-40.5,0.10000000149011612,-40.20000076293945,57.0639995011146,,903d185fccf839df
1498640473495,-40.20000076293945,1.2000000476837158,-40.20000076293945,56.86404908360132,,903d185fccf839df
1498640473585,-39.900001525878906,2.1000001430511475,-40.400001525878906,56.82059739994841,,903d185fccf839df
1498640473678,-39.400001525878906,2.799999952316284,-40.79999923706055,56.78767471622474,,903d185fccf839df
1498640473747,-38.60000228881836,3.5,-40.900001525878906,56.34731924184315,,903d185fccf839df
1498640473847,-37.70000076293945,4.099999904632568,-41.10000228881836,55.92235906689351,,903d185fccf839df
1498640473906,-37.5,4.099999904632568,-41.10000228881836,55.78772449691838,,903d185fccf839df
1498640473976,-37.400001525878906,3.700000047683716,-40.900001525878906,55.54511961490458,,903d185fccf839df
1498640474055,-37.70000076293945,2.799999952316284,-41,55.76853986557521,,903d185fccf839df
1498640474154,-38.29999923706055,1.5,-40.79999923706055,55.980173143321466,,903d185fccf839df
1498640474235,-38.79999923706055,1.2000000476837158,-40.70000076293945,56.24384458559139,,903d185fccf839df
1498640474306,-39.400001525878906,1.3000000715255737,-40.60000228881836,56.58984305589204,,903d185fccf839df
1498640474415,-40.29999923706055,1.7000000476837158,-40.10000228881836,56.87697335267722,,903d185fccf839df
1498640474495,-40.400001525878906,2.1000001430511475,-39.900001525878906,56.82059739994841,,903d185fccf839df
1498640474595,-39.79999923706055,1.899999976158142,-40.10000228881836,56.5301693675441,,903d185fccf839df
1498640474676,-39.10000228881836,0.9000000357627869,-40.5,56.30160016132802,,903d185fccf839df
