timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1508336896524,1.8000000715255737,-35.70000076293945,-20.600000381469727,41.256395000312175,,b152918cb29dbf4
1508336896621,2.799999952316284,-35.29999923706055,-21.5,41.42680250147316,,b152918cb29dbf4
1508336896862,2.6000001430511475,-35.20000076293945,-22.200000762939453,41.697003089235174,,b152918cb29dbf4
1508336896930,2.799999952316284,-35.5,-21.80000114440918,41.753204079989864,,b152918cb29dbf4
1508336897059,2.700000047683716,-36.29999923706055,-20.600000381469727,41.825111568459455,,b152918cb29dbf4
1508336897091,2.6000001430511475,-36.29999923706055,-20.5,41.76960548188083,,b152918cb29dbf4
1508336897211,1.5,-35.70000076293945,-21.700000762939453,41.8046666948883,,b152918cb29dbf4
1508336897299,1.100000023841858,-34,-24.100000381469727,41.68956701138476,,b152918cb29dbf4
1508336897411,0.30000001192092896,-33.5,-25.600000381469727,42.162780344639216,,b152918cb29dbf4
1508336897500,-0.30000001192092896,-33.20000076293945,-26,42.170250061363774,,b152918cb29dbf4
1508336897579,-1,-33.20000076293945,-25.700000762939453,41.99678608541261,,b152918cb29dbf4
1508336897711,-0.5,-34.10000228881836,-24.30000114440918,41.87541321507877,,b152918cb29dbf4
1508336897811,0.30000001192092896,-35,-22.700000762939453,41.71786235015016,,b152918cb29dbf4
1508336897898,1.100000023841858,-36,-21.399999618530273,41.894748972791625,,b152918cb29dbf4
1508336897992,1.2000000476837158,-36.900001525878906,-20.399999618530273,42.18068373821869,,b152918cb29dbf4
1508336898130,1.7000000476837158,-38.400001525878906,-18.200000762939453,42.52869712853437,,b152918cb29dbf4
1508336898246,2.200000047683716,-39,-17.100000381469727,42.64094281104367,,b152918cb29dbf4
1508336898300,2.200000047683716,-39,-16.700000762939453,42.48211405757752,,b152918cb29dbf4
1508336898350,2,-38.900001525878906,-17,42.49953038573265,,b152918cb29dbf4
1508336898419,1.7000000476837158,-38.60000228881836,-17.600000381469727,42.45715740542052,,b152918cb29dbf4
1508336898512,1.7000000476837158,-38,-18.5,42.29822691443347,,b152918cb29dbf4
1508336898599,2.299999952316284,-37.60000228881836,-18.899999618530273,42.14570112422937,,b152918cb29dbf4
1508336899399,11.300000190734863,-34.5,-17.200000762939453,40.17188107740133,,b152918cb29dbf4
1508336899530,11.699999809265137,-35.400001525878906,-16.30000114440918,40.690787515095266,,b152918cb29dbf4
1508336899584,11.40000057220459,-36,-16.200000762939453,41.09014528658729,,b152918cb29dbf4
1508336899630,11,-36.60000228881836,-16.600000381469727,41.66677547186315,,b152918cb29dbf4
1508336899695,10.600000381469727,-37.29999923706055,-17.700000762939453,42.62557875612287,,b152918cb29dbf4
1508336899739,10.100000381469727,-37.70000076293945,-18.899999618530273,43.36484797947761,,b152918cb29dbf4
1508336901972,1.399999976158142,-40.10000228881836,-13,42.177839344315345,,b152918cb29dbf4
1508336903011,0.20000000298023224,-37.20000076293945,-16,40.49543292636166,,b152918cb29dbf4
1508336903271,-3.9000000953674316,-37.29999923706055,-17.399999618530273,41.343196504770354,,b152918cb29dbf4
1508336904073,0.9000000357627869,-32.29999923706055,-23.80000114440918,40.13153349338571,,b152918cb29dbf4
1508336904960,-0.800000011920929,-27.899999618530273,-29.200000762939453,40.3941825989618,,b152918cb29dbf4
1508336905271,0.5,-29.200000762939453,-28.5,40.806127170419366,,b152918cb29dbf4
1508336906020,10.199999809265137,-25.30000114440918,-27.80000114440918,38.948301234680095,,b152918cb29dbf4
