timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1508508310389,-6.300000190734863,10.199999809265137,-22.600000381469727,25.583002276768926,,b152918cb29dbf4
1508508310547,-6.800000190734863,11.5,-23.30000114440918,26.858519642043948,,b152918cb29dbf4
1508508310745,-8.699999809265137,13.90000057220459,-23.5,28.65571525515753,,b152918cb29dbf4
1508508310787,-9.100000381469727,14.40000057220459,-23.600000381469727,29.105498501654033,,b152918cb29dbf4
1508508310868,-9.300000190734863,14.90000057220459,-23.5,29.338541464408028,,b152918cb29dbf4
1508508310983,-9.40000057220459,16.5,-23.5,30.21357324514507,,b152918cb29dbf4
1508508311099,-9.100000381469727,17.100000381469727,-23.700000762939453,30.6089867902657,,b152918cb29dbf4
1508508311181,-7.5,18.30000114440918,-24.100000381469727,31.176113335767326,,b152918cb29dbf4
1508508311238,-6.800000190734863,18.200000762939453,-24.30000114440918,31.11221743463412,,b152918cb29dbf4
1508508311357,-6,16.80000114440918,-23.899999618530273,29.823648539490122,,b152918cb29dbf4
1508508311375,-5.700000286102295,16.700000762939453,-24.100000381469727,29.869549944475192,,b152918cb29dbf4
1508508311410,-5.300000190734863,16.600000381469727,-24,29.65889410646544,,b152918cb29dbf4
1508508311494,-4,16.899999618530273,-24.200000762939453,29.78674201721296,,b152918cb29dbf4
1508508311545,-3,17.5,-24.30000114440918,30.0955154677492,,b152918cb29dbf4
1508508311577,-2.200000047683716,17.899999618530273,-24.600000381469727,30.50262296060466,,b152918cb29dbf4
1508508311639,-1.3000000715255737,19.30000114440918,-24.5,31.2158621768799,,b152918cb29dbf4
1508508311663,-1,19.700000762939453,-24.399999618530273,31.37594639540027,,b152918cb29dbf4
1508508311694,-0.800000011920929,20.100000381469727,-24.5,31.700157883059898,,b152918cb29dbf4
1508508311729,-0.6000000238418579,20.5,-24.600000381469727,32.027644843072565,,b152918cb29dbf4
1508508311820,-0.20000000298023224,22,-24.600000381469727,33.0030306817801,,b152918cb29dbf4
1508508311995,-0.699999988079071,24.200000762939453,-23.700000762939453,33.87949347473681,,b152918cb29dbf4
1508508312028,-1.100000023841858,24.5,-23.5,33.966306835423644,,b152918cb29dbf4
1508508312091,-1.8000000715255737,24.5,-23.30000114440918,33.863698492319024,,b152918cb29dbf4
1508508312157,-2.9000000953674316,23.700000762939453,-23.600000381469727,33.57171556906655,,b152918cb29dbf4
1508508312188,-3.4000000953674316,23.30000114440918,-23.80000114440918,33.47969742365921,,b152918cb29dbf4
1508508312247,-4.300000190734863,22.700000762939453,-24.100000381469727,33.39850351784411,,b152918cb29dbf4
1508508312327,-5.800000190734863,22,-24.700000762939453,33.581691887988825,,b152918cb29dbf4
