timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1494341468660,9.699999809265137,-22.899999618530273,-2.700000047683716,25.01579440915503,,903d185fccf839df
1494341468763,9.40000057220459,-22.30000114440918,-3.9000000953674316,24.51244680349286,,903d185fccf839df
1494341468859,8.699999809265137,-21.600000381469727,-6.099999904632568,24.071975863494384,,903d185fccf839df
1494341468969,7.700000286102295,-20.5,-8.600000381469727,23.526580955253397,,903d185fccf839df
1494341469087,5.400000095367432,-19.5,-13.90000057220459,24.54832018137732,,903d185fccf839df
1494341469167,5.599999904632568,-19.100000381469727,-14.5,24.625596983203774,,903d185fccf839df
1494341469230,5.5,-18.80000114440918,-15.40000057220459,24.91686280172291,,903d185fccf839df
1494341469257,5.5,-18.700000762939453,-15.699999809265137,25.028584122825634,,903d185fccf839df
1494341469298,5.800000190734863,-18.700000762939453,-15.800000190734863,25.158895753847755,,903d185fccf839df
1494341469347,6.5,-18.5,-15.300000190734863,24.871469831851105,,903d185fccf839df
1494341469377,7.200000286102295,-18.30000114440918,-15.100000381469727,24.79395206293111,,903d185fccf839df
1494341469426,8.800000190734863,-17.80000114440918,-14.5,24.587192383370553,,903d185fccf839df
1494341469467,10.600000381469727,-17.600000381469727,-14.5,25.14696836609477,,903d185fccf839df
1494341469497,10.90000057220459,-17.80000114440918,-13.90000057220459,25.07708239898549,,903d185fccf839df
1494341469548,11.90000057220459,-17.600000381469727,-13.5,25.171810138223385,,903d185fccf839df
1494341469576,12.5,-17.600000381469727,-13.5,25.460950684639116,,903d185fccf839df
1494341469637,14.100000381469727,-17.5,-12.90000057220459,25.91273879269193,,903d185fccf839df
1494341469657,14.600000381469727,-17.5,-12.90000057220459,26.188165697181002,,903d185fccf839df
1494341469697,15.5,-17.600000381469727,-12.90000057220459,26.76602377430244,,903d185fccf839df
1494341469738,16.200000762939453,-17.600000381469727,-12.90000057220459,27.177381434669304,,903d185fccf839df
1494341469777,16.899999618530273,-17.700000762939453,-12.800000190734863,27.617748568823313,,903d185fccf839df
1494341469818,17.600000381469727,-17.600000381469727,-13,28.0805986319959,,903d185fccf839df
1494341469858,18.100000381469727,-17.200000762939453,-13,28.150489209330082,,903d185fccf839df
1494341469896,18.5,-16.600000381469727,-13.300000190734863,28.190423851872858,,903d185fccf839df
1494341469957,18.700000762939453,-14,-16.5,28.599650923726053,,903d185fccf839df
1494341469977,19.100000381469727,-12.100000381469727,-17.200000762939453,28.408802484331332,,903d185fccf839df
1494341470027,19.600000381469727,-9.5,-17.600000381469727,28.003035789494938,,903d185fccf839df
1494341470057,19.5,-8.40000057220459,-18.30000114440918,28.030341738612435,,903d185fccf839df
1494341470097,19.200000762939453,-7.400000095367432,-19.5,28.34872160759049,,903d185fccf839df
1494341470137,19.80000114440918,-6.700000286102295,-20.700000762939453,29.418022758485975,,903d185fccf839df
1494341470177,19.899999618530273,-6.300000190734863,-20.5,29.256622868838658,,903d185fccf839df
1494341470227,19.80000114440918,-5.900000095367432,-20.899999618530273,29.38809347328242,,903d185fccf839df
1494341470257,20,-5.200000286102295,-21.200000762939453,29.605405516254297,,903d185fccf839df
1494341470296,19.80000114440918,-4.200000286102295,-21.30000114440918,29.383160240917046,,903d185fccf839df
1494341470347,19.30000114440918,-3.200000047683716,-21.80000114440918,29.291126698436422,,903d185fccf839df
1494341470367,19,-3,-22.200000762939453,29.37413874236092,,903d185fccf839df
1494341470418,18.399999618530273,-2.6000001430511475,-22.899999618530273,29.491184638953452,,903d185fccf839df
1494341470457,17.700000762939453,-2.4000000953674316,-23.200000762939453,29.279516569795224,,903d185fccf839df
1494341470508,16.700000762939453,-2.1000001430511475,-23.600000381469727,28.987239216975805,,903d185fccf839df
1494341470567,15.40000057220459,-2.299999952316284,-24,28.60856548103647,,903d185fccf839df
1494341470618,14.800000190734863,-2.5,-24.30000114440918,28.56186373145935,,903d185fccf839df
1494341470657,14.40000057220459,-2.5,-24.80000114440918,28.786282409016287,,903d185fccf839df
1494341470697,14,-2.5,-25,28.76195403653931,,903d185fccf839df
1494341470747,13.90000057220459,-2.5,-24.899999618530273,28.626386983660396,,903d185fccf839df
1494341470787,13.90000057220459,-2.6000001430511475,-25,28.722291389761633,,903d185fccf839df
1494341470827,13.800000190734863,-2.9000000953674316,-25,28.702787377578726,,903d185fccf839df
1494341470857,13.800000190734863,-2.9000000953674316,-25.100000381469727,28.78992902054671,,903d185fccf839df
1494341470897,13.5,-3.299999952316284,-25.200000762939453,28.778117354200717,,903d185fccf839df
1494341470947,13.199999809265137,-4,-25,28.552407783484302,,903d185fccf839df
1494341470979,13,-4.5,-25.100000381469727,28.622718420262338,,903d185fccf839df
1494341471017,12.600000381469727,-5.099999904632568,-25.200000762939453,28.63232521381486,,903d185fccf839df
1494341471057,12.100000381469727,-5.700000286102295,-25.200000762939453,28.5296344947333,,903d185fccf839df
1494341471097,11.5,-6.400000095367432,-25.30000114440918,28.518416695002458,,903d185fccf839df
1494341471146,10.600000381469727,-7.300000190734863,-25.5,28.563963470696315,,903d185fccf839df
1494341471178,10.199999809265137,-7.800000190734863,-25.30000114440918,28.37199473325841,,903d185fccf839df
1494341471217,9.90000057220459,-8.40000057220459,-25.200000762939453,28.34801689087806,,903d185fccf839df
