timestamp, light1, light2, light3, UUID 
1508508697307,2331,7544,2331,,b152918cb29dbf4
1508508697307,2331,7544,2331,,b152918cb29dbf4
1508508697524,2280,7608,2280,,b152918cb29dbf4
1508508697725,2297,7608,2297,,b152918cb29dbf4
1508508697843,2220,7610,2220,,b152918cb29dbf4
1508508697843,2220,7610,2220,,b152918cb29dbf4
1508508698022,2127,7595,2127,,b152918cb29dbf4
1508508698022,2127,7595,2127,,b152918cb29dbf4
1508508698202,2022,7550,2022,,b152918cb29dbf4
1508508698202,2022,7550,2022,,b152918cb29dbf4
1508508698384,2188,7557,2188,,b152918cb29dbf4
1508508698384,2188,7557,2188,,b152918cb29dbf4
1508508698568,2019,7507,2019,,b152918cb29dbf4
1508508698742,2073,7513,2073,,b152918cb29dbf4
1508508698742,2073,7513,2073,,b152918cb29dbf4
1508508698923,2123,7543,2123,,b152918cb29dbf4
1508508698923,2123,7543,2123,,b152918cb29dbf4
1508508699102,2040,7510,2040,,b152918cb29dbf4
1508508699102,2040,7510,2040,,b152918cb29dbf4
1508508699282,1776,7347,1776,,b152918cb29dbf4
1508508699282,1776,7347,1776,,b152918cb29dbf4
1508508699463,1923,7388,1923,,b152918cb29dbf4
1508508699463,1923,7388,1923,,b152918cb29dbf4
1508508699642,2103,7431,2103,,b152918cb29dbf4
1508508699823,2020,7456,2020,,b152918cb29dbf4
1508508699823,2020,7456,2020,,b152918cb29dbf4
1508508700002,1860,7401,1860,,b152918cb29dbf4
1508508700002,1860,7401,1860,,b152918cb29dbf4
1508508700182,1924,7512,1924,,b152918cb29dbf4
1508508700182,1924,7512,1924,,b152918cb29dbf4
1508508700362,2117,7548,2117,,b152918cb29dbf4
1508508700362,2117,7548,2117,,b152918cb29dbf4
1508508700545,2114,7419,2114,,b152918cb29dbf4
1508508700724,1981,7445,1981,,b152918cb29dbf4
1508508700724,1981,7445,1981,,b152918cb29dbf4
1508508700903,1925,7474,1925,,b152918cb29dbf4
1508508700903,1925,7474,1925,,b152918cb29dbf4
1508508701086,1957,7398,1957,,b152918cb29dbf4
1508508701086,1957,7398,1957,,b152918cb29dbf4
1508508701267,1907,7406,1907,,b152918cb29dbf4
1508508701267,1907,7406,1907,,b152918cb29dbf4
1508508701445,1973,7461,1973,,b152918cb29dbf4
1508508701623,1985,7355,1985,,b152918cb29dbf4
1508508701623,1985,7355,1985,,b152918cb29dbf4
1508508701805,1996,7397,1996,,b152918cb29dbf4
1508508701805,1996,7397,1996,,b152918cb29dbf4
1508508701982,1933,7432,1933,,b152918cb29dbf4
1508508701982,1933,7432,1933,,b152918cb29dbf4
1508508702162,1862,7568,1862,,b152918cb29dbf4
1508508702342,1617,7583,1617,,b152918cb29dbf4
1508508702342,1617,7583,1617,,b152918cb29dbf4
1508508702526,1536,7601,1536,,b152918cb29dbf4
1508508702526,1536,7601,1536,,b152918cb29dbf4
1508508702702,1500,7577,1500,,b152918cb29dbf4
1508508702702,1500,7577,1500,,b152918cb29dbf4
1508508702882,1619,7528,1619,,b152918cb29dbf4
1508508702882,1619,7528,1619,,b152918cb29dbf4
1508508703067,1791,7429,1791,,b152918cb29dbf4
1508508703243,1896,7331,1896,,b152918cb29dbf4
1508508703243,1896,7331,1896,,b152918cb29dbf4
1508508703423,1840,7183,1840,,b152918cb29dbf4
1508508703423,1840,7183,1840,,b152918cb29dbf4
1508508703611,1882,7253,1882,,b152918cb29dbf4
1508508703611,1882,7253,1882,,b152918cb29dbf4
1508508703787,1922,7157,1922,,b152918cb29dbf4
1508508703787,1922,7157,1922,,b152918cb29dbf4
1508508703962,1951,7091,1951,,b152918cb29dbf4
1508508703962,1951,7091,1951,,b152918cb29dbf4
1508508704156,2017,7093,2017,,b152918cb29dbf4
1508508704323,1916,7139,1916,,b152918cb29dbf4
1508508704323,1916,7139,1916,,b152918cb29dbf4
1508508704502,1830,7079,1830,,b152918cb29dbf4
1508508704502,1830,7079,1830,,b152918cb29dbf4
1508508704682,1925,7076,1925,,b152918cb29dbf4
1508508704682,1925,7076,1925,,b152918cb29dbf4
1508508704862,1960,7057,1960,,b152918cb29dbf4
1508508704862,1960,7057,1960,,b152918cb29dbf4
1508508705045,1976,6989,1976,,b152918cb29dbf4
1508508705235,1925,6974,1925,,b152918cb29dbf4
1508508705235,1925,6974,1925,,b152918cb29dbf4
1508508705402,1754,7041,1754,,b152918cb29dbf4
1508508705402,1754,7041,1754,,b152918cb29dbf4
1508508705583,1760,7071,1760,,b152918cb29dbf4
1508508705583,1760,7071,1760,,b152918cb29dbf4
1508508705763,1856,7052,1856,,b152918cb29dbf4
