timestamp, light1, light2, light3, UUID 
1494318055452,6240,6079,6240,,903d185fccf839df
1494318055452,6240,6079,6240,,903d185fccf839df
1494318055628,6693,6072,6693,,903d185fccf839df
1494318055628,6693,6072,6693,,903d185fccf839df
1494318055628,6693,6072,6693,,903d185fccf839df
1494318055821,6789,6066,6789,,903d185fccf839df
1494318055821,6789,6066,6789,,903d185fccf839df
1494318055821,6789,6066,6789,,903d185fccf839df
1494318055989,6733,6073,6733,,903d185fccf839df
1494318055989,6733,6073,6733,,903d185fccf839df
1494318055989,6733,6073,6733,,903d185fccf839df
1494318055989,6733,6073,6733,,903d185fccf839df
1494318056166,6754,6076,6754,,903d185fccf839df
1494318056166,6754,6076,6754,,903d185fccf839df
1494318056166,6754,6076,6754,,903d185fccf839df
1494318056166,6754,6076,6754,,903d185fccf839df
1494318056347,6316,6100,6316,,903d185fccf839df
1494318056347,6316,6100,6316,,903d185fccf839df
1494318056347,6316,6100,6316,,903d185fccf839df
1494318056347,6316,6100,6316,,903d185fccf839df
1494318056526,5816,6131,5816,,903d185fccf839df
1494318056526,5816,6131,5816,,903d185fccf839df
1494318056526,5816,6131,5816,,903d185fccf839df
1494318056708,5374,6161,5374,,903d185fccf839df
1494318056708,5374,6161,5374,,903d185fccf839df
1494318056708,5374,6161,5374,,903d185fccf839df
1494318056886,5271,6171,5271,,903d185fccf839df
1494318056886,5271,6171,5271,,903d185fccf839df
1494318056886,5271,6171,5271,,903d185fccf839df
1494318056886,5271,6171,5271,,903d185fccf839df
1494318057068,5323,6170,5323,,903d185fccf839df
1494318057068,5323,6170,5323,,903d185fccf839df
1494318057068,5323,6170,5323,,903d185fccf839df
1494318057068,5323,6170,5323,,903d185fccf839df
1494318057247,6124,6126,6124,,903d185fccf839df
1494318057247,6124,6126,6124,,903d185fccf839df
1494318057247,6124,6126,6124,,903d185fccf839df
1494318057247,6124,6126,6124,,903d185fccf839df
1494318057426,6333,6107,6333,,903d185fccf839df
1494318057426,6333,6107,6333,,903d185fccf839df
1494318057426,6333,6107,6333,,903d185fccf839df
1494318057609,6507,6095,6507,,903d185fccf839df
1494318057609,6507,6095,6507,,903d185fccf839df
1494318057609,6507,6095,6507,,903d185fccf839df
1494318057786,6915,6067,6915,,903d185fccf839df
1494318057786,6915,6067,6915,,903d185fccf839df
1494318057786,6915,6067,6915,,903d185fccf839df
1494318057786,6915,6067,6915,,903d185fccf839df
1494318057971,7810,6025,7810,,903d185fccf839df
1494318057971,7810,6025,7810,,903d185fccf839df
1494318057971,7810,6025,7810,,903d185fccf839df
1494318057971,7810,6025,7810,,903d185fccf839df
1494318058150,8544,6005,8544,,903d185fccf839df
1494318058150,8544,6005,8544,,903d185fccf839df
1494318058150,8544,6005,8544,,903d185fccf839df
1494318058330,8344,5990,8344,,903d185fccf839df
1494318058330,8344,5990,8344,,903d185fccf839df
1494318058330,8344,5990,8344,,903d185fccf839df
1494318058330,8344,5990,8344,,903d185fccf839df
1494318058510,8324,5967,8324,,903d185fccf839df
1494318058510,8324,5967,8324,,903d185fccf839df
1494318058510,8324,5967,8324,,903d185fccf839df
1494318058686,8662,5956,8662,,903d185fccf839df
1494318058686,8662,5956,8662,,903d185fccf839df
1494318058686,8662,5956,8662,,903d185fccf839df
1494318058686,8662,5956,8662,,903d185fccf839df
1494318058866,8454,5946,8454,,903d185fccf839df
1494318058866,8454,5946,8454,,903d185fccf839df
1494318058866,8454,5946,8454,,903d185fccf839df
1494318058866,8454,5946,8454,,903d185fccf839df
1494318059047,8005,5967,8005,,903d185fccf839df
1494318059047,8005,5967,8005,,903d185fccf839df
1494318059047,8005,5967,8005,,903d185fccf839df
1494318059228,8800,5961,8800,,903d185fccf839df
1494318059228,8800,5961,8800,,903d185fccf839df
1494318059228,8800,5961,8800,,903d185fccf839df
1494318059228,8800,5961,8800,,903d185fccf839df
1494318059406,8541,5961,8541,,903d185fccf839df
1494318059406,8541,5961,8541,,903d185fccf839df
1494318059406,8541,5961,8541,,903d185fccf839df
1494318059586,8266,5951,8266,,903d185fccf839df
1494318059586,8266,5951,8266,,903d185fccf839df
1494318059586,8266,5951,8266,,903d185fccf839df
1494318059586,8266,5951,8266,,903d185fccf839df
1494318059768,7850,5931,7850,,903d185fccf839df
1494318059768,7850,5931,7850,,903d185fccf839df
1494318059768,7850,5931,7850,,903d185fccf839df
1494318059768,7850,5931,7850,,903d185fccf839df
1494318059947,7646,5942,7646,,903d185fccf839df
1494318059947,7646,5942,7646,,903d185fccf839df
1494318059947,7646,5942,7646,,903d185fccf839df
1494318060127,7944,5944,7944,,903d185fccf839df
1494318060127,7944,5944,7944,,903d185fccf839df
1494318060127,7944,5944,7944,,903d185fccf839df
1494318060127,7944,5944,7944,,903d185fccf839df
1494318060306,8301,5962,8301,,903d185fccf839df
1494318060306,8301,5962,8301,,903d185fccf839df
1494318060306,8301,5962,8301,,903d185fccf839df
1494318060306,8301,5962,8301,,903d185fccf839df
1494318060489,7449,5997,7449,,903d185fccf839df
1494318060489,7449,5997,7449,,903d185fccf839df
1494318060489,7449,5997,7449,,903d185fccf839df
1494318060667,8103,5966,8103,,903d185fccf839df
1494318060667,8103,5966,8103,,903d185fccf839df
1494318060667,8103,5966,8103,,903d185fccf839df
1494318060667,8103,5966,8103,,903d185fccf839df
1494318060847,9076,5960,9076,,903d185fccf839df
1494318060847,9076,5960,9076,,903d185fccf839df
1494318060847,9076,5960,9076,,903d185fccf839df
1494318061027,10084,5962,10084,,903d185fccf839df
1494318061027,10084,5962,10084,,903d185fccf839df
1494318061027,10084,5962,10084,,903d185fccf839df
1494318061206,10694,5991,10694,,903d185fccf839df
1494318061206,10694,5991,10694,,903d185fccf839df
1494318061206,10694,5991,10694,,903d185fccf839df
1494318061387,11069,6056,11069,,903d185fccf839df
1494318061387,11069,6056,11069,,903d185fccf839df
1494318061387,11069,6056,11069,,903d185fccf839df
1494318061387,11069,6056,11069,,903d185fccf839df
1494318061571,10923,6050,10923,,903d185fccf839df
1494318061571,10923,6050,10923,,903d185fccf839df
1494318061571,10923,6050,10923,,903d185fccf839df
1494318061571,10923,6050,10923,,903d185fccf839df
1494318061747,10940,6098,10940,,903d185fccf839df
1494318061747,10940,6098,10940,,903d185fccf839df
1494318061747,10940,6098,10940,,903d185fccf839df
1494318061747,10940,6098,10940,,903d185fccf839df
1494318061927,11001,6067,11001,,903d185fccf839df
1494318061927,11001,6067,11001,,903d185fccf839df
1494318061927,11001,6067,11001,,903d185fccf839df
1494318062107,10950,6045,10950,,903d185fccf839df
1494318062107,10950,6045,10950,,903d185fccf839df
1494318062107,10950,6045,10950,,903d185fccf839df
1494318062287,11063,6086,11063,,903d185fccf839df
1494318062287,11063,6086,11063,,903d185fccf839df
1494318062287,11063,6086,11063,,903d185fccf839df
1494318062287,11063,6086,11063,,903d185fccf839df
1494318062467,10876,6076,10876,,903d185fccf839df
1494318062467,10876,6076,10876,,903d185fccf839df
1494318062467,10876,6076,10876,,903d185fccf839df
1494318062467,10876,6076,10876,,903d185fccf839df
1494318062651,10742,6066,10742,,903d185fccf839df
1494318062651,10742,6066,10742,,903d185fccf839df
1494318062651,10742,6066,10742,,903d185fccf839df
1494318062651,10742,6066,10742,,903d185fccf839df
1494318062827,10716,6089,10716,,903d185fccf839df
1494318062827,10716,6089,10716,,903d185fccf839df
1494318062827,10716,6089,10716,,903d185fccf839df
1494318063008,10799,6050,10799,,903d185fccf839df
1494318063008,10799,6050,10799,,903d185fccf839df
1494318063008,10799,6050,10799,,903d185fccf839df
1494318063187,10693,6020,10693,,903d185fccf839df
1494318063187,10693,6020,10693,,903d185fccf839df
1494318063187,10693,6020,10693,,903d185fccf839df
1494318063187,10693,6020,10693,,903d185fccf839df
1494318063367,10162,6049,10162,,903d185fccf839df
1494318063367,10162,6049,10162,,903d185fccf839df
1494318063367,10162,6049,10162,,903d185fccf839df
1494318063367,10162,6049,10162,,903d185fccf839df
1494318063549,10069,6018,10069,,903d185fccf839df
1494318063549,10069,6018,10069,,903d185fccf839df
1494318063549,10069,6018,10069,,903d185fccf839df
1494318063727,9727,6022,9727,,903d185fccf839df
1494318063727,9727,6022,9727,,903d185fccf839df
1494318063727,9727,6022,9727,,903d185fccf839df
1494318063727,9727,6022,9727,,903d185fccf839df
1494318063909,8445,6010,8445,,903d185fccf839df
1494318063909,8445,6010,8445,,903d185fccf839df
1494318063909,8445,6010,8445,,903d185fccf839df
1494318064087,8019,6008,8019,,903d185fccf839df
1494318064087,8019,6008,8019,,903d185fccf839df
1494318064087,8019,6008,8019,,903d185fccf839df
1494318064087,8019,6008,8019,,903d185fccf839df
1494318064269,7633,6071,7633,,903d185fccf839df
1494318064269,7633,6071,7633,,903d185fccf839df
1494318064269,7633,6071,7633,,903d185fccf839df
1494318064269,7633,6071,7633,,903d185fccf839df
1494318064448,7825,6096,7825,,903d185fccf839df
1494318064448,7825,6096,7825,,903d185fccf839df
1494318064448,7825,6096,7825,,903d185fccf839df
1494318064448,7825,6096,7825,,903d185fccf839df
1494318064627,7767,6109,7767,,903d185fccf839df
1494318064627,7767,6109,7767,,903d185fccf839df
1494318064627,7767,6109,7767,,903d185fccf839df
1494318064627,7767,6109,7767,,903d185fccf839df
1494318064808,7870,6096,7870,,903d185fccf839df
1494318064808,7870,6096,7870,,903d185fccf839df
1494318064808,7870,6096,7870,,903d185fccf839df
1494318064986,7922,6043,7922,,903d185fccf839df
1494318064986,7922,6043,7922,,903d185fccf839df
1494318064986,7922,6043,7922,,903d185fccf839df
1494318065167,7681,6032,7681,,903d185fccf839df
1494318065167,7681,6032,7681,,903d185fccf839df
1494318065167,7681,6032,7681,,903d185fccf839df
1494318065346,8016,6008,8016,,903d185fccf839df
1494318065346,8016,6008,8016,,903d185fccf839df
1494318065346,8016,6008,8016,,903d185fccf839df
1494318065346,8016,6008,8016,,903d185fccf839df
1494318065527,8108,6017,8108,,903d185fccf839df
1494318065527,8108,6017,8108,,903d185fccf839df
1494318065527,8108,6017,8108,,903d185fccf839df
1494318065527,8108,6017,8108,,903d185fccf839df
1494318065708,8073,6053,8073,,903d185fccf839df
1494318065708,8073,6053,8073,,903d185fccf839df
1494318065708,8073,6053,8073,,903d185fccf839df
1494318065887,8020,6022,8020,,903d185fccf839df
1494318065887,8020,6022,8020,,903d185fccf839df
1494318065887,8020,6022,8020,,903d185fccf839df
1494318065887,8020,6022,8020,,903d185fccf839df
1494318066071,7872,5993,7872,,903d185fccf839df
1494318066071,7872,5993,7872,,903d185fccf839df
1494318066071,7872,5993,7872,,903d185fccf839df
1494318066071,7872,5993,7872,,903d185fccf839df
1494318066247,7723,6006,7723,,903d185fccf839df
1494318066247,7723,6006,7723,,903d185fccf839df
1494318066247,7723,6006,7723,,903d185fccf839df
1494318066247,7723,6006,7723,,903d185fccf839df
1494318066426,7848,6031,7848,,903d185fccf839df
1494318066426,7848,6031,7848,,903d185fccf839df
1494318066426,7848,6031,7848,,903d185fccf839df
1494318066426,7848,6031,7848,,903d185fccf839df
1494318066607,8078,6031,8078,,903d185fccf839df
1494318066607,8078,6031,8078,,903d185fccf839df
1494318066789,7994,6027,7994,,903d185fccf839df
1494318066789,7994,6027,7994,,903d185fccf839df
1494318066789,7994,6027,7994,,903d185fccf839df
1494318066789,7994,6027,7994,,903d185fccf839df
1494318066967,7779,6010,7779,,903d185fccf839df
1494318066967,7779,6010,7779,,903d185fccf839df
1494318066967,7779,6010,7779,,903d185fccf839df
1494318066967,7779,6010,7779,,903d185fccf839df
1494318067147,7454,5966,7454,,903d185fccf839df
1494318067147,7454,5966,7454,,903d185fccf839df
1494318067147,7454,5966,7454,,903d185fccf839df
1494318067328,6794,5994,6794,,903d185fccf839df
1494318067328,6794,5994,6794,,903d185fccf839df
1494318067328,6794,5994,6794,,903d185fccf839df
1494318067328,6794,5994,6794,,903d185fccf839df
1494318067508,7484,5971,7484,,903d185fccf839df
1494318067508,7484,5971,7484,,903d185fccf839df
1494318067508,7484,5971,7484,,903d185fccf839df
1494318067508,7484,5971,7484,,903d185fccf839df
1494318067689,6687,6002,6687,,903d185fccf839df
1494318067689,6687,6002,6687,,903d185fccf839df
1494318067689,6687,6002,6687,,903d185fccf839df
1494318067867,6907,6004,6907,,903d185fccf839df
1494318067867,6907,6004,6907,,903d185fccf839df
1494318067867,6907,6004,6907,,903d185fccf839df
1494318067867,6907,6004,6907,,903d185fccf839df
1494318068047,6744,5968,6744,,903d185fccf839df
1494318068047,6744,5968,6744,,903d185fccf839df
1494318068047,6744,5968,6744,,903d185fccf839df
1494318068227,6418,5978,6418,,903d185fccf839df
1494318068227,6418,5978,6418,,903d185fccf839df
1494318068227,6418,5978,6418,,903d185fccf839df
1494318068227,6418,5978,6418,,903d185fccf839df
1494318068407,6300,5994,6300,,903d185fccf839df
