timestamp, light1, light2, light3, UUID 
1494403522088,3037,8108,3037,,903d185fccf839df
1494403523707,2731,8527,2731,,903d185fccf839df
1494403523890,2661,8644,2661,,903d185fccf839df
1494403523890,2661,8644,2661,,903d185fccf839df
1494403524091,2731,8527,2731,,903d185fccf839df
1494403524091,2731,8527,2731,,903d185fccf839df
1494403524248,2915,8439,2915,,903d185fccf839df
1494403524248,2915,8439,2915,,903d185fccf839df
1494403524429,2944,8562,2944,,903d185fccf839df
1494403524429,2944,8562,2944,,903d185fccf839df
1494403524607,2915,8439,2915,,903d185fccf839df
1494403524787,2915,8439,2915,,903d185fccf839df
1494403524787,2915,8439,2915,,903d185fccf839df
1494403524973,2944,8562,2944,,903d185fccf839df
1494403524973,2944,8562,2944,,903d185fccf839df
1494403525327,2943,8221,2943,,903d185fccf839df
1494403525327,2943,8221,2943,,903d185fccf839df
1494403525327,2943,8221,2943,,903d185fccf839df
1494403525508,3155,8271,3155,,903d185fccf839df
1494403525687,3283,8403,3283,,903d185fccf839df
1494403525687,3283,8403,3283,,903d185fccf839df
1494403525869,3254,8294,3254,,903d185fccf839df
1494403525869,3254,8294,3254,,903d185fccf839df
1494403526048,5736,6893,5736,,903d185fccf839df
1494403526048,5736,6893,5736,,903d185fccf839df
1494403526229,3211,8186,3211,,903d185fccf839df
1494403526229,3211,8186,3211,,903d185fccf839df
1494403526408,6454,6640,6454,,903d185fccf839df
1494403526586,6003,6693,6003,,903d185fccf839df
1494403526586,6003,6693,6003,,903d185fccf839df
1494403526773,6101,6611,6101,,903d185fccf839df
1494403526773,6101,6611,6101,,903d185fccf839df
1494403526951,7484,6480,7484,,903d185fccf839df
1494403526951,7484,6480,7484,,903d185fccf839df
1494403527127,7880,6583,7880,,903d185fccf839df
1494403527127,7880,6583,7880,,903d185fccf839df
1494403527308,12588,7538,12588,,903d185fccf839df
1494403527489,18769,6489,18769,,903d185fccf839df
1494403527489,18769,6489,18769,,903d185fccf839df
1494403527674,27189,5960,27189,,903d185fccf839df
1494403527674,27189,5960,27189,,903d185fccf839df
1494403527848,3808,8762,3808,,903d185fccf839df
1494403527848,3808,8762,3808,,903d185fccf839df
1494403528027,3325,8511,3325,,903d185fccf839df
1494403528027,3325,8511,3325,,903d185fccf839df
1494403528213,3396,8421,3396,,903d185fccf839df
1494403528387,3496,8737,3496,,903d185fccf839df
1494403528387,3496,8737,3496,,903d185fccf839df
1494403528571,3325,8511,3325,,903d185fccf839df
1494403528571,3325,8511,3325,,903d185fccf839df
1494403528747,3467,8632,3467,,903d185fccf839df
1494403528747,3467,8632,3467,,903d185fccf839df
1494403528929,3666,8655,3666,,903d185fccf839df
1494403528929,3666,8655,3666,,903d185fccf839df
1494403529107,3779,8665,3779,,903d185fccf839df
1494403529288,4276,8966,4276,,903d185fccf839df
1494403529288,4276,8966,4276,,903d185fccf839df
1494403529472,4248,9143,4248,,903d185fccf839df
1494403529472,4248,9143,4248,,903d185fccf839df
1494403529647,4077,8961,4077,,903d185fccf839df
1494403529647,4077,8961,4077,,903d185fccf839df
1494403529827,4077,8961,4077,,903d185fccf839df
1494403529827,4077,8961,4077,,903d185fccf839df
1494403530009,4176,8964,4176,,903d185fccf839df
1494403530187,4276,8966,4276,,903d185fccf839df
1494403530187,4276,8966,4276,,903d185fccf839df
1494403530372,21799,6488,21799,,903d185fccf839df
1494403530372,21799,6488,21799,,903d185fccf839df
1494403530555,12351,6988,12351,,903d185fccf839df
1494403530555,12351,6988,12351,,903d185fccf839df
1494403530728,5557,7685,5557,,903d185fccf839df
1494403530728,5557,7685,5557,,903d185fccf839df
1494403530907,4245,8383,4245,,903d185fccf839df
1494403531090,4147,8614,4147,,903d185fccf839df
1494403531090,4147,8614,4147,,903d185fccf839df
1494403531272,4076,8694,4076,,903d185fccf839df
1494403531272,4076,8694,4076,,903d185fccf839df
1494403531447,4075,8439,4075,,903d185fccf839df
1494403531447,4075,8439,4075,,903d185fccf839df
1494403531627,4485,8269,4485,,903d185fccf839df
1494403531627,4485,8269,4485,,903d185fccf839df
1494403531811,4175,8453,4175,,903d185fccf839df
1494403531987,4527,8132,4527,,903d185fccf839df
1494403531987,4527,8132,4527,,903d185fccf839df
1494403532167,4485,8269,4485,,903d185fccf839df
1494403532167,4485,8269,4485,,903d185fccf839df
1494403532348,4216,8299,4216,,903d185fccf839df
1494403532348,4216,8299,4216,,903d185fccf839df
1494403532529,4654,8021,4654,,903d185fccf839df
1494403532529,4654,8021,4654,,903d185fccf839df
1494403532707,4795,7919,4795,,903d185fccf839df
1494403532887,4554,8000,4554,,903d185fccf839df
1494403532887,4554,8000,4554,,903d185fccf839df
1494403533069,4894,7940,4894,,903d185fccf839df
1494403533069,4894,7940,4894,,903d185fccf839df
1494403533247,4865,7871,4865,,903d185fccf839df
1494403533247,4865,7871,4865,,903d185fccf839df
1494403533429,4864,7688,4864,,903d185fccf839df
1494403533429,4864,7688,4864,,903d185fccf839df
1494403533614,5217,7655,5217,,903d185fccf839df
1494403533787,5145,7366,5145,,903d185fccf839df
1494403533787,5145,7366,5145,,903d185fccf839df
1494403533969,5314,7361,5314,,903d185fccf839df
1494403533969,5314,7361,5314,,903d185fccf839df
1494403534153,5076,7736,5076,,903d185fccf839df
1494403534153,5076,7736,5076,,903d185fccf839df
1494403534329,4737,7777,4737,,903d185fccf839df
1494403534329,4737,7777,4737,,903d185fccf839df
1494403534507,4948,7645,4948,,903d185fccf839df
1494403534688,5006,7779,5006,,903d185fccf839df
1494403534688,5006,7779,5006,,903d185fccf839df
1494403534871,4497,7849,4497,,903d185fccf839df
1494403534871,4497,7849,4497,,903d185fccf839df
1494403535055,4809,7919,4809,,903d185fccf839df
1494403535055,4809,7919,4809,,903d185fccf839df
1494403535228,4498,8055,4498,,903d185fccf839df
1494403535228,4498,8055,4498,,903d185fccf839df
1494403535408,4525,7726,4525,,903d185fccf839df
1494403535592,4933,7473,4933,,903d185fccf839df
1494403535592,4933,7473,4933,,903d185fccf839df
1494403535768,4736,7592,4736,,903d185fccf839df
1494403535768,4736,7592,4736,,903d185fccf839df
1494403535947,4256,7720,4256,,903d185fccf839df
1494403535947,4256,7720,4256,,903d185fccf839df
1494403536129,4299,7798,4299,,903d185fccf839df
1494403536129,4299,7798,4299,,903d185fccf839df
1494403536308,4496,7652,4496,,903d185fccf839df
1494403536487,3919,8244,3919,,903d185fccf839df
1494403536487,3919,8244,3919,,903d185fccf839df
1494403536668,3693,8471,3693,,903d185fccf839df
1494403536668,3693,8471,3693,,903d185fccf839df
1494403536850,3808,8762,3808,,903d185fccf839df
1494403536850,3808,8762,3808,,903d185fccf839df
1494403537027,3737,8854,3737,,903d185fccf839df
1494403537027,3737,8854,3737,,903d185fccf839df
1494403537211,3779,8665,3779,,903d185fccf839df
1494403537388,3736,8568,3736,,903d185fccf839df
1494403537388,3736,8568,3736,,903d185fccf839df
1494403537568,3666,8655,3666,,903d185fccf839df
1494403537568,3666,8655,3666,,903d185fccf839df
1494403537748,3736,8568,3736,,903d185fccf839df
1494403537748,3736,8568,3736,,903d185fccf839df
1494403537930,4119,8784,4119,,903d185fccf839df
1494403537930,4119,8784,4119,,903d185fccf839df
1494403538111,4148,8874,4148,,903d185fccf839df
1494403538288,4529,8572,4529,,903d185fccf839df
1494403538288,4529,8572,4529,,903d185fccf839df
1494403538470,4529,8572,4529,,903d185fccf839df
1494403538470,4529,8572,4529,,903d185fccf839df
1494403538655,4147,8614,4147,,903d185fccf839df
1494403538655,4147,8614,4147,,903d185fccf839df
1494403538835,4655,8226,4655,,903d185fccf839df
1494403538835,4655,8226,4655,,903d185fccf839df
1494403539007,5007,7961,5007,,903d185fccf839df
1494403539188,4667,7824,4667,,903d185fccf839df
1494403539188,4667,7824,4667,,903d185fccf839df
1494403539370,5118,7630,5118,,903d185fccf839df
1494403539370,5118,7630,5118,,903d185fccf839df
1494403539547,5076,7736,5076,,903d185fccf839df
1494403539547,5076,7736,5076,,903d185fccf839df
1494403539727,4497,7849,4497,,903d185fccf839df
1494403539727,4497,7849,4497,,903d185fccf839df
1494403539910,5527,7414,5527,,903d185fccf839df
1494403540087,4877,7511,4877,,903d185fccf839df
1494403540087,4877,7511,4877,,903d185fccf839df
1494403540270,5046,7337,5046,,903d185fccf839df
1494403540270,5046,7337,5046,,903d185fccf839df
1494403540447,5327,7210,5327,,903d185fccf839df
1494403540447,5327,7210,5327,,903d185fccf839df
1494403540627,5017,7273,5017,,903d185fccf839df
1494403540627,5017,7273,5017,,903d185fccf839df
1494403540808,5016,7116,5016,,903d185fccf839df
1494403541003,5338,6784,5338,,903d185fccf839df
1494403541003,5338,6784,5338,,903d185fccf839df
1494403541169,4605,6975,4605,,903d185fccf839df
1494403541169,4605,6975,4605,,903d185fccf839df
1494403541348,4294,6855,4294,,903d185fccf839df
1494403541348,4294,6855,4294,,903d185fccf839df
1494403541528,3982,6720,3982,,903d185fccf839df
1494403541528,3982,6720,3982,,903d185fccf839df
1494403541712,3432,6770,3432,,903d185fccf839df
1494403541888,3387,6288,3387,,903d185fccf839df
1494403541888,3387,6288,3387,,903d185fccf839df
1494403542070,2709,6083,2709,,903d185fccf839df
1494403542070,2709,6083,2709,,903d185fccf839df
1494403542249,2300,6226,2300,,903d185fccf839df
1494403542249,2300,6226,2300,,903d185fccf839df
1494403542428,1823,6196,1823,,903d185fccf839df
1494403542428,1823,6196,1823,,903d185fccf839df
1494403542607,1552,6021,1552,,903d185fccf839df
1494403542788,1556,5888,1556,,903d185fccf839df
1494403542788,1556,5888,1556,,903d185fccf839df
1494403542967,1460,5682,1460,,903d185fccf839df
1494403542967,1460,5682,1460,,903d185fccf839df
1494403543151,1296,5566,1296,,903d185fccf839df
1494403543151,1296,5566,1296,,903d185fccf839df
1494403543328,1431,5605,1431,,903d185fccf839df
1494403543328,1431,5605,1431,,903d185fccf839df
1494403543508,1350,5284,1350,,903d185fccf839df
1494403543508,1350,5284,1350,,903d185fccf839df
1494403543694,1235,5106,1235,,903d185fccf839df
1494403543869,1341,5049,1341,,903d185fccf839df
1494403543869,1341,5049,1341,,903d185fccf839df
1494403544047,1247,4934,1247,,903d185fccf839df
1494403544047,1247,4934,1247,,903d185fccf839df
1494403544234,1140,4896,1140,,903d185fccf839df
1494403544234,1140,4896,1140,,903d185fccf839df
1494403544408,1095,4994,1095,,903d185fccf839df
1494403544591,1068,4892,1068,,903d185fccf839df
1494403544591,1068,4892,1068,,903d185fccf839df
1494403544769,1012,4734,1012,,903d185fccf839df
1494403544769,1012,4734,1012,,903d185fccf839df
1494403544948,1105,4651,1105,,903d185fccf839df
1494403544948,1105,4651,1105,,903d185fccf839df
1494403545127,1194,4580,1194,,903d185fccf839df
1494403545127,1194,4580,1194,,903d185fccf839df
1494403545309,1105,4536,1105,,903d185fccf839df
1494403545494,1086,4558,1086,,903d185fccf839df
1494403545494,1086,4558,1086,,903d185fccf839df
1494403545668,1116,4532,1116,,903d185fccf839df
1494403545668,1116,4532,1116,,903d185fccf839df
1494403545848,1168,4501,1168,,903d185fccf839df
1494403545848,1168,4501,1168,,903d185fccf839df
1494403546028,1236,4555,1236,,903d185fccf839df
1494403546207,1307,4643,1307,,903d185fccf839df
1494403546207,1307,4643,1307,,903d185fccf839df
1494403546207,1307,4643,1307,,903d185fccf839df
1494403546396,1214,4668,1214,,903d185fccf839df
1494403546569,1244,4726,1244,,903d185fccf839df
1494403546569,1244,4726,1244,,903d185fccf839df
1494403546750,1310,4645,1310,,903d185fccf839df
1494403546750,1310,4645,1310,,903d185fccf839df
1494403546942,1253,4637,1253,,903d185fccf839df
1494403546942,1253,4637,1253,,903d185fccf839df
1494403547109,1442,4798,1442,,903d185fccf839df
1494403547289,1480,4849,1480,,903d185fccf839df
1494403547289,1480,4849,1480,,903d185fccf839df
1494403547471,1381,4894,1381,,903d185fccf839df
1494403547471,1381,4894,1381,,903d185fccf839df
1494403547648,1440,5101,1440,,903d185fccf839df
1494403547648,1440,5101,1440,,903d185fccf839df
1494403547833,1662,5337,1662,,903d185fccf839df
1494403547833,1662,5337,1662,,903d185fccf839df
1494403548010,1641,5366,1641,,903d185fccf839df
1494403548188,2369,5903,2369,,903d185fccf839df
1494403548188,2369,5903,2369,,903d185fccf839df
1494403548368,2420,6122,2420,,903d185fccf839df
1494403548368,2420,6122,2420,,903d185fccf839df
1494403548550,2304,6105,2304,,903d185fccf839df
1494403548550,2304,6105,2304,,903d185fccf839df
1494403548728,2856,6510,2856,,903d185fccf839df
1494403548728,2856,6510,2856,,903d185fccf839df
1494403548908,3528,6527,3528,,903d185fccf839df
1494403549088,3942,6404,3942,,903d185fccf839df
1494403549088,3942,6404,3942,,903d185fccf839df
1494403549271,5130,6414,5130,,903d185fccf839df
1494403549271,5130,6414,5130,,903d185fccf839df
1494403549454,5175,6432,5175,,903d185fccf839df
1494403549454,5175,6432,5175,,903d185fccf839df
1494403549629,5724,6390,5724,,903d185fccf839df
1494403549629,5724,6390,5724,,903d185fccf839df
1494403549809,6190,6493,6190,,903d185fccf839df
1494403549988,6714,6488,6714,,903d185fccf839df
1494403549988,6714,6488,6714,,903d185fccf839df
1494403550169,7464,6327,7464,,903d185fccf839df
1494403550169,7464,6327,7464,,903d185fccf839df
1494403550355,8024,6483,8024,,903d185fccf839df
1494403550355,8024,6483,8024,,903d185fccf839df
1494403550528,8139,6496,8139,,903d185fccf839df
1494403550528,8139,6496,8139,,903d185fccf839df
1494403550718,8483,6418,8483,,903d185fccf839df
1494403550887,8750,6537,8750,,903d185fccf839df
1494403550887,8750,6537,8750,,903d185fccf839df
1494403551070,13713,6415,13713,,903d185fccf839df
1494403551070,13713,6415,13713,,903d185fccf839df
