timestamp, light1, light2, light3, UUID 
1494829491119,1163,6770,1163,,903d185fccf839df
1494829491119,1163,6770,1163,,903d185fccf839df
1494829491312,1090,6673,1090,,903d185fccf839df
1494829491312,1090,6673,1090,,903d185fccf839df
1494829491493,1039,6598,1039,,903d185fccf839df
1494829491493,1039,6598,1039,,903d185fccf839df
1494829491658,1098,6843,1098,,903d185fccf839df
1494829491658,1098,6843,1098,,903d185fccf839df
1494829491838,1118,6946,1118,,903d185fccf839df
1494829491838,1118,6946,1118,,903d185fccf839df
1494829492020,977,6582,977,,903d185fccf839df
1494829492020,977,6582,977,,903d185fccf839df
1494829492243,1294,6274,1294,,903d185fccf839df
1494829492378,803,6111,803,,903d185fccf839df
1494829492378,803,6111,803,,903d185fccf839df
1494829492559,2723,5569,2723,,903d185fccf839df
1494829492559,2723,5569,2723,,903d185fccf839df
1494829492741,908,5263,908,,903d185fccf839df
1494829492741,908,5263,908,,903d185fccf839df
1494829492919,1257,5067,1257,,903d185fccf839df
1494829492919,1257,5067,1257,,903d185fccf839df
1494829493098,675,5057,675,,903d185fccf839df
1494829493278,742,5350,742,,903d185fccf839df
1494829493278,742,5350,742,,903d185fccf839df
1494829493466,1077,5107,1077,,903d185fccf839df
1494829493466,1077,5107,1077,,903d185fccf839df
1494829493644,621,4406,621,,903d185fccf839df
1494829493644,621,4406,621,,903d185fccf839df
1494829493818,1327,4414,1327,,903d185fccf839df
1494829493818,1327,4414,1327,,903d185fccf839df
1494829494013,1000,4596,1000,,903d185fccf839df
1494829494179,1306,3924,1306,,903d185fccf839df
1494829494179,1306,3924,1306,,903d185fccf839df
1494829494360,1392,3930,1392,,903d185fccf839df
1494829494360,1392,3930,1392,,903d185fccf839df
1494829494539,1612,3711,1612,,903d185fccf839df
1494829494539,1612,3711,1612,,903d185fccf839df
1494829494719,1834,3673,1834,,903d185fccf839df
1494829494719,1834,3673,1834,,903d185fccf839df
1494829494899,1687,3720,1687,,903d185fccf839df
1494829495082,1921,4088,1921,,903d185fccf839df
1494829495082,1921,4088,1921,,903d185fccf839df
1494829495258,3186,5179,3186,,903d185fccf839df
1494829495258,3186,5179,3186,,903d185fccf839df
