timestamp, light1, light2, light3, UUID 
1508506350097,2987,6898,2987,,b152918cb29dbf4
1508506350294,3048,6967,3048,,b152918cb29dbf4
1508506350444,3013,6981,3013,,b152918cb29dbf4
1508506350444,3013,6981,3013,,b152918cb29dbf4
1508506350715,3060,6989,3060,,b152918cb29dbf4
1508506350826,3039,6907,3039,,b152918cb29dbf4
1508506350985,3036,6879,3036,,b152918cb29dbf4
1508506350985,3036,6879,3036,,b152918cb29dbf4
1508506351166,3074,6887,3074,,b152918cb29dbf4
1508506351166,3074,6887,3074,,b152918cb29dbf4
1508506351351,3105,6936,3105,,b152918cb29dbf4
1508506351524,2963,6844,2963,,b152918cb29dbf4
1508506351524,2963,6844,2963,,b152918cb29dbf4
1508506351704,2934,6811,2934,,b152918cb29dbf4
1508506351704,2934,6811,2934,,b152918cb29dbf4
1508506351884,2949,6782,2949,,b152918cb29dbf4
1508506351884,2949,6782,2949,,b152918cb29dbf4
1508506352064,2996,6824,2996,,b152918cb29dbf4
1508506352064,2996,6824,2996,,b152918cb29dbf4
1508506353865,3095,6694,3095,,b152918cb29dbf4
1508506354044,3070,6805,3070,,b152918cb29dbf4
1508506354224,3855,6153,3855,,b152918cb29dbf4
1508506354586,3596,6100,3596,,b152918cb29dbf4
1508506354764,3915,5928,3915,,b152918cb29dbf4
1508506355306,3278,6340,3278,,b152918cb29dbf4
1508506355666,2749,6489,2749,,b152918cb29dbf4
1508506356386,3109,6234,3109,,b152918cb29dbf4
1508506356564,2837,6295,2837,,b152918cb29dbf4
1508506357285,2531,6371,2531,,b152918cb29dbf4
1508506357465,2887,6204,2887,,b152918cb29dbf4
1508506358365,1983,6430,1983,,b152918cb29dbf4
1508506358544,2408,6188,2408,,b152918cb29dbf4
1508506359449,2110,6002,2110,,b152918cb29dbf4
1508506359624,1822,6241,1822,,b152918cb29dbf4
1508506360345,1628,6551,1628,,b152918cb29dbf4
1508506361425,1761,6324,1761,,b152918cb29dbf4
1508506362325,2262,6475,2262,,b152918cb29dbf4
1508506362866,2201,6835,2201,,b152918cb29dbf4
1508506363409,2437,6751,2437,,b152918cb29dbf4
1508506363585,2254,6770,2254,,b152918cb29dbf4
1508506363945,2255,6604,2255,,b152918cb29dbf4
1508506364485,2452,6539,2452,,b152918cb29dbf4
1508506365386,2479,6236,2479,,b152918cb29dbf4
1508506366465,2849,6331,2849,,b152918cb29dbf4
1508506368086,3545,6307,3545,,b152918cb29dbf4
1508506368265,3390,6249,3390,,b152918cb29dbf4
1508506369345,3779,6131,3779,,b152918cb29dbf4
1508506369885,4225,6101,4225,,b152918cb29dbf4
1508506370245,4385,6046,4385,,b152918cb29dbf4
1508506371146,4115,6109,4115,,b152918cb29dbf4
1508506371325,4315,6048,4315,,b152918cb29dbf4
1508506372405,4286,5959,4286,,b152918cb29dbf4
1508506373306,5153,5625,5153,,b152918cb29dbf4
1508506374386,4205,5841,4205,,b152918cb29dbf4
1508506374565,4494,5881,4494,,b152918cb29dbf4
1508506375287,4477,6035,4477,,b152918cb29dbf4
1508506376368,3981,6559,3981,,b152918cb29dbf4
1508506376908,4003,6463,4003,,b152918cb29dbf4
1508506377985,3561,6721,3561,,b152918cb29dbf4
1508506378346,3566,6554,3566,,b152918cb29dbf4
1508506379425,3869,6145,3869,,b152918cb29dbf4
1508506379966,4024,6371,4024,,b152918cb29dbf4
1508506380325,4075,6088,4075,,b152918cb29dbf4
1508506381226,4260,6135,4260,,b152918cb29dbf4
1508506382128,3811,6285,3811,,b152918cb29dbf4
1508506383440,3330,6554,3330,,b152918cb29dbf4
1508506383566,3409,6427,3409,,b152918cb29dbf4
1508506384285,2944,6288,2944,,b152918cb29dbf4
1508506385365,3797,6332,3797,,b152918cb29dbf4
1508506385546,3475,6467,3475,,b152918cb29dbf4
1508506385726,3458,6522,3458,,b152918cb29dbf4
1508506385914,3979,6375,3979,,b152918cb29dbf4
1508506385914,3979,6375,3979,,b152918cb29dbf4
1508506386085,3906,6369,3906,,b152918cb29dbf4
1508506386085,3906,6369,3906,,b152918cb29dbf4
1508506387165,4484,6300,4484,,b152918cb29dbf4
1508506387165,4484,6300,4484,,b152918cb29dbf4
1508506387165,4484,6300,4484,,b152918cb29dbf4
1508506387344,3819,6561,3819,,b152918cb29dbf4
1508506387344,3819,6561,3819,,b152918cb29dbf4
1508506389326,2895,6620,2895,,b152918cb29dbf4
1508506389506,3531,6439,3531,,b152918cb29dbf4
1508506390406,2011,6928,2011,,b152918cb29dbf4
1508506390586,1849,6782,1849,,b152918cb29dbf4
1508506391305,1985,6503,1985,,b152918cb29dbf4
1508506391666,2142,6515,2142,,b152918cb29dbf4
1508506392387,1905,6493,1905,,b152918cb29dbf4
1508506393286,2179,6806,2179,,b152918cb29dbf4
1508506393650,2532,6580,2532,,b152918cb29dbf4
1508506395266,3026,6628,3026,,b152918cb29dbf4
1508506395448,3739,6408,3739,,b152918cb29dbf4
1508506396347,3627,6428,3627,,b152918cb29dbf4
1508506397248,3333,6558,3333,,b152918cb29dbf4
1508506397787,3495,6409,3495,,b152918cb29dbf4
1508506398327,2772,6466,2772,,b152918cb29dbf4
1508506399409,3669,6354,3669,,b152918cb29dbf4
1508506399766,3859,6432,3859,,b152918cb29dbf4
1508506399948,3939,6318,3939,,b152918cb29dbf4
1508506400307,2609,6499,2609,,b152918cb29dbf4
1508506400846,3365,6381,3365,,b152918cb29dbf4
1508506401387,3002,6454,3002,,b152918cb29dbf4
1508506402287,3060,6515,3060,,b152918cb29dbf4
1508506403368,2881,6552,2881,,b152918cb29dbf4
1508506403906,3604,6426,3604,,b152918cb29dbf4
1508506404267,3400,6519,3400,,b152918cb29dbf4
1508506405346,2710,6673,2710,,b152918cb29dbf4
1508506407147,3418,6159,3418,,b152918cb29dbf4
1508506407328,3113,6312,3113,,b152918cb29dbf4
1508506408407,2416,6269,2416,,b152918cb29dbf4
1508506409847,2328,6039,2328,,b152918cb29dbf4
1508506410388,1671,5902,1671,,b152918cb29dbf4
1508506410928,1926,5901,1926,,b152918cb29dbf4
1508506411288,1759,5884,1759,,b152918cb29dbf4
1508506412007,1848,6016,1848,,b152918cb29dbf4
1508506412191,1857,5992,1857,,b152918cb29dbf4
1508506413267,1555,5828,1555,,b152918cb29dbf4
1508506413450,1445,5853,1445,,b152918cb29dbf4
1508506414347,2182,6070,2182,,b152918cb29dbf4
1508506415248,3965,5816,3965,,b152918cb29dbf4
1508506415248,3965,5816,3965,,b152918cb29dbf4
1508506416146,5394,5433,5394,,b152918cb29dbf4
1508506417407,6524,5254,6524,,b152918cb29dbf4
1508506417588,5663,5343,5663,,b152918cb29dbf4
1508506417946,7227,5183,7227,,b152918cb29dbf4
1508506418307,7177,5051,7177,,b152918cb29dbf4
1508506418849,8240,4944,8240,,b152918cb29dbf4
1508506419388,7955,4987,7955,,b152918cb29dbf4
1508506420286,10179,4974,10179,,b152918cb29dbf4
1508506421187,14041,5293,14041,,b152918cb29dbf4
1508506421367,13078,5088,13078,,b152918cb29dbf4
1508506422267,12266,5017,12266,,b152918cb29dbf4
1508506423347,9191,5310,9191,,b152918cb29dbf4
1508506424430,7419,5442,7419,,b152918cb29dbf4
1508506424606,8139,5479,8139,,b152918cb29dbf4
1508506425329,4820,6157,4820,,b152918cb29dbf4
1508506426408,4211,6447,4211,,b152918cb29dbf4
1508506426587,4172,6392,4172,,b152918cb29dbf4
1508506427307,3734,6448,3734,,b152918cb29dbf4
1508506428389,3946,6373,3946,,b152918cb29dbf4
1508506429288,3916,6440,3916,,b152918cb29dbf4
1508506430369,3940,6601,3940,,b152918cb29dbf4
1508506430907,4167,6559,4167,,b152918cb29dbf4
1508506431630,3837,6568,3837,,b152918cb29dbf4
1508506431630,3837,6568,3837,,b152918cb29dbf4
1508506432527,3883,6462,3883,,b152918cb29dbf4
1508506432707,3671,6613,3671,,b152918cb29dbf4
1508506433247,3429,6655,3429,,b152918cb29dbf4
1508506434330,3337,6638,3337,,b152918cb29dbf4
1508506435243,3608,6409,3608,,b152918cb29dbf4
1508506436309,3129,6703,3129,,b152918cb29dbf4
1508506437208,3832,6350,3832,,b152918cb29dbf4
1508506438178,3060,6738,3060,,b152918cb29dbf4
1508506438287,3144,6652,3144,,b152918cb29dbf4
1508506439367,2323,6204,2323,,b152918cb29dbf4
1508506439546,2158,6158,2158,,b152918cb29dbf4
1508506440266,3435,6664,3435,,b152918cb29dbf4
1508506441346,3714,6555,3714,,b152918cb29dbf4
1508506442608,3414,6483,3414,,b152918cb29dbf4
1508506443328,3018,6707,3018,,b152918cb29dbf4
1508506443509,3001,6754,3001,,b152918cb29dbf4
1508506444407,3293,6749,3293,,b152918cb29dbf4
1508506445308,3742,6505,3742,,b152918cb29dbf4
1508506445487,3865,6399,3865,,b152918cb29dbf4
1508506446388,4150,6346,4150,,b152918cb29dbf4
1508506447289,4331,6380,4331,,b152918cb29dbf4
1508506448728,3932,6506,3932,,b152918cb29dbf4
1508506449449,4079,6375,4079,,b152918cb29dbf4
1508506450348,3767,6651,3767,,b152918cb29dbf4
1508506450527,4012,6586,4012,,b152918cb29dbf4
1508506450527,4012,6586,4012,,b152918cb29dbf4
1508506451428,4202,6532,4202,,b152918cb29dbf4
1508506452148,4175,6193,4175,,b152918cb29dbf4
1508506452508,3567,6218,3567,,b152918cb29dbf4
1508506452508,3567,6218,3567,,b152918cb29dbf4
1508506452694,3829,6118,3829,,b152918cb29dbf4
1508506452694,3829,6118,3829,,b152918cb29dbf4
1508506452867,3697,6196,3697,,b152918cb29dbf4
1508506452867,3697,6196,3697,,b152918cb29dbf4
1508506453054,3765,6237,3765,,b152918cb29dbf4
1508506453054,3765,6237,3765,,b152918cb29dbf4
1508506453237,3908,6318,3908,,b152918cb29dbf4
1508506453408,3738,6384,3738,,b152918cb29dbf4
1508506453408,3738,6384,3738,,b152918cb29dbf4
1508506453587,4393,6285,4393,,b152918cb29dbf4
1508506453587,4393,6285,4393,,b152918cb29dbf4
1508506453768,4532,6258,4532,,b152918cb29dbf4
1508506453768,4532,6258,4532,,b152918cb29dbf4
1508506453950,4358,6350,4358,,b152918cb29dbf4
1508506453950,4358,6350,4358,,b152918cb29dbf4
1508506454129,4223,6401,4223,,b152918cb29dbf4
1508506454313,4132,6336,4132,,b152918cb29dbf4
1508506454313,4132,6336,4132,,b152918cb29dbf4
1508506454491,4076,6361,4076,,b152918cb29dbf4
1508506454491,4076,6361,4076,,b152918cb29dbf4
1508506454668,4180,6318,4180,,b152918cb29dbf4
1508506454668,4180,6318,4180,,b152918cb29dbf4
1508506454848,4166,6318,4166,,b152918cb29dbf4
1508506454848,4166,6318,4166,,b152918cb29dbf4
1508506455027,3841,6416,3841,,b152918cb29dbf4
1508506455208,3756,6466,3756,,b152918cb29dbf4
1508506455208,3756,6466,3756,,b152918cb29dbf4
1508506455388,3417,6575,3417,,b152918cb29dbf4
1508506455388,3417,6575,3417,,b152918cb29dbf4
1508506455570,3441,6616,3441,,b152918cb29dbf4
1508506455570,3441,6616,3441,,b152918cb29dbf4
1508506455753,3627,6541,3627,,b152918cb29dbf4
1508506455928,3398,6615,3398,,b152918cb29dbf4
1508506455928,3398,6615,3398,,b152918cb29dbf4
1508506456107,3374,6613,3374,,b152918cb29dbf4
1508506456107,3374,6613,3374,,b152918cb29dbf4
1508506456289,3194,6634,3194,,b152918cb29dbf4
1508506456289,3194,6634,3194,,b152918cb29dbf4
1508506456470,3185,6583,3185,,b152918cb29dbf4
1508506456470,3185,6583,3185,,b152918cb29dbf4
1508506456648,3305,6591,3305,,b152918cb29dbf4
1508506456648,3305,6591,3305,,b152918cb29dbf4
1508506456830,3424,6554,3424,,b152918cb29dbf4
1508506457011,3097,6639,3097,,b152918cb29dbf4
1508506457011,3097,6639,3097,,b152918cb29dbf4
1508506457189,3024,6684,3024,,b152918cb29dbf4
1508506457189,3024,6684,3024,,b152918cb29dbf4
1508506457369,3005,6634,3005,,b152918cb29dbf4
1508506457369,3005,6634,3005,,b152918cb29dbf4
1508506457562,3131,6617,3131,,b152918cb29dbf4
1508506457562,3131,6617,3131,,b152918cb29dbf4
1508506457731,3541,6557,3541,,b152918cb29dbf4
1508506457909,3998,6368,3998,,b152918cb29dbf4
1508506457909,3998,6368,3998,,b152918cb29dbf4
1508506458089,3734,6463,3734,,b152918cb29dbf4
1508506458089,3734,6463,3734,,b152918cb29dbf4
1508506458270,3293,6610,3293,,b152918cb29dbf4
1508506458270,3293,6610,3293,,b152918cb29dbf4
1508506458447,3603,6391,3603,,b152918cb29dbf4
1508506458447,3603,6391,3603,,b152918cb29dbf4
1508506458629,3431,6570,3431,,b152918cb29dbf4
1508506458807,3526,6574,3526,,b152918cb29dbf4
1508506458807,3526,6574,3526,,b152918cb29dbf4
1508506458987,3643,6600,3643,,b152918cb29dbf4
1508506458987,3643,6600,3643,,b152918cb29dbf4
1508506459168,3525,6699,3525,,b152918cb29dbf4
1508506459168,3525,6699,3525,,b152918cb29dbf4
1508506459351,3242,6905,3242,,b152918cb29dbf4
1508506459351,3242,6905,3242,,b152918cb29dbf4
1508506459543,3393,6775,3393,,b152918cb29dbf4
1508506459707,3184,6844,3184,,b152918cb29dbf4
1508506459707,3184,6844,3184,,b152918cb29dbf4
1508506459888,3364,6763,3364,,b152918cb29dbf4
1508506459888,3364,6763,3364,,b152918cb29dbf4
1508506460068,3505,6515,3505,,b152918cb29dbf4
